Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
WDR54,-0.20783222,1.0,CCZ1B,24.435001,0.5451318709731849,RICTOR,0.075404294,1.0,WBP11,0.63968754,0.9591550309622996,CAPZA1,-0.868454,0.6322438042746732
MTX2,-0.17767327,1.0,ATP10D,24.435001,0.5451318709731849,PDIA4,0.0419265,1.0,TCF25,0.24451542,0.9592100817594291,PGAM1,-0.87147707,0.6325174465470701
ZNF383,-0.19599323,1.0,DNAJC13,24.510159,0.5451318709731849,TAGLN2,0.025526937,1.0,COQ2,0.65344626,0.9592652202325006,RARRES3,-0.8745317,0.6322380490734786
NPL,-0.12516743,1.0,LDB2,24.510159,0.5451318709731849,ENY2,0.027529765,1.0,GIT1,0.64040583,0.9593523767977947,ALKBH5,-0.874817,0.6307583059306071
GOLGA3,-0.14974885,1.0,ALG2,23.371347,0.5451318709731849,B4GALT5,0.06963022,1.0,CNOT2,0.6269986,0.9593523767977947,MRPL33,-0.8697465,0.6310538819829589
PCBP2,-0.048249498,1.0,NCOA5,24.435001,0.5451318709731849,ZNF644,0.05100752,1.0,GRN,0.31568232,0.9593523767977947,MRPL27,-0.880258,0.6301479601402595
CCP110,-0.14976953,1.0,EID2,24.435001,0.5451318709731849,GATA1,0.027542815,1.0,FCHSD2,0.71118706,0.9593523767977947,RPL19,-0.38795403,0.629973361030771
THAP3,-0.1438942,1.0,TMEM159,23.618645,0.5451318709731849,GALNT11,0.065743886,1.0,CUL4B,0.7105152,0.9593523767977947,SRSF2,-0.60926,0.6260659882466225
RPS6KA1,-0.21723177,1.0,APOOL,24.329433,0.5451318709731849,AGPAT2,0.06565572,1.0,C19orf25,0.38030627,0.9593523767977947,PSMB9,-0.6920579,0.6256071004979091
ATP5SL,-0.15134287,1.0,JUP,23.371347,0.5451318709731849,PCNT,0.06455883,1.0,HMGA1,0.25577417,0.9594477080182396,MARK3,-0.8858374,0.6247620430252337
TAPT1,-0.24654652,1.0,FARP1,24.329433,0.5451318709731849,IFNAR2,0.065185755,1.0,RBBP7,0.40596908,0.9597857359585973,PDLIM7,-0.87989604,0.6237929536497469
HEXDC,-0.21945696,1.0,SMIM13,23.371347,0.5451318709731849,PAFAH1B3,0.04891494,1.0,XPOT,0.6267762,0.96009257209024,ARPC2,-0.5713466,0.6229255873002582
GBP1,-0.112694316,1.0,PHKG2,23.618645,0.5451318709731849,MBTPS1,0.05763011,1.0,CBFA2T3,0.7069388,0.96009257209024,EIF5A,-0.5546918,0.621173322622142
DHRS13,-0.10836864,1.0,HELQ,24.435001,0.5451318709731849,BTBD10,0.058335256,1.0,USB1,0.39186528,0.9604523753112476,SH3BGRL,-0.886843,0.6209546220635488
BRAF,-0.16090941,1.0,HPS5,23.371347,0.5451318709731849,PPFIA1,0.05636877,1.0,MYO1G,0.63199395,0.9617015816442072,MRPL2,-0.8986324,0.6170816288147436
WRAP73,-0.21174693,1.0,MRI1,24.733053,0.5451318709731849,PRR34-AS1,0.037457768,1.0,PSMC2,0.38677457,0.9618142677231687,ZMAT2,-0.90309155,0.6170816288147436
MEF2C-AS1,-0.22705135,1.0,PVRL3,23.618645,0.5451318709731849,ZNF90,0.024230046,1.0,TLK2,0.62735796,0.9620387223412665,ATRAID,-0.8924524,0.6153310584645285
TAF2,-0.21582527,1.0,P2RY8,24.510159,0.5451318709731849,EIF2AK2,0.039736908,1.0,SCCPDH,0.46826565,0.9624208264608074,SLTM,-0.90548885,0.6145294422709353
KLHL24,-0.11803105,1.0,TESK2,24.435001,0.5451318709731849,XIAP,0.05332117,1.0,EML3,0.62769645,0.9627670461956144,HIST1H2BC,-0.903542,0.6124929017087103
RCHY1,-0.12944244,1.0,RAD17,24.816177,0.5451318709731849,FAM229B,0.053213336,1.0,KDM7A,0.623861,0.9627670461956144,RPL23,-0.49179465,0.6131456648471086
STX8,-0.12771967,1.0,POLR3A,24.79289,0.5451318709731849,SBF2,0.03755492,1.0,MTIF3,0.4853996,0.9630774012825741,YWHAZ,-0.90720916,0.6125699002108336
ITM2B,-0.044266365,1.0,GALNT6,24.510159,0.5451318709731849,SEPSECS-AS1,0.06333199,1.0,TXN2,0.30192184,0.9630774012825741,EIF3F,-0.7153515,0.6114111035592982
NUDT2,-0.1368728,1.0,TMEM143,23.618645,0.5451318709731849,ICT1,0.041276827,1.0,BCAM,0.45957604,0.9632893246229244,UBXN1,-0.9125339,0.6110520641570022
CHMP2A,-0.061751135,1.0,GLMP,24.435001,0.5451318709731849,TGFB1,0.030480426,1.0,TRPT1,0.619015,0.9641230751085345,EPSTI1,-0.9035843,0.6102312369758407
PPP1R12A,-0.09724043,1.0,TMEM5,24.329433,0.5451318709731849,ORAI2,0.03114062,1.0,PNN,0.34642518,0.9641230751085345,SBDS,-0.8996762,0.6097439887922379
DDX41,-0.20147954,1.0,MCM4,23.781403,0.5451318709731849,SNRNP200,0.045935664,1.0,COG1,0.69074506,0.9641230751085345,KPNB1,-0.91589785,0.6063404912111916
VPS16,-0.21231468,1.0,ZNF333,24.79289,0.5451318709731849,RBCK1,0.026248792,1.0,SEC63,0.5976566,0.9645989138930854,HINT2,-0.91379803,0.6068664434850818
HLA-G,-0.22863302,1.0,ITK,23.371347,0.5451318709731849,TIMM10B,0.03385879,1.0,TRIM11,0.59811187,0.9645989138930854,PRDX2,-0.5029243,0.6063404912111916
RPUSD4,-0.22008735,1.0,KLF11,24.435001,0.5451318709731849,B3GAT3,0.029164009,1.0,NAPRT,0.3562504,0.9651829358630641,GSTK1,-0.732703,0.6057277842340333
METTL22,-0.15607353,1.0,CTD-2553L13.10,24.435001,0.5451318709731849,MEF2C,0.02037546,1.0,LZIC,0.60988724,0.9652207217050888,CAP1,-0.9150142,0.6054648805210179
C6orf62,-0.090283915,1.0,HYKK,23.618645,0.5451318709731849,GMPPB,0.032474235,1.0,USE1,0.46220177,0.9668579508196363,POLR2J,-0.92269295,0.6007691237808881
TNRC6C,-0.22983657,1.0,OGFRL1,23.371347,0.5451318709731849,C1orf174,0.031288527,1.0,PROCA1,0.6816655,0.9672657529578061,BTF3,-0.47663206,0.6007691237808881
GINS4,-0.23324424,1.0,NCK1-AS1,24.435001,0.5451318709731849,KLC1,0.037398662,1.0,SH3GLB1,0.23869918,0.9676590639835262,TUBA1B,-0.5297432,0.6007691237808881
SMC1A,-0.15896392,1.0,GPRC5C,23.618645,0.5451318709731849,ANP32E,0.021331541,1.0,YY1,0.3477918,0.9676590639835262,SRI,-0.7273059,0.5988202005755057
GXYLT1,-0.23698543,1.0,TYSND1,24.79289,0.5451318709731849,GCH1,0.037273772,1.0,RPRD1A,0.6798894,0.9676590639835262,EIF1,-0.34720194,0.5984479172469898
KARS,-0.12109045,1.0,HAUS4,23.371347,0.5451318709731849,TP53I11,0.02525129,1.0,GNPTAB,0.59569216,0.9690679371655855,SRSF6,-0.9358828,0.5948256744847468
KIN,-0.22587925,1.0,RP4-798A10.7,24.747889,0.5451318709731849,LMNB2,0.04414857,1.0,ATG4B,0.39360595,0.9697364126804323,HLA-E,-0.5918302,0.5955825592673216
MAEA,-0.17424317,1.0,MFHAS1,24.747889,0.5451318709731849,FARSB,0.024501069,1.0,LYRM7,0.6001797,0.9697563963379032,RPL11,-0.4193197,0.5913928911263939
C2orf76,-0.16540232,1.0,TMEM127,24.747889,0.5451318709731849,YWHAG,0.032359175,1.0,UBE2E3,0.2379207,0.9697563963379032,FGFR1OP2,-0.7341878,0.5904154897222725
TMEM79,-0.24191509,1.0,ARHGEF9,25.024963,0.5451318709731849,GATAD2B,0.03209184,1.0,HNRNPD,0.303776,0.9705359374933449,DYNLRB1,-0.7355094,0.5892931087427176
DENR,-0.1645164,1.0,UBXN2B,24.118786,0.5451318709731849,EIF3G,0.013725993,1.0,ABTB1,0.31401408,0.9708119344844324,IER3,-0.95116377,0.5881815430977366
FAM96A,-0.1088564,1.0,ZNF200,23.965563,0.5451318709731849,HMGB2,0.009992647,1.0,RNF181,0.23523235,0.9708119344844324,SERBP1,-0.7545971,0.5861344213387848
RAB3GAP2,-0.17700098,1.0,HAUS5,23.965563,0.5451318709731849,POLR3K,0.02390132,1.0,STXBP1,0.61329997,0.9708119344844324,ZFP36L2,-0.6788701,0.5843398608798589
FAHD1,-0.13626356,1.0,SMAD1,24.118786,0.5451318709731849,NR1H2,0.013847495,1.0,NUP88,0.5925304,0.9722038107505777,KIF5B,-0.96882665,0.5830693023304176
VAMP4,-0.1803519,1.0,ADCK1,24.747889,0.5451318709731849,PSRC1,0.027105259,1.0,AIP,0.35826805,0.9731872293238913,HIGD2A,-0.95389134,0.5840703402556287
CCDC186,-0.15263686,1.0,KCNK6,25.251522,0.5451318709731849,MAP2K2,0.01735648,1.0,CCPG1,0.3943912,0.9735518421411137,EPB42,-0.7521062,0.5839808515545423
MYLPF,-0.25630608,1.0,ZNF605,24.747889,0.5451318709731849,ZNF532,0.024137363,1.0,C1orf228,0.5752403,0.9740136141070175,DNAJC15,-0.95747876,0.5759803069785746
WDTC1,-0.1815792,1.0,RP11-12G12.7,25.329096,0.5451318709731849,IFI27L2,0.008284423,1.0,NLRC5,0.6165273,0.9740136141070175,PFDN4,-0.9583485,0.5753849781008996
DDX26B,-0.25546658,1.0,PCAT19,23.965563,0.5451318709731849,HNRNPL,0.014135421,1.0,TIMM21,0.6050187,0.9740601698069731,POLR2J3,-0.96742123,0.5705173687448454
ZBTB8OS,-0.17101309,1.0,CCR10,23.965563,0.5451318709731849,TIA1,0.011356564,1.0,LINC00467,0.5852777,0.974134793047466,HNRNPA2B1,-0.55252147,0.5697398577762471
H2AFX,-0.13854815,1.0,ZNF266,24.747889,0.5451318709731849,CMB9-22P13.1,0.015913283,1.0,TNRC18,0.5616562,0.9769798909822329,ATP5J,-0.67294234,0.5684419917853988
THUMPD1,-0.12507033,1.0,APOM,25.024963,0.5451318709731849,BABAM1,0.01091634,1.0,KAT2B,0.56978035,0.9769798909822329,UBE2I,-0.9754334,0.5652458445385247
