Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
UBB,3.9611368,8.134898510817445e-34,MALAT1,4.2190256,8.050793234818408e-38,RPS2,4.0227695,3.172433011464062e-20,TMSB4X,4.415762,3.628844679767878e-25,DEFA3,12.268929,4.82447643810474e-12
CRYAB,6.846148,5.2792578585113e-21,MT-ND2,4.308749,2.6147875390820005e-26,MT-CO2,3.327324,1.4755102215209885e-18,B2M,3.3830993,3.0584149794554557e-21,S100A9,9.599492,1.2339484630354814e-10
TMCC2,5.6409616,3.798604283248917e-19,CXCL12,8.275976,2.7975510805766154e-19,RPS19,2.8134866,4.2772867539771974e-17,EEF1A1,2.9161563,6.382962225869763e-12,LYZ,9.544614,2.974617015436134e-09
PIM1,4.117144,2.154253259945624e-15,APOE,6.536003,2.5563923609450476e-18,MT-CO3,3.3477945,2.536959883851984e-15,RPL10,2.5372834,2.1018117816852847e-11,S100A8,9.64831,5.591303952974275e-09
FTH1,2.2001662,4.74879820837565e-16,CFD,8.097685,1.1802231755098922e-17,TMSB10,3.518949,4.333051425723021e-14,PFN1,3.509383,1.4353046919346684e-10,DEFA1B,34.110016,3.8630030651438526e-08
PLP1,31.743969,1.6606498203042262e-14,IFITM3,4.01267,4.355410171926996e-19,LGALS1,4.181358,8.64151771858403e-13,RPL26,3.1830041,2.7961770105007606e-10,DEFA4,10.88406,8.022163661847084e-08
NUDT4,3.387924,6.157680151640258e-12,ZFP36L1,6.8254795,2.96776791246227e-17,MT-CO1,3.0916955,2.6502734169601286e-13,TPT1,2.4544618,7.139809529829443e-11,SRGN,5.8901367,1.862637297785041e-07
SLC2A1,3.639519,2.189828616498036e-11,JUNB,4.8265204,1.2721871343977421e-17,RPS12,2.4414382,2.6502734169601286e-13,MYL12A,4.450109,1.3330967684968165e-08,CYBA,4.9508424,2.3268356567660042e-07
GLRX5,3.483569,2.822176029801205e-11,IGFBP7,6.01511,4.754541449703464e-16,RPL13A,2.6301162,6.720684752716298e-13,ACTB,3.0485775,5.298340694814709e-09,RPL39,3.4677596,4.3233644150739754e-07
HMBS,2.9231594,3.555452390577765e-11,SOCS3,8.620657,6.594617857902776e-15,RPS18,2.7325358,2.5613266425576736e-11,GAPDH,3.373599,1.0116997699955519e-08,RPLP2,2.5040045,1.6714299293391216e-07
SLC25A37,2.7283103,3.942107125454542e-11,FOS,4.40319,6.360406926784629e-16,RPLP1,2.2727647,1.1561407269314895e-11,ARHGDIB,4.9377317,6.224992352307625e-08,RPLP1,2.725966,3.45378824927871e-06
TRIM58,4.005355,1.1219438704342742e-10,ZFP36,6.016536,9.999456138925276e-15,RPS5,2.8011963,9.874274551909895e-10,HLA-B,2.6697063,1.837139508695868e-08,NKG7,6.227148,1.6742715182708604e-05
STMN1,3.7259145,3.2131219079481343e-10,B2M,2.8671985,1.2721871343977421e-17,RPL11,2.4386048,6.727276639554237e-10,S100A4,4.3367476,7.111334981718213e-08,TSPO,4.3850846,1.5378971389554312e-05
SEC11C,4.7847276,1.0047099304144057e-09,JUN,4.7458453,5.226188247187891e-15,RPS16,2.8629355,4.015905750734475e-09,FCER1G,6.036548,2.3707843578472493e-07,S100P,10.522043,2.1996118221450205e-05
LPIN2,4.332257,1.0031146141501115e-09,MT-ND1,3.214786,5.226188247187891e-15,RPL29,2.716154,4.015905750734475e-09,SH3BGRL3,3.4825373,1.1348209276307405e-06,RPS28,2.892073,1.1143600973957361e-05
ALAS2,2.364438,6.796687923160105e-10,FOSB,5.473858,3.038097985779029e-13,RPSA,3.0713522,1.8796276188826742e-08,H3F3A,2.7373211,1.0494428143160807e-06,RPL41,2.31379,6.83655082380526e-06
NARF,3.4583719,1.653154790488543e-09,VIM,3.9765408,2.2668111115738796e-13,MT2A,3.1500592,4.3428003565900615e-08,RPL28,2.2879663,1.280367484268148e-06,RETN,9.8388405,2.689364629214828e-05
MOBP,30.653284,2.9298061620776805e-09,LEPR,32.01654,1.1546964255727714e-12,RPL13,2.19121,8.864034702520031e-08,CFL1,3.0828846,2.0910363930344863e-06,DEFA1,32.738136,5.300856971796045e-05
BSG,2.3529606,1.8428034876673882e-09,VCAN,7.3467646,1.2359294186566278e-12,MT-ATP6,2.60304,2.892108691501681e-07,RPLP1,2.1134393,1.2292010832592245e-06,MYL6,2.4599323,4.368769378806455e-05
XPO7,4.014546,3.841721775417569e-09,MT-ND4,2.9141185,5.921174642019015e-14,RPS15,2.2021403,2.892108691501681e-07,RPL15,2.354234,1.8741203875552887e-06,AZU1,7.499357,0.00019656863773905478
SLC4A1,2.7316294,3.998205659988162e-09,CALD1,4.1529245,3.5551830809922676e-12,RPL12,2.385992,5.10513542449443e-07,RGS10,4.603901,4.2594141826374205e-06,CD24,8.586687,0.0002059011237649149
BNIP3L,2.5719092,5.587849334721008e-09,PCOLCE,7.0810285,2.00801889188123e-11,S100A6,2.488872,1.7722332476165417e-06,ARPC1B,4.5433135,5.380002247148764e-06,MT-CO1,2.05218,0.0001769776433073385
ADIPOR1,2.9582803,1.994341097409919e-08,EGR1,5.3535266,2.0568271590744877e-11,RPL10A,2.4860563,1.9181369311334455e-06,TAGLN2,4.298929,8.8185182621139e-06,PGLYRP1,31.92488,0.0003850290009360531
IFIT1B,4.6857553,3.573094776005712e-08,MDK,6.0384307,2.6990207749790982e-11,RPL28,2.0432193,3.453032505481904e-06,NDUFA4,3.1820152,7.728741163665625e-06,TMSB4X,2.2120776,0.0003779341165014381
HBQ1,2.7218914,2.98969500143161e-08,VCAM1,7.3750925,3.591401157220467e-11,RPS17,2.1842363,4.230971884651492e-06,CORO1A,5.6387324,1.0667832266414373e-05,BPI,8.989471,0.0013950805450544457
MAP2K3,2.8009977,3.3129651902673493e-08,IFITM2,4.0189843,2.5201037963979676e-11,FTL,1.8920182,1.0296754878651254e-05,NACA,2.5559542,9.53849996345458e-06,ATP5E,2.3803458,0.0012401449596103995
UBE2B,2.8235748,3.573094776005712e-08,CD63,3.3605964,4.0121126605732003e-11,RPLP0,2.2549694,1.5229836350008064e-05,PPIA,2.884685,1.4656353961900082e-05,SLPI,4.2232885,0.0015593957556867806
HIST1H1C,2.6783845,3.573094776005712e-08,CTGF,5.89702,2.925414015140693e-10,MT-CYB,2.3550913,2.069520477448239e-05,RPS27,2.1558204,1.085064645907963e-05,TYROBP,4.80281,0.0017564358497349861
SLC40A1,3.1388865,7.775759964811941e-08,HLA-B,2.5987575,4.0121126605732003e-11,RPL10,1.8299083,1.589602264662108e-05,CCL5,7.8949103,2.4535322676219963e-05,LCN2,5.849569,0.00215653953966071
ANKRD9,4.0892878,9.217749862803155e-08,MT-CYB,2.8087711,6.579808135733387e-11,RPL36,2.1300414,2.5645438789757854e-05,PDLIM1,4.643961,2.4237897612051045e-05,HCST,4.1925883,0.002134951042648034
ZFAND5,3.0444705,2.0543435283024845e-07,TMSB10,2.4266305,2.0568271590744877e-11,RPS27A,1.8423898,2.4731303760371536e-05,RPS7,2.276644,1.609446869811495e-05,MT-CO2,1.5371071,0.001436991037875819
CPEB4,2.9735618,2.438489983259702e-07,SEPP1,5.0636125,6.615790363894744e-10,TPM1,2.918866,3.976665353140611e-05,RPS6,2.3163106,2.2249383792672342e-05,RPS29,2.437982,0.001978623765618829
NFIX,4.2131543,4.381608807311492e-07,MT-ND3,3.1946046,4.181297670334145e-10,COL1A1,3.6547692,6.045682458780242e-05,RPS24,2.2707937,2.3072880293708504e-05,RPL36A,2.9076385,0.002211171425524328
EIF1AY,2.4053285,4.7446129365681916e-07,RARRES2,31.185373,3.1032825072348236e-09,FN1,3.7555244,6.37520257182592e-05,RPL3,2.3906672,2.401697467971019e-05,ELANE,6.816727,0.0025708542366147088
DCAF12,3.3064036,6.030567243030502e-07,CEBPD,9.204525,4.532037967831486e-09,MT-ND4,2.0631366,6.522915394016766e-05,RPL22,2.4838943,2.6182261154112764e-05,LTF,31.830114,0.002962995791585197
IFIT3,3.156378,1.0046899603244076e-06,DCN,6.5735283,5.6899384617808786e-09,MT-ND1,2.0681658,8.781856527489188e-05,HLA-C,2.5263033,3.246495681704644e-05,PLAC8,4.4531307,0.002933947388043002
STOM,2.2932746,1.1397227106409065e-06,PTGDS,6.741467,8.354030351029907e-09,TAGLN,3.1341639,0.00012429349834906068,RPL11,1.9852972,2.6590571083931963e-05,MT-CO3,1.9866297,0.0036077432438713438
FEZ1,5.9518604,1.5315852583889812e-06,FCGRT,5.7237225,1.0716317156425345e-08,RPL37A,1.8885595,0.00012429349834906068,RPL19,2.032495,3.401910678100536e-05,RPL37A,1.731373,0.003453183599708575
SEC62,2.094809,1.1223398062063256e-06,SERPING1,6.2445154,1.5993861277552907e-08,RPL41,1.6639055,0.00012545411889895036,CLIC1,3.5035355,6.016107294335121e-05,NCF1,7.835922,0.004996972481472774
HBP1,4.0084825,2.6080898772687264e-06,LAPTM4A,4.266401,1.3547776480925251e-08,RPS3,1.8034891,0.00018730075484873078,FXYD5,4.3184133,7.74560007689787e-05,PRTN3,5.16798,0.008611800524218735
GYPB,2.5706813,2.408927772798844e-06,MT-CO2,2.0621002,2.5638797920720144e-09,SH3BGRL3,2.3545609,0.0002305230692216005,PF4,5.728413,0.00010896149583008533,RPL38,2.0326817,0.008376360158556702
FECH,3.3714325,3.0079257973844923e-06,NNMT,7.0028014,2.2628411043957352e-08,TPM2,3.4596727,0.0002994922484393261,UQCRH,2.8674095,9.299654374178868e-05,CAMP,8.726533,0.011990742086703301
HIST3H2A,3.8308113,3.945913509317408e-06,MT-ATP6,2.453692,7.915460062803558e-09,RPS28,1.7265874,0.0004313398661432439,RPL29,2.0190792,8.97467584248391e-05,RPS24,1.8103442,0.011320831885235846
AHSP,1.8112549,3.240167993519562e-06,IGFBP5,5.811625,3.0169001922749064e-08,PPP1R14B,5.138883,0.0005929722410398255,TMSB10,2.1119883,8.88727648232748e-05,ALOX5AP,4.945367,0.012829696233012753
CREG1,3.5706909,6.34484470685333e-06,MGP,31.00503,4.9965563084488124e-08,RPLP2,1.585803,0.0004667493112810405,ARPC3,3.489401,0.0001309943577342243,MNDA,30.441822,0.013172045596206234
KLF1,2.42106,6.236948632714318e-06,ZFP36L2,4.4732566,4.73025155734929e-08,RPL18,1.9128776,0.0005287751005111609,OST4,2.4512358,0.00013522147862306955,NDUFA1,2.7542183,0.015641288839106815
IFI27,1.8834815,6.150749645449864e-06,GAS6,6.6558757,9.425260045818853e-08,RPL34,1.7653629,0.0005192136670267563,CCND3,4.7202563,0.00017104355448208306,RPL27,1.8345912,0.015497449556977834
TBCEL,5.081161,8.509972435986682e-06,LUM,6.6934714,1.1536968021039413e-07,RPS27,1.6659958,0.0005866041039414634,MYL6,2.1278133,0.00012480518198716023,RNASEH2C,3.1977682,0.018649064835880635
ARL4A,2.5386798,8.016831620034833e-06,MARCKS,4.4676204,1.125602820015614e-07,RPL9,1.8849443,0.0008494371866842274,ARPC2,2.85645,0.00016317205832056163,SNHG25,3.5622892,0.024414437377025474
BLVRB,1.7665313,8.522361017497544e-06,COL1A2,3.9635127,1.0743678572211495e-07,RPL8,1.6421279,0.0008779328996908454,RPS2,1.971856,0.00012591920370911088,RPL37,1.6674141,0.02608889923302083
TUBA1A,2.3989415,1.8035446041145892e-05,LY6E,3.1860473,1.0594923416955205e-07,H2AFZ,2.124879,0.0011186133691285752,PPBP,5.4765797,0.00021853566695703196,HMGN2,2.1879911,0.027252012660771336
SNHG10,3.8655932,2.9809213845058735e-05,SPRY1,30.66217,2.333315422866559e-07,RPS15A,1.6360226,0.0014545844412463043,RPL41,1.7903395,0.00014476424151515474,GMFG,2.8970802,0.02819191789659339
BPGM,2.1859946,3.8874243642541005e-05,C1R,7.8703766,3.149118650736415e-07,SLC25A6,2.3033748,0.0018595408922107385,RPSA,2.235104,0.00020201345702565562,RPA3,3.5530663,0.030433954035877
GMPR,1.9311194,4.0244257860308053e-05,C10orf10,4.30372,3.4995038232419084e-07,KCNMA1,29.607967,0.0033601069401169277,RPS12,1.7085948,0.0001906787875040961,RPS26,2.060647,0.030549892315296243
DEDD2,3.2115567,4.81413516496195e-05,GADD45B,4.7954574,3.8551934940179325e-07,RPL19,1.5573249,0.003138744683333652,RPL13A,1.7297989,0.0002087380313984542,RPL36,1.6914942,0.03351097939837014
EPB42,2.621277,5.13642667226852e-05,CYP1B1,6.556185,4.639041944714846e-07,RPL32,1.4372208,0.003537700555878495,ACTG1,2.3562286,0.00028370321742995734,RPL35,1.4071416,0.03420175042219532
CCS,2.3626206,6.914646170086107e-05,GGT5,8.00705,5.446592660479414e-07,RPL18A,1.326629,0.0037027358392583533,RPL23A,2.1304085,0.00028370321742995734,CDA,8.027381,0.03943928390483452
CDKN1B,3.337513,8.348547546623297e-05,IER2,3.6932516,4.5329361934110404e-07,MYL9,2.6583607,0.004970195658548536,RAC2,4.9795694,0.00036484433636896287,PYCARD,3.78197,0.04156367762716436
RNF10,2.0822968,8.003130889250707e-05,NPC2,4.2618437,5.709148124142232e-07,STRA13,3.3086283,0.005598994072071029,RPL7,1.9845564,0.00029801761074451543,MPO,5.956789,0.04603405809300025
BCL2L1,1.8889369,0.00010178698351984853,C1S,5.942951,6.321007452733813e-07,RPS6,1.5597526,0.004970195658548536,RPL5,2.325875,0.000337633910911215,UBL5,2.0013263,0.05023083774930366
FIS1,1.7174269,0.00011960593567454674,FSTL1,4.410157,6.092907654438414e-07,RPS8,1.5234618,0.005045193735166265,RPS3,1.8290693,0.0003246436439212803,GRN,3.4674826,0.05210799154548628
TSPO2,2.8090556,0.00012950349257003955,CP,30.490088,7.604461077407931e-07,HIST1H4C,2.72953,0.006266512960423881,RPS27A,1.8304329,0.00037010219375013174,RPS15,1.2519668,0.05163902799876293
LYL1,2.3013248,0.00012950349257003955,OLFML3,30.36291,8.08802886723765e-07,RPS9,1.4279169,0.005763095096983676,GNB2L1,2.1282716,0.0004348255202009502,LST1,3.3605258,0.0542098875631249
CHPT1,3.5801055,0.00015302935079730505,TSC22D3,3.5723064,7.604461077407931e-07,RPL27A,1.4368732,0.006440417652072934,EMP3,2.8280091,0.0005408275636135356,CEACAM8,29.473852,0.057049187476292736
KIF1B,6.760334,0.0001628003988052501,SERPINF1,5.7786603,1.1031007016446242e-06,EEF1B2,1.880038,0.007777891619466126,HCST,3.8893497,0.0005927349894116603,RPL13,1.2006068,0.05467436616799861
SEPT4,3.2522163,0.0001579337650635949,PLAC9,7.3135233,1.6016815100355175e-06,GUK1,1.5542132,0.008106216353667381,RPS29,1.9774913,0.000515436133123373,STXBP2,3.9255526,0.05888157862981503
TCP11L2,4.701639,0.00018380470577907275,FRZB,30.46239,1.7202702002496686e-06,SPARC,2.6481664,0.00978027542255493,CD74,2.817388,0.0006152042724370842,MIF,2.584724,0.05985392141838387
UBE2D3,1.8407025,0.00017672874986287643,CIRBP,2.9743853,1.4191175971520167e-06,HINT1,1.8349392,0.010044947843004002,TPI1,2.8657508,0.0006481477806566163,CSTA,5.7120457,0.06485624277090127
GABARAPL2,1.6399432,0.00018215799568487386,S100A11,2.8507807,1.2959343442973632e-06,GNB2L1,1.5494952,0.010083897005649137,LAT,5.5466714,0.0008060432880094283,RPL21,1.1953915,0.06251872728375898
MKRN1,1.9401724,0.0001857259487571796,H3F3B,2.0661716,1.534673709690427e-06,RPL6,1.525791,0.010253377469342573,CST3,2.9605055,0.0007423779210885377,VAMP8,2.9292347,0.06681654747917112
RBX1,1.5199211,0.00018541479082692707,N4BP2L2,3.160012,2.805437557392389e-06,RPL15,1.4144448,0.010265922327448967,RPS15A,1.8824227,0.0006486656385576552,EMB,5.407426,0.06765411989685685
SLC25A39,1.5907006,0.00019549574631082595,BST2,3.609672,3.264851753602984e-06,S100A16,3.4158735,0.011709190065908159,RPL7A,2.0237646,0.0008158318393039673,RPL34,1.3433249,0.06560240284629797
TERF2IP,1.8776574,0.00020854361676808357,CDH11,6.5575347,4.413520897644753e-06,RPL21,1.2911085,0.011182604713157627,RPL4,2.142876,0.0008498556279170334,CD59,2.3002155,0.06923642975516728
REXO2,1.7737712,0.00022964871599693578,IGFBP2,30.250057,4.801260062904755e-06,RPS20,1.5601498,0.012605708259067178,IL32,6.2372046,0.0010625901249444792,OLFM4,29.581625,0.07077221797879336
WBP2,2.2227588,0.0002776578374854276,ADIRF,5.110057,5.989798549945691e-06,TGFBI,3.5163233,0.013540523558756122,RPL6,2.031932,0.0008641211963108531,MT-ND3,1.7349118,0.07119420552944898
TAL1,3.4432635,0.00034032027880030735,WSB1,3.8591044,5.627056408081787e-06,RPS23,1.3541601,0.012419670273453776,RPS13,1.8432652,0.0008540671619461139,TCEB2,1.6082715,0.07184895518483278
FBXO30,28.091457,0.0004122687084696633,IFI44L,3.851814,5.9572206207700946e-06,RPL35A,1.283242,0.014032440152483954,RPS18,1.7437049,0.000830991599344169,GAPDH,1.5342039,0.07168495700078924
UBC,1.4683073,0.0003647986060985733,FUS,2.863946,4.866062048150459e-06,PRELID1,2.2135775,0.018621197515538205,PLEK,5.7302675,0.0012304030737770237,NDUFB1,2.3488164,0.07881148479194049
NFE2,2.6145265,0.00039507484614728405,TIMP1,2.8997808,6.694099624977219e-06,RPS14,1.1963816,0.021863959574276386,FERMT3,4.9567995,0.001280250858265334,PFN1,1.5757822,0.07793161506600069
CLIC2,3.382919,0.00043751833203188053,COL3A1,5.33957,1.4278082178781418e-05,MYEOV2,2.6544902,0.023633784848773372,C12orf75,3.3242311,0.0013365595081930833,COX7C,1.7534264,0.0785238756216587
NSUN3,3.5263512,0.00046490462397833507,TNC,6.8430734,1.746659760428068e-05,TMSB4X,1.2075018,0.022008175759122707,RPL34,1.8895955,0.0012950314771131323,AIF1,4.2618823,0.08089324528858519
CALCOCO1,3.4392054,0.0005033707990583009,IGF2,30.163363,1.7680493654586786e-05,RPL7A,1.4138793,0.023525535487916006,LIMS1,4.2560635,0.0016049026060968624,RPL32,1.1539434,0.0785238756216587
QKI,3.1580632,0.0005299877583739278,ABCA8,7.2667203,2.5394607502135356e-05,C12orf75,2.455569,0.02435156152778746,SSR4,2.233386,0.0014840556800029838,SERF2,1.1182292,0.0785238756216587
IFIT1,3.6659408,0.0005658520128223778,DDX17,3.3704069,2.9465088965945623e-05,CCND1,4.7589293,0.025637025830315765,RPL27A,1.7958738,0.0013489629965658693,DDT,2.550494,0.08985690702205382
EMC3,1.9799635,0.0005677472451950195,TSC22D1,4.010026,3.570935949572865e-05,CHCHD2,1.6998128,0.02505613476832939,HMGN1,2.8737373,0.001585801533505194,RPL31,1.3887415,0.09145268951163563
SLC25A4,4.906891,0.0007316356431867835,MT-CO1,1.7305887,2.5412632698978905e-05,RPL23A,1.3356615,0.02478978941703625,GNG11,3.5211718,0.0016721490994117843,MFSD10,3.6246915,0.09580074022438488
SLC14A1,3.05521,0.0007080971821721251,ARID5B,5.0478473,5.48654086347942e-05,EEF1D,1.5433202,0.02578125484046278,CD37,5.7071476,0.0017732289222940072,PGD,3.7292533,0.09774542215553315
HEXIM1,2.2213082,0.0007032526193342544,SLPI,3.540921,5.835566632901077e-05,RPS7,1.3567231,0.026739831625116336,CMTM5,5.6121097,0.0018043546174497547,CTSG,5.29345,0.10753625157692943
SOD1,1.4183115,0.0006803791279570418,SELM,2.8133588,5.835566632901077e-05,IGFBP4,2.3494208,0.028531125836876274,EEF1B2,2.1643126,0.0019450921058181355,TOMM7,1.5571158,0.10630202379801285
GLUL,1.870769,0.0007874733146218031,SOX4,4.5107064,7.408401204673327e-05,PPDPF,1.5996006,0.028304125547239174,CAP1,3.9489112,0.002234461660655458,PFDN5,1.5532122,0.10939451118604913
MAP1LC3B,1.6183023,0.000771024273400015,COL6A2,4.3450727,7.408401204673327e-05,RPL3,1.3883423,0.030104279115787804,ALDOA,2.55588,0.0022003517883486105,ATP5I,1.8597243,0.11120270646513244
ARRDC2,3.8463619,0.0008465546944591577,BGN,3.9226766,7.413031815798078e-05,MMP2,3.2669835,0.03190541534840937,RPS25,1.6708344,0.0020115677837959007,AHSP,1.2381521,0.10956702505233755
TGIF1,3.6778648,0.0009239990635280754,TNFAIP6,29.669744,9.053785105496728e-05,RP11-160E2.6,3.4818988,0.03411376826914365,GPX1,2.404042,0.0022854822763771873,TMEM258,1.8408214,0.11353222900167514
RSAD2,2.5922039,0.0009549853233824235,DUSP1,2.7677426,7.649488850931898e-05,RPS11,1.4082094,0.0375960142699708,C9orf16,2.937878,0.0023922552013298706,RPS14,1.0324391,0.11275519205215485
SEPT7,1.9939109,0.0010442025896385434,NFKBIZ,5.5424533,9.053785105496728e-05,RPS13,1.2232893,0.037652692625252664,HLA-E,2.3766737,0.00234443910163371,GPI,3.091655,0.11721443473464453
FBXO7,1.5368401,0.0011865769270875993,LRP1,6.73159,9.885063718845759e-05,PKM,2.1047251,0.04052377733770186,LTB,30.15607,0.002795428583598082,CYSTM1,3.999483,0.1207691568063439
B4GALT3,3.0248797,0.001348601046958334,HES1,6.3245544,9.966701330239802e-05,GAPDH,1.3214989,0.04049130362385401,RPL35A,1.5709821,0.0023733931932091077,RPL28,1.0309625,0.1292647494471705
GABARAPL1,2.658979,0.0013552577883831358,CCNL1,2.9793844,9.72926231380032e-05,ARL6IP4,1.8683215,0.04202736399746137,RPS16,1.8102151,0.0027584378543330274,SERPINB1,2.704278,0.13418249119500553
PCM1,3.0517108,0.0013730557001662863,CCDC80,3.5180182,9.966701330239802e-05,AP2S1,1.5549951,0.04201851887147569,RUFY1,5.651368,0.003247091980903976,TKT,2.7078755,0.13788385494355276
KLK6,28.717888,0.0014328247218731182,TSPAN4,3.731525,0.00010654543319028097,RPL24,1.2807575,0.04162822814980244,RPS4X,1.7606004,0.0028113347930433146,COX8A,1.7034957,0.14715317298353706
NATD1,4.5825596,0.0014328247218731182,ESM1,29.633038,0.00014013723736093394,RPS26,1.3732225,0.04384181328240899,COX6C,2.401859,0.003217312593127293,AGTRAP,3.4389517,0.14850625827378816
YPEL3,2.4438744,0.0013834586082331361,CD74,2.2407165,0.0001260176471157708,UBE2S,4.143061,0.0473602948864928,AKR7A2,4.3325458,0.003510879957052119,FCN1,6.009295,0.14870949486996926
USP15,1.8015283,0.0014196387492457884,ODF2L,6.4944825,0.0001898836106845741,NME4,1.9064271,0.050063290126009595,RPL10A,1.8678544,0.003188958660600174,MRPL23,2.4441807,0.14986691336073074
IFIT2,3.656047,0.0015699556153180466,TF,6.9895086,0.00019804098364102453,FLNA,2.0734992,0.05035278230233139,RPLP2,1.4403179,0.002939252135654633,UQCR11,1.5168003,0.15316763681717582
PNPLA2,2.1132452,0.0016164291172209393,PAPPA,29.607742,0.0002151678996328144,RPL38,1.311204,0.04973323731471232,TYROBP,3.3890197,0.003623971753867537,SPI1,5.812091,0.15665048926427214
FKBP8,1.2369819,0.002117608227891602,HLA-E,2.3773174,0.00018088824207061223,ANXA2,2.1100674,0.05252956451929584,RAP1B,4.1452174,0.003761676710553606,RPS19,0.958529,0.15513099263882135
UBR2,4.485155,0.0024904425413285734,SPARCL1,5.217536,0.000249887234607282,C19orf53,2.0629065,0.05413450664330155,PSMA7,2.1916306,0.003578615534786766,RCOR1,6.745692,0.15912648438744464
PRDX2,1.3059955,0.0023113001387639414,HSPB1,2.3835294,0.0002537431387785125,AES,2.9409878,0.05752063228657379,COX4I1,1.9794143,0.0037369376048138406,TBCA,2.070164,0.15999849703886881
GYPA,1.6419088,0.0025329684771455085,EPHX1,5.2026334,0.000306840401807717,BRI3,2.5548272,0.06500510007718703,NAA38,2.7539358,0.004344853459835098,ACTB,1.0186467,0.16234012708674792
PET100,1.4762156,0.0025182402465573996,ID3,3.304267,0.0003292958827849606,C17orf89,2.496581,0.06906398236409765,TREML1,7.780111,0.004674720351860795,KIAA0101,2.3513682,0.16877452431044326
CNPPD1,2.9057603,0.002809907845361874,CST3,2.363913,0.0003038656095963222,UQCR10,1.5169969,0.06965332812950421,COX7C,2.0327775,0.0043545621436587465,C1orf228,4.954207,0.1706067641065917
OSER1,4.17505,0.0030850790690002115,IFNGR2,29.262743,0.00039929153300272634,NT5DC2,7.1156874,0.07465244520165697,ATP5E,1.7023326,0.00426657108794434,MZT2A,2.3485665,0.1735900334968615
RNF13,4.5080447,0.0031174387452805315,TMEM176B,6.7569747,0.0004099931519128827,POLR2L,1.4381746,0.07464555383256744,ZYX,4.131437,0.00489686891355177,ICAM3,3.989416,0.18071501731045633
EIF2AK1,1.7692604,0.0031368163333346287,MCL1,4.39136,0.00039929153300272634,TUBB,1.4225701,0.08483238251360053,PLP2,3.980814,0.00489686891355177,EFHD2,3.8702736,0.18609877306303999
PPP2CA,2.9806726,0.003286742424050611,EPAS1,4.4920597,0.0004189719914433838,TPM4,1.8436443,0.09090275725591292,RPS19,1.4791262,0.004209312805785848,GYPA,1.4710122,0.20328100612180974
CA1,1.205353,0.0030983170660252727,MXRA8,5.006366,0.00042293529763790845,YBX1,1.2152987,0.09217571712103648,GP9,6.3629203,0.005293668127085474,COX17,2.0120387,0.20502764443425184
RAD23A,1.5009265,0.003158921766023932,LHFP,4.923057,0.0004329699930100208,TPT1,1.0050443,0.0917749514043427,COTL1,3.3455467,0.005288293806736201,NDUFA3,2.0766244,0.20652174560948133
RSRC2,2.0509508,0.0032930982274578455,TXNIP,2.152341,0.00038092616724625587,RPL7,1.1050286,0.09651937393026803,GSTK1,2.9398913,0.005384610924369295,RPL27A,0.981172,0.21147528755014516
CLK1,1.8734426,0.003665271209024392,SRSF7,2.819596,0.00042293529763790845,RPL37,1.0970458,0.0981790330875404,HINT1,2.030665,0.005245433073118878,CENPK,3.3267522,0.21931067729776077
ISG15,1.2850764,0.003614482021543267,EBF1,6.4803996,0.0004843918776606075,BASP1,28.279291,0.1050472076344773,RPL18,1.7409443,0.005230407336311852,MSRB1,3.3932388,0.21993361663834654
ISCU,1.4254924,0.0041909460301041476,TAGLN,2.4681797,0.0004228194850297759,RPS4X,1.1034441,0.10285691417077909,RSU1,4.1575913,0.00589884225063033,ALOX5,28.406519,0.22040298791583052
HSP90AB1,1.5131148,0.004614088109174337,IFI16,4.402893,0.0005409506227688069,PLCG2,2.343648,0.10619629308925108,CALM3,2.3271725,0.005700310575058618,RNASE3,28.371655,0.22040298791583052
BBC3,3.9759893,0.00504887091334398,NME3,4.9860964,0.0006691040958154274,EVA1B,4.059386,0.10688485944551347,TAX1BP3,4.093056,0.006223616283179746,PRDX5,1.3375657,0.22143788032472872
PNRC1,1.3829352,0.00485136002797083,C7,4.9927034,0.0007029664297236173,IDH2,2.0616028,0.10660136842470211,RPL9,1.73138,0.005596698553472783,MGST1,3.1085527,0.22179527656028952
SRSF8,2.375377,0.005105246419474478,BTG1,2.1552813,0.000611841156193584,HMGA1,2.5797198,0.10940553561260578,RPS3A,1.6499234,0.005701852388479651,SFT2D1,2.3291864,0.2220687325297305
GTF2B,2.4145741,0.005235078112980186,CFH,5.230769,0.0007666636976068393,LINC00152,1.6625816,0.11388780150927207,LIMD2,4.4465213,0.006820895740891839,RPS3,0.83439577,0.22122300760087585
RP11-20B24.2,2.2231388,0.005596223291139489,GSN,2.5586207,0.0007091534187789373,CDC20,4.7479496,0.11534703446819125,CLU,3.2759256,0.006739656660698618,RNASE2,6.2558126,0.22264588823068912
PCGF5,2.7909496,0.0057066912436082905,JUND,2.667407,0.0007091534187789373,RPL35,1.0357219,0.1142739293812578,PSMB8,3.294048,0.006758875841165348,TPP1,3.7098305,0.2247544765360427
DMTN,1.608265,0.005614363244509282,TFPI,4.2960315,0.0007802816085443219,RAC1,1.4083408,0.11792926619804354,RPL14,1.7333335,0.0063178188471902695,RNASET2,2.936478,0.22535479731500282
