"V1"
"Fibroblast,PPARD,VEGFA"
"Neural,ATF4,CXCL8"
"Neural,BACH1,GDF15"
"Neural,BACH1,LTBP3"
"Neural,CREB5,CXCL8"
"Neural,FOXA1,ADM"
"Neural,FOXA1,COL6A3"
"Neural,FOXA1,COPA"
"Neural,FOXA1,CXCL8"
"Neural,FOXA1,EFNB1"
"Neural,FOXA1,FGF7"
"Neural,FOXA1,GDF15"
"Neural,FOXA1,HLA-DQA1"
"Neural,FOXA1,IL16"
"Neural,FOXA1,LGALS3"
"Neural,FOXA1,LGALS9"
"Neural,FOXA1,LMAN1"
"Neural,FOXA1,LTBP3"
"Neural,FOXA1,PGF"
"Neural,FOXA1,SEMA7A"
