"V1"
"Fibroblast,HIC1,VEGFA"
"Megakaryocyte,LGALS9,SLC1A5"
"Megakaryocyte,LGALS3,ENG"
"Megakaryocyte,LGALS9,LRP1"
"Megakaryocyte,LGALS9,MRC2"
"Megakaryocyte,HLA-DRA,CD4"
"Megakaryocyte,HLA-DQA1,CD4"
"Megakaryocyte,HLA-A,APLP2"
"Megakaryocyte,HLA-DPB1,CD4"
"Megakaryocyte,APP,LRP1"
"Megakaryocyte,CD99,CD81"
"Megakaryocyte,HLA-DPA1,CD4"
"Megakaryocyte,HLA-DMA,CD4"
"Megakaryocyte,HLA-DMB,CD4"
"Megakaryocyte,ALCAM,CHL1"
"Megakaryocyte,ALCAM,NRP1"
"Megakaryocyte,COL6A3,ITGA1"
"Megakaryocyte,PF4,LRP1"
"Megakaryocyte,S100A8,ITGB2"
"Megakaryocyte,S100A9,ITGB2"
"Megakaryocyte,LGALS1,ITGB1"
"Megakaryocyte,CALR,LRP1"
"Megakaryocyte,GRN,TNFRSF1A"
"Megakaryocyte,LGALS3BP,ITGB1"
"Megakaryocyte,IL16,CD4"
"Megakaryocyte,FAM3C,LAMP1"
"Megakaryocyte,FAM3C,LIFR"
"Megakaryocyte,SERPINA1,LRP1"
"Megakaryocyte,TIMP1,CD63"
"Megakaryocyte,HMGB1,SDC1"
"Megakaryocyte,LRPAP1,LRP1"
"Megakaryocyte,C1QB,LRP1"
"Megakaryocyte,PSAP,LRP1"
"Megakaryocyte,LTB,CD40"
"Megakaryocyte,CCL5,SDC4"
"Megakaryocyte,HSP90B1,LRP1"
"Megakaryocyte,PDAP1,PDGFRB"
"Megakaryocyte,LGALS1,PTPRC"
