"","Top","p.value","FDR","summary.logFC","logFC","r","tf","CellType","tag"
"Fibroblast.KMT2B",180,0.0695072208532039,0.138628290479445,0.462462448349117,0.462462448349117,0.164,"KMT2B","Fibroblast","ns"
"Fibroblast.LEF1",176,0.0634663811816736,0.129456993433073,-0.40596327785833,-0.40596327785833,-0.164,"LEF1","Fibroblast","ns"
"Fibroblast.LHX2",5,3.24385818435157e-06,0.000226221404438179,-1.07370435973617,-1.07370435973617,-0.488,"LHX2","Fibroblast","***"
"Fibroblast.LYL1",189,0.0876571920609819,0.166502285449167,-0.403541247685728,-0.403541247685728,-0.153,"LYL1","Fibroblast","ns"
"Fibroblast.MAF",78,0.00346026619882964,0.0159260969920492,-0.671773419303616,-0.671773419303616,-0.313,"MAF","Fibroblast","*"
"Fibroblast.MAFB",174,0.063261917618757,0.129456993433073,-0.412845575381205,-0.412845575381205,-0.234,"MAFB","Fibroblast","ns"
"Fibroblast.MAFF",93,0.00621862786319439,0.0236685157005452,-0.659468859642377,-0.659468859642377,-0.294,"MAFF","Fibroblast","*"
"Fibroblast.MAFG",117,0.0125472383940488,0.0384996460125087,-0.588418085524043,-0.588418085524043,-0.246,"MAFG","Fibroblast","*"
"Fibroblast.MAFK",64,0.00181724202655491,0.0101935919927064,-0.773743185615758,-0.773743185615758,-0.365,"MAFK","Fibroblast","*"
"Fibroblast.MAX",46,0.000771139187833787,0.00591801525945073,-0.677835600352735,-0.677835600352735,-0.32,"MAX","Fibroblast","**"
"Fibroblast.MAZ",135,0.0187418761935537,0.0498395078035984,-0.52166074166288,-0.52166074166288,-0.286,"MAZ","Fibroblast","*"
"Fibroblast.MBD1",207,0.129438154182633,0.224484528268431,-0.346451822894144,-0.346451822894144,-0.152,"MBD1","Fibroblast","ns"
"Fibroblast.MBD2",185,0.0747148405045774,0.144987176979153,-0.450283923376902,-0.450283923376902,-0.204,"MBD2","Fibroblast","ns"
"Fibroblast.MBD3",35,0.000322716712837721,0.00331015142596405,-0.827921780753479,-0.827921780753479,-0.37,"MBD3","Fibroblast","**"
"Fibroblast.MBD4",206,0.127710309962709,0.222563112993265,-0.3104986432894,-0.3104986432894,-0.275,"MBD4","Fibroblast","ns"
"Fibroblast.MECP2",88,0.00514998409940243,0.0210095942236985,0.779138431069552,0.779138431069552,0.211,"MECP2","Fibroblast","*"
"Fibroblast.MEF2A",316,0.640604742214539,0.727775640680442,-0.100805462142534,-0.100805462142534,-0.129,"MEF2A","Fibroblast","ns"
"Fibroblast.MEF2B",170,0.0608271416249178,0.128452610843209,0.415477720447337,0.415477720447337,0.159,"MEF2B","Fibroblast","ns"
"Fibroblast.MEF2C",343,0.854070285050242,0.893910298347047,-0.0425695666655683,-0.0425695666655683,-0.0783,"MEF2C","Fibroblast","ns"
"Fibroblast.MEF2D",165,0.0557235210578068,0.12124087308941,0.291550563262895,0.291550563262895,-0.19,"MEF2D","Fibroblast","ns"
