receptor,tf
Akt3,Yy1
Alk,Creb1
Alk,Dlx5
Alk,Elf1
Alk,Elk1
Alk,Foxa2
Alk,Foxg1
Alk,Foxo1
Alk,Foxo3
Alk,Foxo4
Alk,Foxo6
Alk,Gata1
Alk,Gata2
Alk,Hand1
Alk,Hes5
Alk,Hmga1
Alk,Ikzf3
Alk,Irf3
Alk,Jun
Alk,Mitf
Alk,Mxd1
Alk,Myc
Alk,Myt1
Alk,Nfatc2
Alk,Nr4a1
Alk,Nrf1
Alk,Pou5f1
Alk,Rela
Alk,Runx2
Alk,Ski
Alk,Smad1
Alk,Smad3
Alk,Sox2
Alk,Sp1
Alk,Stat1
Alk,Stat5a
Alk,Stat5b
Alk,Tal1
Alk,Terf1
Alk,Tfcp2
Alk,Twist1
App,Creb1
App,Elf1
App,Foxo3
App,Hmga1
App,Irf3
App,Myc
App,Pou2f1
App,Rela
App,Smad1
App,Smad3
App,Sp1
App,Tfcp2
Arrb2,Jun
Arrb2,Nfkb1
Arrb2,Rbpj
Arrb2,Rela
Arrb2,Smad3
Atm,Aire
Atm,Arnt
Atm,Arntl
Atm,Ascl1
Atm,Atf1
Atm,Atf2
Atm,Atf4
Atm,Atf5
Atm,Atoh1
Atm,Cebpb
Atm,Cebpd
Atm,Creb1
Atm,Creb3
Atm,Crem
Atm,Cux1
Atm,Cux2
Atm,Ddit3
Atm,Dlx5
Atm,E2f1
Atm,E2f2
Atm,E2f3
Atm,E4f1
Atm,Egr1
Atm,Elf1
Atm,Elk1
Atm,Epas1
Atm,Etv1
Atm,Fos
Atm,Fosb
Atm,Foxa2
Atm,Foxg1
Atm,Foxl2
Atm,Foxm1
Atm,Foxo1
Atm,Foxo3
Atm,Foxo4
Atm,Foxo6
Atm,Foxp3
Atm,Gata1
Atm,Gata2
Atm,Gata6
Atm,Gcm1
Atm,Gfi1
Atm,Gli1
Atm,Gli2
Atm,Gli3
Atm,Glis2
Atm,Glis3
Atm,Hand1
Atm,Hes5
Atm,Hes6
Atm,Hic1
Atm,Hic2
Atm,Hif1a
Atm,Hmga1
Atm,Hnf1a
Atm,Hoxa11
Atm,Hoxa9
Atm,Hoxb6
Atm,Hoxb7
Atm,Hoxc4
Atm,Hoxc6
Atm,Hoxc8
Atm,Hoxc9
Atm,Hsf1
Atm,Ikzf1
Atm,Ikzf3
Atm,Irf2
Atm,Irf3
Atm,Irf5
Atm,Irf7
Atm,Jun
Atm,Jund
Atm,Klf1
Atm,Klf12
Atm,Klf13
Atm,Lef1
Atm,Max
Atm,Maz
Atm,Mecom
Atm,Mef2a
Atm,Mef2c
Atm,Mef2d
Atm,Mitf
Atm,Mxd1
Atm,Myb
Atm,Mybl2
Atm,Myc
Atm,Mycn
Atm,Myod1
Atm,Myt1
Atm,Nfat5
Atm,Nfatc1
Atm,Nfatc2
Atm,Nfatc3
Atm,Nfkb1
Atm,Nfkb2
Atm,Nkx2-5
Atm,Nkx3-1
Atm,Nr1d1
Atm,Nr4a1
Atm,Nr4a2
Atm,Nrf1
Atm,Osr1
Atm,Pa2g4
Atm,Pax2
Atm,Pax3
Atm,Pdx1
Atm,Pin1
Atm,Pou2f1
Atm,Pou2f2
Atm,Pou3f1
Atm,Pou5f1
Atm,Purb
Atm,Rbpj
Atm,Rela
Atm,Runx1
Atm,Runx2
Atm,Sim2
Atm,Ski
Atm,Smad1
Atm,Smad3
Atm,Smad4
Atm,Smad5
Atm,Snai1
Atm,Sox2
Atm,Sp1
Atm,Sp3
Atm,Spi1
Atm,Spib
Atm,Srf
Atm,Stat1
Atm,Stat4
Atm,Tal1
Atm,Tbp
Atm,Tcf12
Atm,Tcf3
Atm,Tcf4
Atm,Tcf7
Atm,Tcf7l2
Atm,Tead1
Atm,Tead2
Atm,Tead3
Atm,Tead4
Atm,Terf1
Atm,Terf2
Atm,Tfap2a
Atm,Tfcp2
Atm,Tfdp1
Atm,Tshz3
Atm,Twist1
Atm,Usf1
Atm,Wiz
Atm,Yy1
Atm,Zbtb16
Atm,Zc3h8
Atm,Zeb1
Atm,Zhx1
Aurka,Arntl
Aurka,Atf2
Aurka,Creb1
Aurka,Dlx5
Aurka,E2f1
Aurka,E2f2
Aurka,E2f3
Aurka,Elf1
Aurka,Elf4
Aurka,Fos
Aurka,Foxa2
Aurka,Foxg1
Aurka,Foxo1
Aurka,Foxo3
Aurka,Foxo4
Aurka,Foxo6
Aurka,Foxp3
Aurka,Gata1
Aurka,Gata2
Aurka,Gli1
Aurka,Gli2
Aurka,Gli3
Aurka,Glis2
Aurka,Hand1
Aurka,Hes5
Aurka,Hif1a
Aurka,Hoxb6
Aurka,Ikzf1
Aurka,Irf3
Aurka,Irf5
Aurka,Irf7
Aurka,Jun
Aurka,Lef1
Aurka,Max
Aurka,Mbd3
Aurka,Mef2a
Aurka,Mef2c
Aurka,Mitf
Aurka,Mxd1
Aurka,Myb
Aurka,Mybl2
Aurka,Myc
Aurka,Myod1
Aurka,Myt1
Aurka,Nfatc2
Aurka,Nfatc3
Aurka,Nfkb1
Aurka,Nfkb2
Aurka,Nr4a1
Aurka,Nrf1
Aurka,Pin1
Aurka,Pou5f1
Aurka,Pou6f1
Aurka,Purb
Aurka,Rela
Aurka,Runx2
Aurka,Runx3
Aurka,Ski
Aurka,Smad1
Aurka,Smad3
Aurka,Smad4
Aurka,Snai1
Aurka,Sox2
Aurka,Sox4
Aurka,Sox8
Aurka,Sp1
Aurka,Sp3
Aurka,Spi1
Aurka,Stat1
Aurka,Tal1
Aurka,Tbp
Aurka,Tcf3
Aurka,Tead1
Aurka,Tead2
Aurka,Tead3
Aurka,Tead4
Aurka,Terf1
Aurka,Tfcp2
Aurka,Tfdp1
Aurka,Twist1
Aurka,Yy1
Axl,Elk1
Axl,Foxo3
Axl,Hnf1a
Axl,Ikzf3
Axl,Jun
Axl,Nfkb1
Axl,Nkx3-1
Axl,Rela
Axl,Smad3
Axl,Stat1
Axl,Stat5a
