"","RNA.Neural","RNA.MSC","RNA.Fibroblast","RNA.Megakaryocyte","RNA.Myeloid"
"PRDX1",0.5487017853128,0.425674777688426,0.230111546670054,0.549706962722944,0.08507075986346
"AKR1A1",0.0946940199848926,0.192197267714977,0.158833536990734,0.0189554752975558,0
"NASP",0.0388552288101628,0.243985363465011,0.155193674413165,0.0289326380400259,0.113827651015074
"GPBP1L1",0.0865428335019902,0.0408296853199955,0,0.0484610295273458,0.189836946766521
"TMEM69",0.0308541720539183,0.0909227653340531,0.0179174173030277,0.0344432416382594,0
"UQCRH",0.13900196969791,0.410344049692824,0.836010216831424,1.49344073945633,0.684834039999966
"MOB3C",0.0128719679965272,0.0114441484509284,0.0262760429325846,0,0
"ATPAF1",0,0.0608059212324544,0.0297324777164759,0.0338406342876536,0
"EFCAB14",0.216460874719831,0.131234865282218,0.0693863306591445,0.0292409610389706,0
"PDZK1IP1",0.305828043019145,0,0.102780163848416,0.414822000326696,0.112166048686105
"TAL1",0.356775696799933,0.0251760538172089,0.0379880214208045,0.0262683957275852,0.111192640683925
"CMPK1",0.0402087537798133,0.125643462236214,0.0666657647959503,0.413474139416457,0
"FAF1",0.0382232884059395,0.0205801582712914,0,0.0300072218245419,0
"CDKN2C",0.0821855102230791,0.124943215953518,0,0.0399819790730411,0
"RNF11",0.200235028674374,0.100985857749403,0.0912106993437236,0.221339996362917,0
"EPS15",0,0.112614393183717,0.030980255513353,0,0
"OSBPL9",0.0141183318061795,0.0779407519922016,0.0765764816848627,0.111088672020695,0.0531730509938633
"NRDC",0.0809050682873546,0.234561650875035,0.0877311599465464,0.0533413227593108,0.0531730509938633
"TXNDC12",0,0.117380010545288,0,0.25429136344051,0
"KTI12",0,0.0610090200176851,0,0.0427549156494805,0
"BTF3L4",0.0119107069776181,0.0788124575626688,0.0619498233907178,0.216389190110673,0
"PRPF38A",0,0.0563457198157381,0,0.117260141954214,0.0778578761803906
"ZCCHC11",0,0.189080565495423,0.0735307316621483,0,0.0531730509938633
"GPX7",0.00937459910150571,0,0.0559750356765236,0.0698706382428266,0
"ZYG11B",0,0.00948576082181009,0,0.0144029023261131,0
"ECHDC2",0,0.265253203635721,0.0193201832389251,0.0357908309677438,0
"SCP2",0.017167913161816,0.139818869046223,0.0959327519288452,0.357525956495842,0.0901070093668857
"C1orf123",0,0.0601744373219896,0.0100884845243511,0.128158425140759,0
"MAGOH",0.10246720483077,0.0352912832902673,0.0409628263600144,0.313478126404902,0.381523051444471
"YIPF1",0,0.028925719421906,0,0.0144029023261131,0.0778578761803906
"HSPB11",0,0.17990178952872,0.0275116174487416,0.0532420752965859,0.0997565789952946
"TMEM59",0.4820691042889,0.612705287321291,0.102965966995308,0.349374761573396,0.535496238714105
"MRPL37",0.0860511023851637,0.0465878782851436,0.0674925754673228,0.0543969234670821,0.0878573634635571
"SSBP3",0.108301492678164,0.149038678257,0,0.0384552471341741,0
"USP24",0.0278336635486732,0.0247034466014849,0.0325944728720171,0,0
"PLPP3",0.0252877390977507,0.409023522876849,0.0479718021348946,0.0357908309677438,0
"MYSM1",0,0.0603912239732656,0.00782893277867664,0,0
"JUN",0.535986189789194,2.62063885486554,0.256746833054655,0.229901994156587,0.0901070093668857
"NFIA",0.0153644745834294,0.171169759355328,0.0380576183734959,0,0
"TM2D1",0.0106761528885458,0.262958086970322,0.0488664658830485,0.113728098851305,0
"USP1",0.0223688089501557,0,0.0650121371627689,0.045900391841232,0.204552589456075
"ATG4C",0.0277640248952067,0,0.0950229566768587,0.0539430958535921,0
"ITGB3BP",0.0106761528885458,0.0248574004140812,0.00782893277867664,0.0383941177046376,0
"PGM1",0,0.140841100012583,0,0.0753837386901077,0
"JAK1",0.0528184610756702,0.238791363515367,0.0749473306287923,0.180599969514815,0
"LEPROT",0.0636199361266382,0.603160901406797,0.0451476620487637,0.123435844966672,0
"LEPR",0,1.67606578891395,0,0,0
"PDE4B",0,0,0,0,0
"MIER1",0.042657574026145,0.19280599313137,0,0.0100057823931717,0
"SLC35D1",0,0.0188029551915343,0,0,0.110932376412847
"SERBP1",0.290278442111852,0.274150541304993,0.440881338521789,0.304547059944858,0.200924851795419
"GADD45A",0.161554060716758,0.192201072251592,0.213200354825998,0.33068764714899,0
"GNG12",0,0.0107927128669275,0.189643375459082,0,0
"WLS",0,0.164019439140271,0,0,0
"DEPDC1",0.0122684026506858,0,0.00782893277867664,0,0
"LRRC40",0,0.0408129086430745,0,0,0
"SRSF11",0.0871414338233837,0.420059801514351,0.162368137327549,0.279805549879931,0.0531730509938633
"ZRANB2",0.0294871111161958,0.311655429767047,0.0981305583541918,0.151413885840408,0.20604681868586
"TYW3",0,0,0,0.0958301662427641,0
"ACADM",0.0297151776092246,0.0205801582712914,0.00782893277867664,0.0579841634759502,0
"RABGGTB",0.0960350255810497,0.117740156471746,0.0455095486876209,0.0144029023261131,0.0879778648607746
"PIGK",0,0.0331725810522879,0,0,0
"ZZZ3",0,0.0127978916251743,0.0376806159089442,0,0
"USP33",0.0393276559614316,0.184498958954039,0.069610732974149,0.0508548779055329,0
"FAM73A",0.016251094108198,0.122161309352425,0,0.0793043426465352,0
"NEXN",0,0,0,0.0597557292959934,0
"FUBP1",0.0225433987259519,0.126552723957563,0.0756180869427113,0.113374942706103,0.217756765991568
"RP11-386I14.4",0.0337040636967748,0.302218027463351,0.131712289428236,0,0
"IFI44L",0.128981710550896,1.00864546237803,0.14974706582302,0.0650317920067144,0
"IFI44",0.0243260206090937,0.298904971819485,0.0354826897109979,0,0
"RP5-887A10.1",0,0.0244868922526153,0,0,0
"TTLL7",0.0952409290312806,0.129352238905308,0,0,0
"PRKACB",0.0125062395420462,0.026405849830589,0.0193201832389251,0.0272717115901601,0.0778578761803906
"RPF1",0,0.0343197020728539,0.0318187950091896,0.0100057823931717,0
"GNG5",0.145926591892235,0.329143976976749,0.213673132286593,0.709750469432627,0.509074672249958
"CTBS",0.0129752447759119,0.0689327276285919,0.0820299741661189,0.0992238331120686,0
"SSX2IP",0,0,0,0.0683491044007092,0
"C1orf52",0.0601561822843464,0.133231502762963,0.0682858195339191,0.041799119599234,0
"DDAH1",0,0.0233248761620679,0.0385953798948879,0,0
"CYR61",0,0.456414225355839,0.235729525649505,0,0
"ZNHIT6",0,0.0564357888267725,0,0,0
"ODF2L",0,0.693054848183841,0.0193201832389251,0.0408490955123611,0
"SH3GLB1",0.27059641671311,0.166239487744261,0.062670679879326,0.222087413858827,0.108150426234825
"SEP15",0.0574199401733013,0.328930071255187,0.158084226431005,0.349424790033578,0
"LMO4",0.0647300551047305,0.564832938228264,0.222108286230414,0.05921715771884,0
"PKN2",0.0704114146775376,0.166207669575672,0.0313282154889874,0.0292409610389706,0.108150426234825
"GTF2B",0.326688294042023,0.0891633116217706,0.0362992611218072,0.122271191138069,0
"RBMXL1",0.0123070883230126,0.103385545036088,0,0.0756121257148903,0
"GBP3",0.0174899151275669,0.147247649952146,0.0524721390503787,0,0
"GBP1",0.050404754298676,0.1227095781044,0.0100884845243511,0.0396486997197465,0
"GBP2",0,0.115410955026316,0,0.0703335086294851,0
"GBP4",0,0.062268481887892,0.030980255513353,0,0
"GBP5",0,0,0,0,0
"ZNF326",0.178358410562376,0.0902961241347241,0.0700606449937507,0,0
"RP4-665J23.1",0,0,0,0,0
"ZNF644",0.0244530146336821,0.177425823724717,0.0577441451363186,0,0
"TGFBR3",0,0.200650042232,0,0,0
"GFI1",0,0,0,0,0.168805026256035
"RPL5",0.374573642288386,0.988639071424619,1.19640313773546,1.79119186725656,0.404957346269694
"MTF2",0.0247149445074275,0.0193716782502426,0.0792120737163046,0.113953565546789,0
"TMED5",0.0248981451082586,0.017999748618884,0.00782893277867664,0.0633655994482109,0
"CCDC18",0,0.0914072006666765,0,0,0.167000702008937
"DR1",0.0402752011056599,0.117632789381256,0.0460982523755529,0.253870943286257,0
"BCAR3",0,0.01805309860903,0,0,0
"DNTTIP2",0.0293990641751942,0.117152077604691,0.0560387803405618,0.0501397725985945,0.113827651015074
"GCLM",0.17256106575558,0.100864931970797,0.0382129720469607,0.0364415436497357,0
"CNN3",0.0496112843032903,0.24650116027478,0.0427632992342157,0,0
"ALG14",0.0186472441586111,0.0317730023397219,0,0,0
"TMEM56",0.0716981106216406,0.0307044340976876,0.0320641673234746,0.0292409610389706,0
"AGL",0,0.0107927128669275,0.0374807435851003,0,0
"SLC35A3",0,0.0511480215638574,0,0,0.103929114976494
"MFSD14A",0.0606661760861069,0.0975310711473557,0,0,0
"TRMT13",0,0.0943689249154123,0,0.0299761966798694,0
"RTCA",0.0107728360035055,0,0,0.0631102909379165,0
"VCAM1",0,1.43436072993242,0.0574127799496851,0.0357908309677438,0
"SLC30A7",0,0.026405849830589,0,0.0684471599686997,0
"DPH5",0,0.027703921039477,0,0.0144029023261131,0
"RP11-421L21.3",0,0.026712946285286,0,0.0162626133344135,0
"S1PR1",0,0,0,0.0408490955123611,0
"RNPC3",0.0401055833351904,0.113609115673744,0,0,0
"PRPF38B",0.029250400268116,0.212665611286314,0.131153072292456,0.136754141834487,0.0531730509938633
