"","source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"61","Megakaryocyte","Megakaryocyte","MAP3K1","MYB","Receptor","Transcription Factor",0.299743775826145
"62","Megakaryocyte","Megakaryocyte","MAP3K14","MYB","Receptor","Transcription Factor",0.299743775826145
"63","Megakaryocyte","Megakaryocyte","MAP3K5","MYB","Receptor","Transcription Factor",0.299743775826145
"64","Megakaryocyte","Megakaryocyte","MAP3K7","MYB","Receptor","Transcription Factor",0.299743775826145
"65","Megakaryocyte","Megakaryocyte","MAP3K8","MYB","Receptor","Transcription Factor",0.299743775826145
"66","Megakaryocyte","Megakaryocyte","MAPK1","MYB","Receptor","Transcription Factor",0.299743775826145
"67","Megakaryocyte","Megakaryocyte","MAPK14","MYB","Receptor","Transcription Factor",0.299743775826145
"68","Megakaryocyte","Megakaryocyte","MAPK3","MYB","Receptor","Transcription Factor",0.299743775826145
"69","Megakaryocyte","Megakaryocyte","MAPK8","MYB","Receptor","Transcription Factor",0.299743775826145
"70","Megakaryocyte","Megakaryocyte","MAPKAPK2","MYB","Receptor","Transcription Factor",0.299743775826145
"71","Megakaryocyte","Megakaryocyte","MTOR","MYB","Receptor","Transcription Factor",0.299743775826145
"72","Megakaryocyte","Megakaryocyte","NCL","MYB","Receptor","Transcription Factor",0.299743775826145
"73","Megakaryocyte","Megakaryocyte","NLK","MYB","Receptor","Transcription Factor",0.299743775826145
"74","Megakaryocyte","Megakaryocyte","NLRC4","MYB","Receptor","Transcription Factor",0.299743775826145
"75","Megakaryocyte","Megakaryocyte","NTRK1","MYB","Receptor","Transcription Factor",0.299743775826145
"76","Megakaryocyte","Megakaryocyte","NTRK2","MYB","Receptor","Transcription Factor",0.299743775826145
"77","Megakaryocyte","Megakaryocyte","NTRK3","MYB","Receptor","Transcription Factor",0.299743775826145
"78","Megakaryocyte","Megakaryocyte","PAK1","MYB","Receptor","Transcription Factor",0.299743775826145
"79","Megakaryocyte","Megakaryocyte","PDK1","MYB","Receptor","Transcription Factor",0.299743775826145
"80","Megakaryocyte","Megakaryocyte","PDPK1","MYB","Receptor","Transcription Factor",0.299743775826145
"81","Megakaryocyte","Megakaryocyte","PIK3CA+PIK3R1","MYB","Receptor","Transcription Factor",0.299743775826145
"82","Megakaryocyte","Megakaryocyte","PIK3CA","MYB","Receptor","Transcription Factor",0.299743775826145
"83","Megakaryocyte","Megakaryocyte","PIK3R1","MYB","Receptor","Transcription Factor",0.299743775826145
"84","Megakaryocyte","Megakaryocyte","PKN2","MYB","Receptor","Transcription Factor",0.299743775826145
"85","Megakaryocyte","Megakaryocyte","PLK1","MYB","Receptor","Transcription Factor",0.299743775826145
"86","Megakaryocyte","Megakaryocyte","PLK2","MYB","Receptor","Transcription Factor",0.299743775826145
"87","Megakaryocyte","Megakaryocyte","PRKAA1","MYB","Receptor","Transcription Factor",0.299743775826145
"88","Megakaryocyte","Megakaryocyte","PRKACA","MYB","Receptor","Transcription Factor",0.299743775826145
"89","Megakaryocyte","Megakaryocyte","PRKCA","MYB","Receptor","Transcription Factor",0.299743775826145
"90","Megakaryocyte","Megakaryocyte","PRKCB","MYB","Receptor","Transcription Factor",0.299743775826145
"91","Megakaryocyte","Megakaryocyte","PRKCD","MYB","Receptor","Transcription Factor",0.299743775826145
"92","Megakaryocyte","Megakaryocyte","PRKCE","MYB","Receptor","Transcription Factor",0.299743775826145
"93","Megakaryocyte","Megakaryocyte","PRKCI","MYB","Receptor","Transcription Factor",0.299743775826145
"94","Megakaryocyte","Megakaryocyte","PRKCZ","MYB","Receptor","Transcription Factor",0.299743775826145
"95","Megakaryocyte","Megakaryocyte","PRNP","MYB","Receptor","Transcription Factor",0.299743775826145
"96","Megakaryocyte","Megakaryocyte","PSEN1","MYB","Receptor","Transcription Factor",0.299743775826145
"97","Megakaryocyte","Megakaryocyte","PTEN","MYB","Receptor","Transcription Factor",0.299743775826145
"98","Megakaryocyte","Megakaryocyte","PTK2","MYB","Receptor","Transcription Factor",0.299743775826145
"99","Megakaryocyte","Megakaryocyte","PTPN1","MYB","Receptor","Transcription Factor",0.299743775826145
"100","Megakaryocyte","Megakaryocyte","PTPRF","MYB","Receptor","Transcription Factor",0.299743775826145
"101","Megakaryocyte","Megakaryocyte","RACK1","MYB","Receptor","Transcription Factor",0.299743775826145
"102","Megakaryocyte","Megakaryocyte","RAF1","MYB","Receptor","Transcription Factor",0.299743775826145
"103","Megakaryocyte","Megakaryocyte","RET","MYB","Receptor","Transcription Factor",0.299743775826145
"104","Megakaryocyte","Megakaryocyte","RIPK1","MYB","Receptor","Transcription Factor",0.299743775826145
"105","Megakaryocyte","Megakaryocyte","RIPK3","MYB","Receptor","Transcription Factor",0.299743775826145
"106","Megakaryocyte","Megakaryocyte","RPS6KA3","MYB","Receptor","Transcription Factor",0.299743775826145
"107","Megakaryocyte","Megakaryocyte","RPS6KB1","MYB","Receptor","Transcription Factor",0.299743775826145
"108","Megakaryocyte","Megakaryocyte","RYK","MYB","Receptor","Transcription Factor",0.299743775826145
"109","Megakaryocyte","Megakaryocyte","SENP1","MYB","Receptor","Transcription Factor",0.299743775826145
"110","Megakaryocyte","Megakaryocyte","SGK1","MYB","Receptor","Transcription Factor",0.299743775826145
"111","Megakaryocyte","Megakaryocyte","SIGIRR","MYB","Receptor","Transcription Factor",0.299743775826145
"112","Megakaryocyte","Megakaryocyte","SIRT1","MYB","Receptor","Transcription Factor",0.299743775826145
"113","Megakaryocyte","Megakaryocyte","SRC","MYB","Receptor","Transcription Factor",0.299743775826145
"114","Megakaryocyte","Megakaryocyte","STRADB","MYB","Receptor","Transcription Factor",0.299743775826145
"115","Megakaryocyte","Megakaryocyte","SYK","MYB","Receptor","Transcription Factor",0.299743775826145
"116","Megakaryocyte","Megakaryocyte","TBK1","MYB","Receptor","Transcription Factor",0.299743775826145
"117","Megakaryocyte","Megakaryocyte","TGFBR1","MYB","Receptor","Transcription Factor",0.299743775826145
"118","Megakaryocyte","Megakaryocyte","TGFBR2","MYB","Receptor","Transcription Factor",0.299743775826145
"119","Megakaryocyte","Megakaryocyte","TLR2","MYB","Receptor","Transcription Factor",0.299743775826145
"120","Megakaryocyte","Megakaryocyte","TLR3","MYB","Receptor","Transcription Factor",0.299743775826145
"121","Megakaryocyte","Megakaryocyte","TLR4","MYB","Receptor","Transcription Factor",0.299743775826145
"122","Megakaryocyte","Megakaryocyte","TLR9","MYB","Receptor","Transcription Factor",0.299743775826145
"123","Megakaryocyte","Megakaryocyte","TNFRSF11A","MYB","Receptor","Transcription Factor",0.299743775826145
"124","Megakaryocyte","Megakaryocyte","TNK2","MYB","Receptor","Transcription Factor",0.299743775826145
"125","Megakaryocyte","Megakaryocyte","TTN","MYB","Receptor","Transcription Factor",0.299743775826145
"126","Megakaryocyte","Megakaryocyte","WNK1","MYB","Receptor","Transcription Factor",0.299743775826145
"127","Megakaryocyte","Megakaryocyte","XIAP","MYB","Receptor","Transcription Factor",0.299743775826145
"128","Megakaryocyte","Megakaryocyte","ABL1","NFAT5","Receptor","Transcription Factor",1.90873252983883
"129","Megakaryocyte","Megakaryocyte","ATM","NFAT5","Receptor","Transcription Factor",1.90873252983883
"130","Megakaryocyte","Megakaryocyte","CDK1","NFAT5","Receptor","Transcription Factor",1.90873252983883
"131","Megakaryocyte","Megakaryocyte","CDK2","NFAT5","Receptor","Transcription Factor",1.90873252983883
"132","Megakaryocyte","Megakaryocyte","CDK5","NFAT5","Receptor","Transcription Factor",1.90873252983883
"133","Megakaryocyte","Megakaryocyte","CSNK1A1","NFAT5","Receptor","Transcription Factor",1.90873252983883
"134","Megakaryocyte","Megakaryocyte","GNAS","NFAT5","Receptor","Transcription Factor",1.90873252983883
"135","Megakaryocyte","Megakaryocyte","GSK3A","NFAT5","Receptor","Transcription Factor",1.90873252983883
"136","Megakaryocyte","Megakaryocyte","GSK3B","NFAT5","Receptor","Transcription Factor",1.90873252983883
"137","Megakaryocyte","Megakaryocyte","LRP5","NFAT5","Receptor","Transcription Factor",1.90873252983883
"138","Megakaryocyte","Megakaryocyte","LRP6","NFAT5","Receptor","Transcription Factor",1.90873252983883
"139","Megakaryocyte","Megakaryocyte","MAP3K4","NFAT5","Receptor","Transcription Factor",1.90873252983883
"140","Megakaryocyte","Megakaryocyte","MAPK14","NFAT5","Receptor","Transcription Factor",1.90873252983883
"141","Megakaryocyte","Megakaryocyte","PLK1","NFAT5","Receptor","Transcription Factor",1.90873252983883
"142","Megakaryocyte","Megakaryocyte","PRKACA","NFAT5","Receptor","Transcription Factor",1.90873252983883
"143","Megakaryocyte","Megakaryocyte","TGFBR1","NFAT5","Receptor","Transcription Factor",1.90873252983883
"144","Megakaryocyte","Megakaryocyte","ATM","STAT4","Receptor","Transcription Factor",0.764499751322428
"145","Megakaryocyte","Megakaryocyte","CAMKK1","STAT4","Receptor","Transcription Factor",0.764499751322428
"146","Megakaryocyte","Megakaryocyte","CASP3","STAT4","Receptor","Transcription Factor",0.764499751322428
"147","Megakaryocyte","Megakaryocyte","CSF1R","STAT4","Receptor","Transcription Factor",0.764499751322428
"148","Megakaryocyte","Megakaryocyte","CSNK1A1","STAT4","Receptor","Transcription Factor",0.764499751322428
"149","Megakaryocyte","Megakaryocyte","CSNK1G2","STAT4","Receptor","Transcription Factor",0.764499751322428
"150","Megakaryocyte","Megakaryocyte","EGFR","STAT4","Receptor","Transcription Factor",0.764499751322428
"151","Megakaryocyte","Megakaryocyte","GSK3A","STAT4","Receptor","Transcription Factor",0.764499751322428
"152","Megakaryocyte","Megakaryocyte","GSK3B","STAT4","Receptor","Transcription Factor",0.764499751322428
