"","receptor","tf"
"578","AKT2","E2F2"
"580","AKT2","E2F3"
"584","AKT2","E2F5"
"586","AKT2","EGR1"
"587","AKT2","EPAS1"
"588","AKT2","ERF"
"589","AKT2","FOXA2"
"595","AKT2","FOXG1"
"601","AKT2","FOXM1"
"603","AKT2","FOXO1"
"611","AKT2","FOXO3"
"619","AKT2","FOXO4"
"626","AKT2","FOXO6"
"632","AKT2","FOXP3"
"633","AKT2","GATA1"
"639","AKT2","GATA2"
"645","AKT2","GATA6"
"646","AKT2","HAND1"
"652","AKT2","HES5"
"658","AKT2","HIF1A"
"662","AKT2","JUN"
"665","AKT2","LEF1"
"666","AKT2","MEF2C"
"668","AKT2","MEF2D"
"669","AKT2","MITF"
"675","AKT2","MXD1"
"682","AKT2","MYBL2"
"686","AKT2","MYC"
"688","AKT2","MYOD1"
"694","AKT2","MYT1"
"700","AKT2","NEUROD1"
"701","AKT2","NFATC2"
"707","AKT2","NFATC3"
"708","AKT2","NFATC4"
"709","AKT2","NFKB1"
"713","AKT2","NFKB2"
"714","AKT2","NR4A1"
"720","AKT2","NRF1"
"726","AKT2","OSR1"
"727","AKT2","PITX2"
"734","AKT2","POU2F1"
"735","AKT2","POU5F1"
"744","AKT2","RBPJ"
"745","AKT2","RELA"
"749","AKT2","RUNX1"
"750","AKT2","RUNX2"
"757","AKT2","SKI"
"763","AKT2","SMAD1"
"764","AKT2","SMAD3"
"772","AKT2","SMAD4"
"774","AKT2","SOX2"
"780","AKT2","SP1"
"792","AKT2","SP3"
"793","AKT2","SPI1"
"794","AKT2","SPIB"
"795","AKT2","SREBF1"
"796","AKT2","SRF"
"797","AKT2","STAT1"
"803","AKT2","TAL1"
"809","AKT2","TBP"
"811","AKT2","TCF3"
"812","AKT2","TEAD1"
"813","AKT2","TEAD2"
"814","AKT2","TEAD3"
"815","AKT2","TEAD4"
"816","AKT2","TERF1"
"822","AKT2","TFCP2"
"825","AKT2","TFDP1"
"826","AKT2","TFEB"
"827","AKT2","TP53"
"838","AKT2","TP73"
"842","AKT2","TSC22D1"
"843","AKT2","TWIST1"
"849","AKT2","YBX1"
"855","AKT2","YY1"
"856","AKT2","ZNF322"
"863","AKT3","AIRE"
"864","AKT3","ATF1"
"865","AKT3","ATF2"
"866","AKT3","CREB1"
"870","AKT3","DLX5"
"873","AKT3","E2F1"
"878","AKT3","E2F2"
"880","AKT3","E2F3"
"883","AKT3","E2F5"
"884","AKT3","EGR1"
"885","AKT3","ERF"
"886","AKT3","FOXA2"
"889","AKT3","FOXG1"
"892","AKT3","FOXM1"
"894","AKT3","FOXO1"
"897","AKT3","FOXO3"
"902","AKT3","FOXO4"
"905","AKT3","FOXO6"
"908","AKT3","GATA1"
"911","AKT3","GATA2"
"914","AKT3","HAND1"
"917","AKT3","HES5"
"920","AKT3","HIF1A"
"922","AKT3","IRF3"
"923","AKT3","JUN"
"926","AKT3","MEF2C"
"928","AKT3","MITF"
"931","AKT3","MXD1"
"934","AKT3","MYBL2"
"936","AKT3","MYC"
"937","AKT3","MYOD1"
"941","AKT3","MYT1"
"944","AKT3","NFATC2"
"947","AKT3","NFATC4"
"948","AKT3","NFKB1"
"952","AKT3","NFKB2"
"953","AKT3","NR4A1"
"956","AKT3","NRF1"
"959","AKT3","PITX2"
"962","AKT3","POU5F1"
"967","AKT3","RELA"
"970","AKT3","RUNX1"
"971","AKT3","RUNX2"
"974","AKT3","SKI"
"977","AKT3","SMAD3"
"980","AKT3","SMAD4"
"981","AKT3","SOX2"
"984","AKT3","SP1"
"992","AKT3","SP3"
"993","AKT3","SPI1"
"994","AKT3","SREBF1"
"995","AKT3","STAT1"
"998","AKT3","TAL1"
"1001","AKT3","TBP"
"1002","AKT3","TBX3"
"1003","AKT3","TERF1"
"1006","AKT3","TFCP2"
"1008","AKT3","TFDP1"
"1009","AKT3","TP53"
"1016","AKT3","TP73"
"1018","AKT3","TWIST1"
"1021","AKT3","YBX1"
"1024","AKT3","YY1"
"1025","AKT3","ZNF322"
"1028","ALK","CREB1"
"1030","ALK","DLX5"
"1031","ALK","ELF1"
"1032","ALK","ELK1"
"1036","ALK","FOXA2"
"1037","ALK","FOXG1"
"1038","ALK","FOXO1"
"1039","ALK","FOXO3"
"1044","ALK","FOXO4"
"1045","ALK","FOXO6"
"1046","ALK","GATA1"
"1047","ALK","GATA2"
"1048","ALK","HAND1"
"1049","ALK","HES5"
"1050","ALK","HMGA1"
"1051","ALK","IKZF3"
"1055","ALK","IRF3"
"1056","ALK","JUN"
"1057","ALK","MITF"
"1058","ALK","MXD1"
"1059","ALK","MYC"
"1060","ALK","MYT1"
"1061","ALK","NFATC2"
"1062","ALK","NR4A1"
"1063","ALK","NRF1"
"1064","ALK","PITX2"
"1065","ALK","POU5F1"
"1066","ALK","RELA"
"1067","ALK","RUNX2"
"1068","ALK","SKI"
