"","receptor","tf"
"13678","GSK3B","ZBTB21"
"13679","GSK3B","ZBTB33"
"13681","GSK3B","ZBTB49"
"13682","GSK3B","ZC3H8"
"13684","GSK3B","ZFPM1"
"13685","GSK3B","ZHX1"
"13688","GSK3B","ZNF217"
"13689","GSK3B","ZNF281"
"13691","GSK3B","ZNF322"
"13706","GSK3B","ZNF335"
"13707","GSK3B","ZNF692"
"13708","GSK3B","ZNF746"
"13709","GZMB","CREB1"
"13710","GZMB","DLX5"
"13711","GZMB","FOXA2"
"13712","GZMB","FOXG1"
"13713","GZMB","FOXO1"
"13714","GZMB","FOXO3"
"13715","GZMB","FOXO4"
"13716","GZMB","FOXO6"
"13717","GZMB","GATA1"
"13718","GZMB","GATA2"
"13719","GZMB","HAND1"
"13720","GZMB","HES5"
"13721","GZMB","MITF"
"13722","GZMB","MXD1"
"13723","GZMB","MYT1"
"13724","GZMB","NFATC2"
"13725","GZMB","NR4A1"
"13726","GZMB","NRF1"
"13727","GZMB","PITX2"
"13728","GZMB","POU5F1"
"13729","GZMB","RUNX2"
"13730","GZMB","SKI"
"13731","GZMB","SMAD3"
"13732","GZMB","SOX2"
"13733","GZMB","SP1"
"13734","GZMB","STAT1"
"13735","GZMB","TAL1"
"13736","GZMB","TERF1"
"13737","GZMB","TP53"
"13738","GZMB","TWIST1"
"13739","GZMB","YBX1"
"13740","GZMB","ZNF322"
"13741","HCK","AIRE"
"13742","HCK","CEBPB"
"13744","HCK","CREB1"
"13747","HCK","DLX5"
"13748","HCK","ELF1"
"13750","HCK","ELK1"
"13757","HCK","FOXA2"
"13758","HCK","FOXG1"
"13759","HCK","FOXO1"
"13760","HCK","FOXO3"
"13765","HCK","FOXO4"
"13766","HCK","FOXO6"
"13767","HCK","GATA1"
"13768","HCK","GATA2"
"13769","HCK","HAND1"
"13770","HCK","HES5"
"13771","HCK","IKZF3"
"13778","HCK","IRF3"
"13780","HCK","JUN"
"13786","HCK","MITF"
"13787","HCK","MXD1"
"13788","HCK","MYC"
"13790","HCK","MYOD1"
"13791","HCK","MYT1"
"13792","HCK","NFATC2"
"13794","HCK","NFKB1"
"13797","HCK","NKX2-1"
"13798","HCK","NR4A1"
"13799","HCK","NRF1"
"13800","HCK","PAX3"
"13801","HCK","PAX8"
"13802","HCK","PITX2"
"13803","HCK","POU5F1"
"13804","HCK","RBPJ"
"13805","HCK","RELA"
"13808","HCK","RUNX2"
"13810","HCK","SKI"
"13811","HCK","SMAD1"
"13813","HCK","SMAD3"
"13821","HCK","SMAD4"
"13822","HCK","SOX2"
"13823","HCK","SP1"
"13826","HCK","STAT1"
"13828","HCK","STAT5A"
"13830","HCK","STAT5B"
"13833","HCK","TAL1"
"13834","HCK","TEAD1"
"13835","HCK","TEAD2"
"13836","HCK","TEAD3"
"13837","HCK","TEAD4"
"13838","HCK","TERF1"
"13839","HCK","TFCP2"
"13841","HCK","TP53"
"13846","HCK","TP73"
"13847","HCK","TWIST1"
"13848","HCK","XBP1"
"13849","HCK","YBX1"
"13850","HCK","ZNF24"
"13851","HCK","ZNF322"
"13852","HDAC3","ATF1"
"13853","HDAC3","ATF2"
"13855","HDAC3","E2F1"
"13865","HDAC3","E2F2"
"13869","HDAC3","E2F3"
"13873","HDAC3","E2F4"
"13875","HDAC3","E2F5"
"13877","HDAC3","ERF"
"13878","HDAC3","FOXM1"
"13880","HDAC3","HIF1A"
"13882","HDAC3","JUN"
"13885","HDAC3","MAFK"
"13886","HDAC3","MEF2C"
"13888","HDAC3","MYBL2"
"13891","HDAC3","MYC"
"13896","HDAC3","MYOD1"
"13900","HDAC3","NFATC4"
"13901","HDAC3","NFKB1"
"13902","HDAC3","POU5F1"
"13903","HDAC3","RELA"
"13904","HDAC3","RUNX1"
"13905","HDAC3","RUNX2"
"13906","HDAC3","SP1"
"13910","HDAC3","SP3"
"13912","HDAC3","SPI1"
"13914","HDAC3","SREBF1"
"13915","HDAC3","TBP"
"13917","HDAC3","TFCP2"
"13919","HDAC3","TFDP1"
"13921","HDAC3","TP53"
"13924","HDAC3","TP73"
"13926","HDAC3","YY1"
"13928","HDAC4","ATF1"
"13929","HDAC4","ATF2"
"13930","HDAC4","E2F1"
"13935","HDAC4","E2F2"
"13937","HDAC4","E2F3"
"13940","HDAC4","E2F5"
"13941","HDAC4","ERF"
"13942","HDAC4","FOXM1"
"13944","HDAC4","HIF1A"
"13945","HDAC4","JUN"
"13947","HDAC4","MEF2A"
"13948","HDAC4","MEF2C"
"13951","HDAC4","MEF2D"
"13952","HDAC4","MYBL2"
"13954","HDAC4","MYC"
"13955","HDAC4","MYOD1"
"13958","HDAC4","NFATC4"
"13959","HDAC4","POU5F1"
"13960","HDAC4","RUNX1"
"13961","HDAC4","RUNX2"
"13962","HDAC4","SP1"
"13965","HDAC4","SP3"
"13966","HDAC4","SPI1"
"13967","HDAC4","SREBF1"
"13968","HDAC4","TBP"
"13969","HDAC4","TFCP2"
"13971","HDAC4","TFDP1"
"13972","HDAC4","TP53"
"13974","HDAC4","TP73"
"13976","HDAC4","YY1"
"13977","HDAC5","MEF2A"
"13978","HDAC5","MEF2C"
"13979","HDAC5","MEF2D"
"13980","HDAC5","RUNX2"
"13981","HDAC6","ATF4"
"13982","HDAC6","ATF5"
"13983","HDAC6","DDIT3"
"13984","HDAC6","E2F1"
"13986","HDAC6","E2F3"
"13987","HDAC6","FOS"
"13988","HDAC6","FOXM1"
"13989","HDAC6","MEF2C"
"13990","HDAC6","MYBL2"
"13991","HDAC6","MYC"
"13992","HDAC6","RELA"
"13993","HDAC6","SMAD3"
"13994","HDAC6","SMAD4"
"13995","HDAC6","SP1"
"13996","HDAC6","TP53"
"13999","HDAC7","PLAG1"
"14000","HDAC7","PLAGL2"
"14001","HIPK2","AIRE"
"14003","HIPK2","ARNT"
"14004","HIPK2","ARNTL"
"14005","HIPK2","ATF1"
"14006","HIPK2","CEBPA"
"14007","HIPK2","CEBPB"
"14008","HIPK2","CREB1"
"14010","HIPK2","CTCF"
"14012","HIPK2","E2F1"
"14016","HIPK2","E2F3"
"14017","HIPK2","E2F5"
"14018","HIPK2","ELF4"
"14023","HIPK2","ETV5"
"14024","HIPK2","FOS"
"14025","HIPK2","FOXL2"
"14026","HIPK2","FOXO1"
"14028","HIPK2","FOXP3"
"14029","HIPK2","HMGA1"
"14030","HIPK2","HNF1A"
"14031","HIPK2","HNF4A"
"14032","HIPK2","HSF2"
"14033","HIPK2","IRF5"
"14034","HIPK2","IRF7"
"14036","HIPK2","JUN"
"14039","HIPK2","KLF3"
"14040","HIPK2","LEF1"
"14041","HIPK2","MECP2"
"14042","HIPK2","MITF"
"14043","HIPK2","MYB"
"14046","HIPK2","MYBL2"
"14048","HIPK2","MYC"
"14050","HIPK2","MYOD1"
"14052","HIPK2","NCOA1"
"14054","HIPK2","NFATC1"
"14055","HIPK2","NFKB1"
"14056","HIPK2","NKX2-1"
"14057","HIPK2","NKX2-5"
"14060","HIPK2","NKX3-1"
"14062","HIPK2","NR2F2"
"14063","HIPK2","NR5A1"
"14064","HIPK2","PAX6"
"14066","HIPK2","PDX1"
"14067","HIPK2","PLAG1"
"14068","HIPK2","POU5F1"
"14069","HIPK2","RELA"
"14070","HIPK2","RUNX1"
"14072","HIPK2","RUNX2"
"14074","HIPK2","SIX3"
"14075","HIPK2","SIX6"
"14076","HIPK2","SKI"
"14077","HIPK2","SMAD1"
"14080","HIPK2","SMAD3"
"14084","HIPK2","SMAD4"
"14089","HIPK2","SOX4"
"14090","HIPK2","SOX6"
"14093","HIPK2","SP1"
"14094","HIPK2","SP100"
"14095","HIPK2","SP3"
"14098","HIPK2","SREBF1"
"14100","HIPK2","SRF"
"14103","HIPK2","STAT1"
"14105","HIPK2","TEAD1"
"14107","HIPK2","TEAD2"
"14109","HIPK2","TEAD3"
"14111","HIPK2","TEAD4"
"14113","HIPK2","TFAP2B"
"14114","HIPK2","TFAP2C"
"14115","HIPK2","TFCP2"
"14116","HIPK2","TP53"
"14129","HIPK2","TP63"
"14130","HIPK2","TP73"
"14134","HIPK2","TRPS1"
"14135","HIPK2","ZBTB16"
"14137","HIPK2","ZBTB4"
"14138","HIPK2","ZEB2"
"14139","HIPK2","ZHX1"
"14140","HIPK2","ZNF10"
"14141","HMGB1","FOXM1"
"14142","HMGB1","HOXB3"
"14143","HMGB1","HOXC6"
"14144","HMGB1","HOXD10"
"14145","HMGB1","HOXD11"
"14146","HMGB1","HOXD3"
"14147","HMGB1","HOXD9"
"14148","HMGB1","JUN"
"14149","HMGB1","MEF2C"
"14150","HMGB1","MEIS1"
"14153","HMGB1","MYC"
"14154","HMGB1","NFKB1"
"14155","HMGB1","TP53"
"14157","HSP90AA1","AHR"
"14158","HSP90AA1","AIRE"
"14159","HSP90AA1","ARNT"
"14160","HSP90AA1","ARNTL"
"14161","HSP90AA1","ASCL1"
"14162","HSP90AA1","ATF1"
"14163","HSP90AA1","ATF2"
"14165","HSP90AA1","ATF4"
"14167","HSP90AA1","ATF5"
"14168","HSP90AA1","ATOH1"
"14169","HSP90AA1","CEBPD"
"14170","HSP90AA1","CREB1"
"14172","HSP90AA1","CREB3"
"14173","HSP90AA1","CREM"
"14174","HSP90AA1","CUX2"
"14175","HSP90AA1","DDIT3"
"14177","HSP90AA1","DLX5"
"14178","HSP90AA1","E2F1"
"14183","HSP90AA1","E2F2"
"14184","HSP90AA1","E2F3"
"14185","HSP90AA1","EGR1"
"14186","HSP90AA1","ELF1"
"14187","HSP90AA1","EPAS1"
"14188","HSP90AA1","ETV1"
"14189","HSP90AA1","FOS"
"14190","HSP90AA1","FOSB"
"14191","HSP90AA1","FOXA2"
"14192","HSP90AA1","FOXG1"
"14193","HSP90AA1","FOXO1"
"14197","HSP90AA1","FOXO3"
"14200","HSP90AA1","FOXO4"
"14201","HSP90AA1","FOXO6"
"14202","HSP90AA1","GATA1"
"14204","HSP90AA1","GATA2"
"14205","HSP90AA1","GLI1"
"14207","HSP90AA1","HAND1"
"14208","HSP90AA1","HES5"
"14209","HSP90AA1","HES6"
"14210","HSP90AA1","HHEX"
"14211","HSP90AA1","HIC2"
"14212","HSP90AA1","HIF1A"
"14216","HSP90AA1","HMGA1"
"14218","HSP90AA1","HMGA2"
"14219","HSP90AA1","HOXA11"
"14220","HSP90AA1","HOXB6"
"14221","HSP90AA1","HOXB7"
"14222","HSP90AA1","HOXC4"
"14223","HSP90AA1","HSF1"
"14225","HSP90AA1","IKZF1"
"14227","HSP90AA1","IRF2"
"14228","HSP90AA1","IRF3"
"14230","HSP90AA1","IRF5"
"14231","HSP90AA1","JUN"
"14234","HSP90AA1","KLF1"
"14236","HSP90AA1","LEF1"
"14239","HSP90AA1","MAX"
"14241","HSP90AA1","MAZ"
"14243","HSP90AA1","MECOM"
"14244","HSP90AA1","MEF2A"
"14245","HSP90AA1","MEF2C"
"14247","HSP90AA1","MEF2D"
"14248","HSP90AA1","MITF"
"14249","HSP90AA1","MXD1"
"14250","HSP90AA1","MYB"
"14252","HSP90AA1","MYC"
"14256","HSP90AA1","MYCN"
"14257","HSP90AA1","MYOD1"
"14260","HSP90AA1","MYT1"
"14261","HSP90AA1","NFATC2"
"14262","HSP90AA1","NFATC3"
"14264","HSP90AA1","NFKB1"
"14268","HSP90AA1","NFKB2"
"14270","HSP90AA1","NKX2-5"
"14271","HSP90AA1","NR4A1"
"14273","HSP90AA1","NR4A2"
"14274","HSP90AA1","NRF1"
"14275","HSP90AA1","OSR1"
"14276","HSP90AA1","PAX3"
"14277","HSP90AA1","PDX1"
"14278","HSP90AA1","PIN1"
"14280","HSP90AA1","PITX2"
"14281","HSP90AA1","POU2F1"
"14282","HSP90AA1","POU5F1"
"14284","HSP90AA1","PURB"
"14285","HSP90AA1","RBPJ"
"14286","HSP90AA1","RELA"
"14293","HSP90AA1","RUNX2"
"14295","HSP90AA1","SHOX"
"14296","HSP90AA1","SKI"
"14297","HSP90AA1","SMAD1"
"14300","HSP90AA1","SMAD3"
"14309","HSP90AA1","SMAD4"
"14312","HSP90AA1","SNAI1"
"14314","HSP90AA1","SOX2"
"14315","HSP90AA1","SP1"
"14322","HSP90AA1","SP3"
"14324","HSP90AA1","SPI1"
"14326","HSP90AA1","SPIB"
"14328","HSP90AA1","SRF"
"14331","HSP90AA1","STAT1"
"14333","HSP90AA1","STAT4"
"14334","HSP90AA1","TAL1"
"14335","HSP90AA1","TBP"
"14336","HSP90AA1","TCF3"
"14337","HSP90AA1","TCF4"
"14338","HSP90AA1","TCF7L2"
"14339","HSP90AA1","TEAD1"
"14340","HSP90AA1","TEAD2"
"14341","HSP90AA1","TEAD3"
"14342","HSP90AA1","TEAD4"
"14343","HSP90AA1","TERF1"
"14346","HSP90AA1","TFAP2A"
"14347","HSP90AA1","TFCP2"
"14348","HSP90AA1","TFDP1"
"14349","HSP90AA1","TFEB"
"14350","HSP90AA1","TP53"
"14367","HSP90AA1","TP63"
"14368","HSP90AA1","TP73"
"14370","HSP90AA1","TWIST1"
"14372","HSP90AA1","USF1"
"14373","HSP90AA1","YBX1"
"14374","HSP90AA1","YY1"
"14376","HSP90AA1","ZBTB16"
"14377","HSP90AA1","ZC3H8"
"14378","HSP90AA1","ZHX1"
"14379","HSP90AA1","ZNF322"
"14381","HSP90AB1","AIRE"
"14382","HSP90AB1","ARNT"
"14383","HSP90AB1","ASCL1"
"14384","HSP90AB1","ATF1"
"14385","HSP90AB1","ATF2"
"14386","HSP90AB1","ATF4"
"14388","HSP90AB1","ATF5"
"14389","HSP90AB1","ATOH1"
"14390","HSP90AB1","CEBPD"
"14391","HSP90AB1","CREB1"
"14393","HSP90AB1","CREB3"
"14394","HSP90AB1","CREM"
"14395","HSP90AB1","CUX2"
"14396","HSP90AB1","DDIT3"
"14398","HSP90AB1","DLX5"
"14399","HSP90AB1","E2F1"
"14403","HSP90AB1","EGR1"
"14404","HSP90AB1","ELF1"
"14405","HSP90AB1","EPAS1"
"14406","HSP90AB1","ETV1"
"14407","HSP90AB1","FOS"
"14408","HSP90AB1","FOSB"
"14409","HSP90AB1","FOXA2"
"14410","HSP90AB1","FOXG1"
"14411","HSP90AB1","FOXO1"
"14415","HSP90AB1","FOXO3"
"14418","HSP90AB1","FOXO4"
"14419","HSP90AB1","FOXO6"
"14420","HSP90AB1","GABPA"
"14421","HSP90AB1","GATA1"
"14423","HSP90AB1","GATA2"
"14424","HSP90AB1","GLI1"
"14426","HSP90AB1","GLIS2"
"14427","HSP90AB1","HAND1"
"14428","HSP90AB1","HES5"
"14429","HSP90AB1","HES6"
"14430","HSP90AB1","HHEX"
"14431","HSP90AB1","HIC2"
"14432","HSP90AB1","HIF1A"
"14435","HSP90AB1","HMGA1"
"14437","HSP90AB1","HMGA2"
"14438","HSP90AB1","HOXA11"
"14439","HSP90AB1","HOXB7"
"14440","HSP90AB1","HOXC4"
"14441","HSP90AB1","HSF1"
"14443","HSP90AB1","HSF2"
"14444","HSP90AB1","IKZF1"
"14446","HSP90AB1","IRF2"
"14447","HSP90AB1","IRF3"
"14449","HSP90AB1","IRF5"
"14450","HSP90AB1","JUN"
"14452","HSP90AB1","KLF1"
"14454","HSP90AB1","LEF1"
"14456","HSP90AB1","MAX"
"14457","HSP90AB1","MAZ"
"14459","HSP90AB1","MECOM"
"14460","HSP90AB1","MEF2A"
"14461","HSP90AB1","MEF2C"
"14463","HSP90AB1","MEF2D"
"14464","HSP90AB1","MITF"
"14465","HSP90AB1","MXD1"
"14466","HSP90AB1","MYB"
"14467","HSP90AB1","MYC"
"14470","HSP90AB1","MYCN"
"14471","HSP90AB1","MYT1"
"14472","HSP90AB1","NFATC2"
"14473","HSP90AB1","NFATC3"
"14474","HSP90AB1","NFKB1"
"14478","HSP90AB1","NFKB2"
"14479","HSP90AB1","NKX2-5"
"14480","HSP90AB1","NR4A1"
"14482","HSP90AB1","NR4A2"
"14483","HSP90AB1","NRF1"
"14484","HSP90AB1","OSR1"
"14485","HSP90AB1","PAX3"
"14486","HSP90AB1","PDX1"
"14487","HSP90AB1","PIN1"
"14489","HSP90AB1","PITX2"
"14490","HSP90AB1","POU2F1"
"14491","HSP90AB1","POU5F1"
"14493","HSP90AB1","RBPJ"
"14494","HSP90AB1","RELA"
"14501","HSP90AB1","RUNX2"
"14503","HSP90AB1","SHOX"
"14504","HSP90AB1","SKI"
"14505","HSP90AB1","SMAD1"
"14508","HSP90AB1","SMAD3"
"14516","HSP90AB1","SMAD4"
"14519","HSP90AB1","SNAI1"
"14520","HSP90AB1","SOX2"
"14521","HSP90AB1","SP1"
"14527","HSP90AB1","SP3"
"14528","HSP90AB1","SPI1"
"14529","HSP90AB1","SPIB"
"14531","HSP90AB1","SRF"
"14534","HSP90AB1","STAT1"
"14536","HSP90AB1","STAT4"
"14537","HSP90AB1","TAL1"
"14538","HSP90AB1","TCF4"
"14539","HSP90AB1","TCF7L2"
"14540","HSP90AB1","TEAD1"
"14541","HSP90AB1","TEAD2"
"14542","HSP90AB1","TEAD3"
"14543","HSP90AB1","TEAD4"
"14544","HSP90AB1","TERF1"
"14547","HSP90AB1","TFAP2A"
"14548","HSP90AB1","TFCP2"
"14549","HSP90AB1","TFEB"
"14550","HSP90AB1","TP53"
"14562","HSP90AB1","TP63"
"14563","HSP90AB1","TP73"
"14565","HSP90AB1","TWIST1"
"14567","HSP90AB1","USF1"
"14568","HSP90AB1","YBX1"
"14569","HSP90AB1","YY1"
"14570","HSP90AB1","ZBTB16"
"14571","HSP90AB1","ZC3H8"
"14572","HSP90AB1","ZHX1"
"14573","HSP90AB1","ZNF322"
"14575","HSPA1A","IRF5"
"14576","HSPA1A","NFKB1"
"14577","HSPA1A","RELA"
"14578","HSPA1A","SMAD3"
"14579","HSPA1A","SMAD4"
"14580","HSPA1A","TERF2"
"14581","HSPA1A","TP53"
"14582","HSPA1B","IRF5"
"14583","HSPA1B","NFKB1"
"14584","HSPA1B","RELA"
"14585","HSPA1B","SMAD3"
"14586","HSPA1B","SMAD4"
"14587","HTR2A","TP53"
"14588","HTR4","TP53"
"14589","IFI16","IRF3"
"14590","IFI16","TP53"
"14591","IFNGR1_IFNGR2","STAT1"
"14592","IFNGR1","STAT1"
"14593","IGF1R","CEBPB"
"14594","IGF1R","CREB1"
"14598","IGF1R","DLX5"
"14600","IGF1R","E2F1"
"14604","IGF1R","ELF1"
"14606","IGF1R","ELK1"
"14615","IGF1R","ETS1"
"14616","IGF1R","FOXA2"
"14618","IGF1R","FOXG1"
"14620","IGF1R","FOXO1"
"14624","IGF1R","FOXO3"
"14636","IGF1R","FOXO4"
"14638","IGF1R","FOXO6"
"14640","IGF1R","GATA1"
"14642","IGF1R","GATA2"
"14644","IGF1R","GTF2I"
"14645","IGF1R","HAND1"
"14647","IGF1R","HES5"
"14649","IGF1R","HMGA1"
"14650","IGF1R","HOXA10"
"14651","IGF1R","IKZF3"
"14660","IGF1R","IRF3"
"14662","IGF1R","IRF5"
"14663","IGF1R","IRF7"
"14664","IGF1R","JUN"
"14665","IGF1R","MEF2D"
"14669","IGF1R","MITF"
"14671","IGF1R","MXD1"
"14673","IGF1R","MYB"
"14674","IGF1R","MYC"
"14676","IGF1R","MYT1"
"14678","IGF1R","NFATC1"
"14680","IGF1R","NFATC2"
"14684","IGF1R","NR4A1"
"14686","IGF1R","NRF1"
"14688","IGF1R","PITX2"
"14690","IGF1R","POU5F1"
"14692","IGF1R","RBPJ"
"14693","IGF1R","RELA"
"14697","IGF1R","RUNX2"
"14699","IGF1R","SKI"
"14701","IGF1R","SMAD1"
"14703","IGF1R","SMAD3"
"14710","IGF1R","SNAI1"
"14712","IGF1R","SOX2"
"14714","IGF1R","SP1"
"14718","IGF1R","STAT1"
"14721","IGF1R","STAT4"
"14722","IGF1R","STAT5A"
"14724","IGF1R","STAT5B"
"14725","IGF1R","TAL1"
"14727","IGF1R","TBP"
"14731","IGF1R","TERF1"
"14734","IGF1R","TERF2"
"14735","IGF1R","TFCP2"
"14737","IGF1R","TFDP1"
"14738","IGF1R","TP53"
"14741","IGF1R","TWIST1"
"14743","IGF1R","YBX1"
"14745","IGF1R","ZBTB33"
"14746","IGF1R","ZNF322"
"14748","IKBKB","AIRE"
"14749","IKBKB","ATF4"
"14751","IKBKB","ATF6"
"14752","IKBKB","CREB1"
"14757","IKBKB","DLX5"
"14760","IKBKB","E2F1"
"14764","IKBKB","E4F1"
"14765","IKBKB","EGR1"
"14769","IKBKB","ELK1"
"14771","IKBKB","FOS"
"14772","IKBKB","FOXA2"
"14775","IKBKB","FOXG1"
"14778","IKBKB","FOXO1"
"14782","IKBKB","FOXO3"
"14790","IKBKB","FOXO4"
"14793","IKBKB","FOXO6"
"14796","IKBKB","FOXP3"
"14797","IKBKB","GABPA"
"14798","IKBKB","GATA1"
"14802","IKBKB","GATA2"
"14805","IKBKB","GLI1"
"14807","IKBKB","GLI2"
"14808","IKBKB","GLI3"
"14809","IKBKB","GLIS2"
"14810","IKBKB","HAND1"
"14813","IKBKB","HAND2"
"14814","IKBKB","HES5"
"14817","IKBKB","HIF1A"
"14819","IKBKB","HMGA1"
"14820","IKBKB","IKZF3"
"14822","IKBKB","IRF3"
"14826","IKBKB","IRF5"
"14833","IKBKB","IRF7"
"14839","IKBKB","JUN"
"14844","IKBKB","KMT2A"
"14845","IKBKB","MAX"
"14846","IKBKB","MECOM"
"14847","IKBKB","MEF2A"
"14848","IKBKB","MEF2C"
"14849","IKBKB","MEF2D"
"14852","IKBKB","MITF"
"14855","IKBKB","MXD1"
"14858","IKBKB","MYB"
"14863","IKBKB","MYC"
"14867","IKBKB","MYOD1"
"14873","IKBKB","MYOG"
"14874","IKBKB","MYT1"
"14877","IKBKB","NEUROD1"
"14878","IKBKB","NFATC1"
"14879","IKBKB","NFATC2"
"14882","IKBKB","NFKB1"
"14898","IKBKB","NFKB2"
"14900","IKBKB","NR4A1"
"14903","IKBKB","NRF1"
"14906","IKBKB","PAX2"
"14907","IKBKB","PITX2"
"14910","IKBKB","POU5F1"
"14913","IKBKB","REL"
"14914","IKBKB","RELA"
"14927","IKBKB","RUNX2"
"14930","IKBKB","RUNX3"
"14931","IKBKB","SKI"
"14934","IKBKB","SMAD1"
"14935","IKBKB","SMAD3"
"14940","IKBKB","SMAD4"
"14945","IKBKB","SMAD5"
"14946","IKBKB","SMAD9"
"14947","IKBKB","SOX2"
"14950","IKBKB","SP1"
"14958","IKBKB","STAT1"
"14961","IKBKB","TAL1"
"14964","IKBKB","TBP"
"14966","IKBKB","TCF3"
"14967","IKBKB","TERF1"
"14970","IKBKB","TP53"
"14980","IKBKB","TP63"
"14982","IKBKB","TP73"
"14983","IKBKB","TWIST1"
"14986","IKBKB","YBX1"
"14989","IKBKB","ZBTB16"
"14990","IKBKB","ZNF322"
"14993","IKBKE","AIRE"
"14994","IKBKE","ARNT"
"14995","IKBKE","ASCL1"
"14996","IKBKE","ATF1"
"14997","IKBKE","ATF2"
"14998","IKBKE","ATF4"
"15000","IKBKE","ATF5"
"15001","IKBKE","ATOH1"
"15002","IKBKE","CEBPD"
"15003","IKBKE","CREB1"
"15006","IKBKE","CREB3"
"15007","IKBKE","CREM"
"15008","IKBKE","CUX2"
"15009","IKBKE","DDIT3"
"15011","IKBKE","DLX5"
"15013","IKBKE","E2F1"
"15017","IKBKE","EGR1"
"15021","IKBKE","ELF1"
"15022","IKBKE","EPAS1"
"15023","IKBKE","ETV1"
"15024","IKBKE","FOS"
"15025","IKBKE","FOSB"
"15026","IKBKE","FOXA2"
"15028","IKBKE","FOXG1"
"15030","IKBKE","FOXO1"
"15035","IKBKE","FOXO3"
"15040","IKBKE","FOXO4"
"15042","IKBKE","FOXO6"
"15044","IKBKE","GATA1"
"15048","IKBKE","GATA2"
"15050","IKBKE","GLI1"
"15054","IKBKE","GLI2"
"15055","IKBKE","GLI3"
"15056","IKBKE","GLIS2"
"15057","IKBKE","HAND1"
"15059","IKBKE","HES5"
"15061","IKBKE","HES6"
"15062","IKBKE","HHEX"
"15063","IKBKE","HIC2"
"15064","IKBKE","HIF1A"
"15067","IKBKE","HMGA1"
"15069","IKBKE","HMGA2"
"15070","IKBKE","HOXA11"
"15071","IKBKE","HOXB7"
"15072","IKBKE","HOXC4"
"15073","IKBKE","HSF1"
"15075","IKBKE","IKZF1"
"15077","IKBKE","IRF1"
"15078","IKBKE","IRF2"
"15079","IKBKE","IRF3"
"15083","IKBKE","IRF5"
"15088","IKBKE","IRF7"
"15092","IKBKE","JUN"
"15098","IKBKE","KLF1"
"15100","IKBKE","LEF1"
"15102","IKBKE","MAX"
"15103","IKBKE","MAZ"
"15105","IKBKE","MECOM"
"15106","IKBKE","MEF2A"
"15107","IKBKE","MEF2C"
"15109","IKBKE","MEF2D"
"15110","IKBKE","MITF"
"15112","IKBKE","MXD1"
"15114","IKBKE","MYB"
"15118","IKBKE","MYC"
"15121","IKBKE","MYCN"
"15122","IKBKE","MYOD1"
"15125","IKBKE","MYT1"
"15127","IKBKE","NFATC1"
"15128","IKBKE","NFATC2"
"15130","IKBKE","NFATC3"
"15131","IKBKE","NFKB1"
"15141","IKBKE","NFKB2"
"15144","IKBKE","NKX2-5"
"15145","IKBKE","NR4A1"
"15148","IKBKE","NR4A2"
"15149","IKBKE","NRF1"
"15151","IKBKE","OSR1"
"15152","IKBKE","PAX3"
"15153","IKBKE","PDX1"
"15154","IKBKE","PIN1"
"15156","IKBKE","PITX2"
"15158","IKBKE","POU2F1"
"15159","IKBKE","POU5F1"
"15162","IKBKE","RBPJ"
"15163","IKBKE","REL"
"15164","IKBKE","RELA"
"15177","IKBKE","RUNX2"
"15181","IKBKE","SHOX"
"15182","IKBKE","SKI"
"15184","IKBKE","SMAD1"
"15189","IKBKE","SMAD3"
"15199","IKBKE","SMAD4"
"15204","IKBKE","SMAD5"
"15205","IKBKE","SMAD9"
"15206","IKBKE","SNAI1"
"15207","IKBKE","SOX2"
"15209","IKBKE","SP1"
"15219","IKBKE","SP3"
"15220","IKBKE","SPI1"
"15221","IKBKE","SPIB"
"15223","IKBKE","SRF"
"15226","IKBKE","STAT1"
"15230","IKBKE","STAT2"
"15231","IKBKE","STAT4"
"15232","IKBKE","TAL1"
"15234","IKBKE","TCF4"
"15235","IKBKE","TCF7L2"
"15236","IKBKE","TEAD1"
"15238","IKBKE","TEAD2"
"15240","IKBKE","TEAD3"
"15242","IKBKE","TEAD4"
"15244","IKBKE","TERF1"
"15248","IKBKE","TFAP2A"
"15249","IKBKE","TFCP2"
"15250","IKBKE","TFEB"
"15251","IKBKE","TP53"
"15264","IKBKE","TP63"
"15267","IKBKE","TP73"
"15271","IKBKE","TWIST1"
"15274","IKBKE","USF1"
"15275","IKBKE","YBX1"
"15277","IKBKE","YY1"
"15278","IKBKE","ZBTB16"
"15279","IKBKE","ZC3H8"
"15280","IKBKE","ZHX1"
"15281","IKBKE","ZNF322"
"15284","IL12RB1","STAT4"
"15285","IL12RB2","STAT4"
"15286","IL1R1","CREB1"
"15287","IL1R1","DLX5"
"15288","IL1R1","FOXA2"
"15289","IL1R1","FOXG1"
"15290","IL1R1","FOXO1"
"15291","IL1R1","FOXO3"
"15292","IL1R1","FOXO4"
"15293","IL1R1","FOXO6"
"15294","IL1R1","GATA1"
"15295","IL1R1","GATA2"
"15296","IL1R1","HAND1"
"15297","IL1R1","HES5"
"15298","IL1R1","IRF5"
"15301","IL1R1","IRF7"
"15303","IL1R1","MITF"
"15304","IL1R1","MXD1"
"15305","IL1R1","MYB"
"15307","IL1R1","MYT1"
"15308","IL1R1","NFATC2"
"15309","IL1R1","NFKB1"
"15311","IL1R1","NR4A1"
"15312","IL1R1","NRF1"
"15313","IL1R1","PITX2"
"15314","IL1R1","POU5F1"
"15315","IL1R1","RELA"
"15317","IL1R1","RUNX2"
