"","ligands_human"
"1419","AVP"
"1420","AVP"
"1421","AVP"
"1422","AVP"
"1423","AVP"
"1424","AVP"
"1425","POMC"
"1426","POMC"
"1427","POMC"
"1428","POMC"
"1429","POMC"
"1430","POMC"
"1431","POMC"
"1432","POMC"
"1433","POMC"
"1434","POMC"
"1435","POMC"
"1436","POMC"
"1437","POMC"
"1438","POMC"
"1439","POMC"
"1440","POMC"
"1441","POMC"
"1442","POMC"
"1443","POMC"
"1444","POMC"
"1445","POMC"
"1446","POMC"
"1447","POMC"
"1448","POMC"
"1449","POMC"
"1450","PENK"
"1451","PENK"
"1452","PENK"
"1453","PENK"
"1454","PENK"
"1455","PENK"
"1456","PENK"
"1457","PENK"
"1458","PENK"
"1459","PENK"
"1460","PDYN"
"1461","PDYN"
"1462","PDYN"
"1463","PDYN"
"1464","PDYN"
"1465","PDYN"
"1466","PDYN"
"1467","CGA"
"1468","CGA"
"1469","CGA"
"1470","CGA"
"1471","CGA"
"1472","CGA"
"1473","CGA"
"1474","CGA"
"1475","CGA"
"1476","CGA"
"1477","CGA"
"1478","CGA"
"1479","CGA"
"1480","CGA"
"1481","TSHB"
"1482","TSHB"
"1483","TSHB"
"1484","TSHB"
"1485","TSHB"
"1486","TSHB"
"1487","TSHB"
"1488","TSHB"
"1489","TSHB"
"1490","TSHB"
"1491","FSHB"
"1492","FSHB"
"1493","FSHB"
"1494","FSHB"
"1495","FSHB"
"1496","FSHB"
"1497","FSHB"
"1498","FSHB"
"1499","FSHB"
"1500","FSHB"
"1501","FSHB"
"1502","LHB"
"1503","LHB"
"1504","LHB"
"1505","LHB"
"1506","LHB"
"1507","LHB"
"1508","LHB"
"1509","LHB"
"1510","LHB"
"1511","LHB"
"1512","LHB"
"1513","PRL"
"1514","PRL"
"1515","PRL"
"1516","PRL"
"1517","PRL"
"1518","PRL"
"1519","PRL"
"1520","PRL"
"1521","PRL"
"1522","PRL"
"1523","PRL"
"1524","PRL"
"1525","PRL"
"1526","PRL"
"1527","PRL"
"1528","PRL"
"1529","PRL"
"1530","PRL"
"1531","GH1"
"1532","GH1"
"1533","GH1"
"1534","GH1"
"1535","GH1"
"1536","GH1"
"1537","GH1"
"1538","GH1"
"1539","GH1"
"1540","GH1"
"1541","GH1"
"1542","GH1"
"1543","GH1"
"1544","GH1"
"1545","GH1"
"1546","GH2"
"1547","GH2"
"1548","CALCA"
"1549","CALCA"
"1550","CALCA"
"1551","CALCA"
"1552","CALCA"
"1553","CALCA"
"1554","CALCA"
"1555","CALCA"
"1556","CALCA"
"1557","CALCA"
"1558","CALCA"
"1559","CALCA"
"1560","CALCA"
"1561","CALCA"
"1562","CALCA"
"1563","CALCA"
"1564","CALCA"
"1565","CALCA"
"1566","TG"
"1567","TG"
"1568","TG"
"1569","TG"
"1570","TG"
"1571","TG"
"1572","TG"
"1573","TG"
"1574","PTH"
"1575","PTH"
"1576","PTH"
"1577","PTH"
"1578","PTH"
"1579","PTH"
"1580","PTH"
"1581","PTH"
"1582","PTH"
"1583","PTH"
"1584","PTH"
"1585","PTH"
"1586","PTH"
"1587","PTH"
"1588","PTH"
"1589","PTH"
"1590","PTH"
"1591","PTH"
"1592","PTH"
"1593","PTH"
"1594","PTH"
"1595","PTH"
"1596","PTH"
"1597","PTH"
"1598","GCG"
"1599","GCG"
"1600","GCG"
"1601","GCG"
"1602","GCG"
"1603","GCG"
"1604","GCG"
"1605","GCG"
"1606","GCG"
"1607","GCG"
"1608","GCG"
"1609","GCG"
"1610","GCG"
"1611","GCG"
"1612","GCG"
"1613","GCG"
"1614","GCG"
"1615","GCG"
"1616","GCG"
"1617","GCG"
"1618","GCG"
"1619","GCG"
"1620","GCG"
"1621","GCG"
"1622","GCG"
"1623","GCG"
"1624","GCG"
"1625","GCG"
"1626","VIP"
"1627","VIP"
"1628","VIP"
"1629","VIP"
"1630","VIP"
"1631","VIP"
"1632","VIP"
"1633","VIP"
"1634","VIP"
"1635","VIP"
"1636","VIP"
"1637","VIP"
"1638","VIP"
"1639","VIP"
"1640","VIP"
"1641","VIP"
"1642","VIP"
"1643","VIP"
"1644","VIP"
"1645","VIP"
"1646","VIP"
"1647","VIP"
"1648","VIP"
"1649","VIP"
"1650","VIP"
"1651","VIP"
"1652","VIP"
"1653","VIP"
"1654","VIP"
"1655","VIP"
"1656","GHRH"
"1657","GHRH"
"1658","GHRH"
"1659","GHRH"
"1660","GHRH"
"1661","GHRH"
"1662","GHRH"
"1663","GHRH"
"1664","GHRH"
"1665","GHRH"
"1666","GHRH"
"1667","GHRH"
"1668","GHRH"
"1669","GHRH"
"1670","GHRH"
"1671","GHRH"
"1672","PPY"
"1673","PPY"
"1674","PPY"
"1675","PPY"
"1676","PPY"
"1677","PPY"
"1678","PPY"
"1679","PPY"
"1680","PPY"
"1681","NPY"
"1682","NPY"
"1683","NPY"
"1684","NPY"
"1685","NPY"
"1686","NPY"
"1687","NPY"
"1688","NPY"
"1689","NPY"
"1690","NPY"
"1691","NPY"
"1692","NPY"
"1693","NPY"
"1694","NPY"
"1695","NPY"
"1696","NPY"
"1697","NPY"
"1698","NPY"
"1699","INS"
"1700","INS"
"1701","INS"
"1702","INS"
"1703","INS"
"1704","INS"
"1705","INS"
"1706","INS"
"1707","INS"
"1708","INS"
"1709","INS"
"1710","INS"
"1711","INS"
"1712","INS"
"1713","INS"
"1714","INS"
"1715","INS"
"1716","INS"
"1717","INS"
"1718","INS"
"1719","INS"
"1720","INS"
"1721","INS"
"1722","INS"
"1723","INS"
"1724","INS"
"1725","INS"
"1726","INS"
"1727","INS"
"1728","INS"
"1729","INS"
"1730","INS"
"1731","INS"
"1732","INS"
"1733","INS"
"1734","INS"
"1735","INS"
"1736","INS"
"1737","INS"
"1738","INS"
"1739","INS"
"1740","INS"
"1741","INS"
"1742","INS"
"1743","INS"
"1744","INS"
"1745","INS"
"1746","INS"
"1747","INS"
"1748","INS"
"1749","INS"
"1750","INS"
"1751","INS"
"1752","INS"
"1753","IGF2"
"1754","IGF2"
"1755","IGF2"
"1756","IGF2"
"1757","IGF2"
"1758","IGF2"
"1759","IGF2"
"1760","IGF2"
"1761","IGF2"
"1762","IGF2"
"1763","IGF2"
"1764","IGF2"
"1765","GAST"
"1766","GAST"
"1767","GAST"
"1768","GAST"
"1769","GAST"
"1770","GAST"
"1771","GAST"
"1772","GAST"
"1773","LTA"
"1774","LTA"
"1775","LTA"
"1776","LTA"
"1777","LTA"
"1778","LTA"
"1779","LTA"
"1780","LTA"
"1781","LTA"
"1782","TNF"
"1783","TNF"
"1784","TNF"
"1785","TNF"
"1786","TNF"
"1787","TNF"
"1788","TNF"
"1789","TNF"
"1790","TNF"
"1791","TNF"
"1792","TNF"
"1793","TNF"
"1794","TNF"
"1795","TNF"
"1796","TNF"
"1797","TNF"
"1798","TNF"
"1799","TNF"
"1800","TNF"
"1801","TNF"
"1802","TNF"
"1803","TNF"
"1804","TNF"
"1805","TNF"
"1806","TNF"
"1807","TNF"
"1808","TNF"
"1809","TNF"
"1810","TNF"
"1811","TNF"
"1812","TNF"
"1813","TNF"
"1814","TNF"
"1815","TNF"
"1816","TNF"
"1817","TNF"
"1818","TNF"
"1819","TNF"
"1820","TNF"
"1821","TNF"
"1822","TNF"
"1823","TNF"
"1824","TNF"
"1825","TNF"
"1826","TNF"
"1827","TNF"
"1828","TNF"
"1829","TNF"
"1830","TNF"
"1831","TNF"
"1832","TNF"
"1833","TNF"
"1834","TNF"
"1835","TNF"
"1836","TNF"
"1837","TNF"
"1838","TNF"
"1839","TNF"
"1840","TNF"
"1841","TNF"
"1842","TNF"
"1843","TNF"
"1844","TNF"
"1845","TNF"
"1846","TNF"
"1847","TNF"
"1848","TNF"
"1849","TNF"
"1850","TNF"
"1851","TNF"
"1852","TNF"
"1853","TNF"
"1854","TNF"
"1855","TNF"
"1856","TNF"
"1857","TNF"
"1858","TNF"
"1859","TNF"
"1860","TNF"
"1861","TNF"
"1862","TNF"
"1863","TNF"
"1864","TNF"
"1865","TNF"
"1866","TNF"
"1867","TNF"
"1868","TNF"
"1869","TNF"
"1870","TNF"
"1871","TNF"
"1872","TNF"
"1873","TNF"
"1874","TNF"
"1875","TNF"
"1876","TNF"
"1877","TNF"
"1878","TNF"
"1879","TNF"
"1880","TNF"
"1881","TNF"
"1882","TNF"
"1883","TNF"
"1884","TNF"
"1885","TNF"
"1886","TNF"
"1887","TNF"
"1888","TNF"
"1889","TNF"
"1890","TNF"
"1891","TNF"
"1892","TNF"
"1893","TNF"
"1894","TNF"
"1895","TNF"
"1896","TNF"
"1897","TNF"
"1898","TNF"
"1899","TNF"
"1900","TNF"
"1901","TNF"
"1902","TNF"
"1903","TNF"
"1904","TNF"
"1905","TNF"
"1906","TNF"
"1907","TNF"
"1908","TNF"
"1909","TNF"
"1910","TNF"
"1911","IFNA1"
"1912","IFNA1"
"1913","IFNA1"
"1914","IFNA1"
"1915","IFNA1"
"1916","IFNA1"
"1917","IFNA1"
"1918","IFNA1"
"1919","IFNA1"
"1920","IFNA1"
"1921","IFNA1"
"1922","IFNA1"
"1923","IFNA1"
"1924","IFNA1"
"1925","IFNA1"
"1926","IFNA1"
"1927","IFNA1"
"1928","IFNA1"
"1929","IFNA1"
"1930","IFNA1"
"1931","IFNA1"
"1932","IFNA1"
"1933","IFNA1"
"1934","IFNA2"
"1935","IFNA2"
"1936","IFNA2"
"1937","IFNA2"
"1938","IFNA2"
"1939","IFNA2"
"1940","IFNA2"
"1941","IFNA2"
"1942","IFNA10"
"1943","IFNA10"
"1944","IFNA10"
"1945","IFNA10"
"1946","IFNA10"
"1947","IFNA10"
"1948","IFNA7"
"1949","IFNA7"
"1950","IFNA7"
"1951","IFNA7"
"1952","IFNA7"
"1953","IFNA7"
"1954","IFNA21"
"1955","IFNA21"
"1956","IFNA21"
"1957","IFNA21"
"1958","IFNA21"
"1959","IFNA21"
"1960","IFNA5"
"1961","IFNA5"
"1962","IFNA5"
"1963","IFNA5"
"1964","IFNA5"
"1965","IFNA5"
"1966","IFNA14"
"1967","IFNA14"
"1968","IFNA14"
"1969","IFNA14"
"1970","IFNA14"
"1971","IFNA14"
"1972","IFNA17"
"1973","IFNA17"
"1974","IFNA17"
"1975","IFNA17"
"1976","IFNA17"
"1977","IFNA17"
"1978","IFNB1"
"1979","IFNB1"
"1980","IFNB1"
"1981","IFNB1"
"1982","IFNB1"
"1983","IFNB1"
"1984","IFNB1"
"1985","IFNB1"
"1986","IFNB1"
"1987","IFNB1"
"1988","IFNB1"
"1989","IFNB1"
"1990","IFNG"
"1991","IFNG"
"1992","IFNG"
"1993","IFNG"
"1994","IFNG"
"1995","IFNG"
"1996","IFNG"
"1997","IFNG"
"1998","IFNG"
"1999","IFNG"
"2000","IFNG"
"2001","IFNG"
"2002","IFNG"
"2003","IFNG"
"2004","IFNG"
"2005","IFNG"
"2006","IFNG"
"2007","IFNG"
"2008","IFNG"
"2009","IFNG"
"2010","IFNG"
"2011","IFNG"
"2012","IFNG"
"2013","IFNG"
"2014","IFNG"
"2015","IFNG"
"2016","IFNG"
"2017","IFNG"
"2018","IFNG"
"2019","IFNG"
"2020","IFNG"
"2021","IFNG"
"2022","IFNG"
"2023","IFNG"
"2024","IFNG"
"2025","IFNG"
"2026","IFNG"
"2027","IFNG"
"2028","IFNG"
"2029","IFNG"
"2030","IFNG"
"2031","IFNG"
"2032","IFNG"
"2033","IFNG"
"2034","IFNG"
"2035","IFNG"
"2036","IFNG"
"2037","IFNG"
"2038","IFNG"
"2039","IFNG"
"2040","IFNG"
"2041","IFNG"
"2042","IFNG"
"2043","IFNG"
"2044","IFNG"
"2045","IFNG"
"2046","IFNG"
"2047","IFNG"
"2048","IFNG"
"2049","IFNG"
"2050","IFNG"
"2051","IFNG"
"2052","IFNG"
"2053","IFNG"
"2054","IFNG"
"2055","IFNG"
"2056","IFNG"
"2057","IFNG"
"2058","IFNG"
"2059","IFNG"
"2060","IFNG"
"2061","IFNG"
"2062","IFNG"
"2063","IFNG"
"2064","IFNG"
"2065","IFNG"
"2066","IFNG"
"2067","IFNG"
"2068","IFNG"
"2069","IFNG"
"2070","IFNG"
"2071","IFNG"
"2072","IFNG"
"2073","IFNG"
"2074","IFNG"
"2075","IFNG"
"2076","IFNG"
"2077","IFNG"
"2078","IFNG"
"2079","IFNG"
"2080","IL1A"
"2081","IL1A"
"2082","IL1A"
"2083","IL1A"
"2084","IL1A"
"2085","IL1A"
"2086","IL1A"
"2087","IL1A"
"2088","IL1A"
"2089","IL1A"
"2090","IL1A"
"2091","IL1A"
"2092","IL1A"
"2093","IL1A"
"2094","IL1A"
"2095","IL1A"
"2096","IL1A"
"2097","IL1A"
"2098","IL1A"
"2099","IL1A"
"2100","IL1A"
"2101","IL1A"
"2102","IL1A"
"2103","IL1A"
"2104","IL1A"
"2105","IL1A"
"2106","IL1A"
"2107","IL1A"
"2108","IL1A"
"2109","IL1B"
"2110","IL1B"
"2111","IL1B"
"2112","IL1B"
"2113","IL1B"
"2114","IL1B"
"2115","IL1B"
"2116","IL1B"
"2117","IL1B"
"2118","IL1B"
"2119","IL1B"
"2120","IL1B"
"2121","IL1B"
"2122","IL1B"
"2123","IL1B"
"2124","IL1B"
"2125","IL1B"
"2126","IL1B"
"2127","IL1B"
"2128","IL1B"
"2129","IL1B"
"2130","IL1B"
"2131","IL1B"
"2132","IL1B"
"2133","IL1B"
"2134","IL1B"
"2135","IL1B"
"2136","IL1B"
"2137","IL1B"
"2138","IL1B"
"2139","IL1B"
"2140","IL1B"
"2141","IL1B"
"2142","IL1B"
"2143","IL1B"
"2144","IL1B"
"2145","IL1B"
"2146","IL1B"
"2147","IL1B"
"2148","IL1B"
"2149","IL1B"
"2150","IL1B"
"2151","IL1B"
"2152","IL1B"
"2153","IL1B"
"2154","IL1B"
"2155","IL1B"
"2156","IL1B"
"2157","IL1B"
"2158","IL1B"
"2159","IL1B"
"2160","EPO"
"2161","EPO"
"2162","EPO"
"2163","EPO"
"2164","EPO"
"2165","EPO"
"2166","EPO"
"2167","EPO"
"2168","EPO"
"2169","EPO"
"2170","EPO"
"2171","EPO"
"2172","EPO"
"2173","EPO"
"2174","EPO"
"2175","EPO"
"2176","EPO"
"2177","EPO"
"2178","EPO"
"2179","CD8A"
"2180","CD8A"
"2181","CD8A"
"2182","CD8A"
"2183","CD8A"
"2184","CD8A"
"2185","CD8A"
"2186","CD8A"
"2187","CD8A"
"2188","CD8A"
"2189","CD8A"
"2190","CD8A"
"2191","CD8A"
"2192","CD8A"
"2193","CD8A"
"2194","CD8A"
"2195","HLA-B"
"2196","HLA-B"
"2197","HLA-B"
"2198","HLA-B"
"2199","HLA-B"
"2200","HLA-B"
"2201","HLA-B"
"2202","HLA-B"
"2203","HLA-B"
"2204","HLA-B"
"2205","HLA-B"
"2206","HLA-B"
"2207","HLA-B"
"2208","HLA-B"
"2209","HLA-B"
"2210","HLA-B"
"2211","HLA-B"
"2212","HLA-B"
"2213","HLA-B"
"2214","HLA-B"
"2215","HLA-B"
"2216","HLA-B"
"2217","HLA-B"
"2218","HLA-B"
"2219","HLA-B"
"2220","HLA-B"
"2221","HLA-B"
"2222","HLA-DRA"
"2223","HLA-DRA"
"2224","HLA-DRA"
"2225","HLA-DRA"
"2226","HLA-DRA"
"2227","HLA-DRA"
"2228","HLA-DRA"
"2229","HLA-DRA"
"2230","HLA-DRA"
"2231","HLA-DRA"
"2232","HLA-DRA"
"2233","HLA-DRA"
"2234","HLA-DRA"
"2235","HLA-DRA"
"2236","HLA-DRA"
"2237","HLA-DRA"
"2238","HLA-DRA"
"2239","HLA-DRA"
"2240","HLA-DRA"
"2241","HLA-DRA"
"2242","HLA-DRA"
"2243","HLA-DQA2"
"2244","HLA-DQA2"
"2245","HLA-DQA2"
"2246","HLA-DQA2"
"2247","HLA-DQA2"
"2248","HLA-DQA2"
"2249","HLA-DQA2"
"2250","HLA-DQA1"
"2251","HLA-DQA1"
"2252","HLA-DQA1"
"2253","HLA-DQA1"
"2254","HLA-DQA1"
"2255","HLA-DQA1"
"2256","HLA-DQA1"
"2257","HLA-DQA1"
"2258","HLA-DRB1"
"2259","HLA-DRB1"
"2260","HLA-DRB1"
"2261","HLA-DRB1"
"2262","HLA-DRB1"
"2263","HLA-DRB1"
"2264","HLA-DRB1"
"2265","HLA-DRB1"
"2266","HLA-DRB1"
"2267","HLA-DRB1"
"2268","HLA-DRB1"
"2269","HLA-DRB1"
"2270","HLA-DRB1"
"2271","HLA-DRB1"
"2272","HLA-DRB1"
"2273","HLA-DRB1"
"2274","HLA-DRB1"
"2275","HLA-DRB1"
"2276","HLA-DRB1"
"2277","HLA-DRB1"
"2278","HLA-DQB1"
"2279","HLA-DQB1"
"2280","HLA-DQB1"
"2281","HLA-DQB1"
"2282","HLA-DQB1"
"2283","HLA-DQB1"
"2284","HLA-DQB1"
"2285","APOA1"
"2286","APOA1"
"2287","APOA1"
"2288","APOA1"
"2289","APOE"
"2290","APOE"
"2291","APOE"
"2292","APOE"
"2293","APOE"
"2294","APOE"
"2295","APOE"
"2296","APOE"
"2297","APOE"
"2298","APOE"
"2299","APOE"
"2300","APOE"
"2301","APOE"
"2302","APOE"
"2303","APOA2"
"2304","APOA2"
"2305","APOA2"
"2306","APOA2"
"2307","APOC2"
"2308","APOC2"
"2309","APOC2"
"2310","APOC3"
"2311","APOC3"
"2312","APOC3"
"2313","APOC3"
"2314","APOC3"
"2315","ORM1"
"2316","ORM1"
"2317","TTR"
"2318","TTR"
"2319","GC"
"2320","GC"
"2321","PPBP"
"2322","PPBP"
"2323","PPBP"
"2324","PPBP"
"2325","PPBP"
"2326","PPBP"
"2327","PPBP"
"2328","PPBP"
"2329","PPBP"
"2330","PPBP"
"2331","PPBP"
"2332","PPBP"
"2333","PPBP"
"2334","PPBP"
"2335","PPBP"
"2336","PPBP"
"2337","PPBP"
"2338","PPBP"
"2339","PPBP"
"2340","PPBP"
"2341","PPBP"
"2342","PPBP"
"2343","PPBP"
"2344","PPBP"
"2345","PF4"
"2346","PF4"
"2347","PF4"
"2348","PF4"
"2349","PF4"
"2350","PF4"
"2351","PF4"
"2352","PF4"
"2353","PF4"
"2354","PF4"
"2355","PF4"
"2356","PF4"
"2357","PF4"
"2358","PF4"
"2359","PF4"
"2360","PF4"
"2361","PF4"
"2362","PF4"
"2363","PF4"
"2364","PF4"
"2365","PF4"
"2366","PF4"
"2367","PF4"
"2368","PF4"
"2369","PF4"
"2370","PF4"
"2371","PF4"
"2372","PF4"
"2373","PF4"
"2374","PF4"
"2375","PF4"
"2376","PF4"
"2377","PF4"
"2378","PF4"
"2379","PF4"
"2380","PF4"
"2381","PF4"
"2382","CXCL10"
"2383","CXCL10"
"2384","CXCL10"
"2385","CXCL10"
"2386","CXCL10"
"2387","CXCL10"
"2388","CXCL10"
"2389","CXCL10"
"2390","CXCL10"
"2391","CXCL10"
"2392","CXCL10"
"2393","CXCL10"
"2394","CXCL10"
"2395","CXCL10"
"2396","CXCL10"
"2397","CXCL10"
"2398","CXCL10"
"2399","CXCL10"
"2400","CXCL10"
"2401","CXCL10"
"2402","CXCL10"
"2403","CXCL10"
"2404","CXCL10"
"2405","CXCL10"
"2406","CXCL10"
"2407","CXCL10"
"2408","TFRC"
"2409","TFRC"
"2410","TFRC"
"2411","TFRC"
"2412","TFRC"
"2413","TFRC"
"2414","TFRC"
"2415","TFRC"
"2416","TF"
"2417","TF"
"2418","TF"
"2419","TF"
"2420","TF"
"2421","TF"
"2422","TF"
"2423","HPX"
"2424","HPX"
"2425","ANG"
"2426","ANG"
"2427","AMH"
"2428","AMH"
"2429","AMH"
"2430","AMH"
"2431","AMH"
"2432","AMH"
"2433","AMH"
"2434","AMH"
"2435","AMH"
"2436","AMH"
"2437","AMH"
"2438","VTN"
"2439","VTN"
"2440","VTN"
"2441","VTN"
"2442","VTN"
"2443","VTN"
"2444","VTN"
"2445","VTN"
"2446","VTN"
"2447","VTN"
"2448","VTN"
"2449","VTN"
"2450","VTN"
"2451","VTN"
"2452","VTN"
"2453","VTN"
"2454","VTN"
"2455","VTN"
"2456","VTN"
"2457","VTN"
"2458","VTN"
"2459","VTN"
"2460","VTN"
"2461","VTN"
"2462","VTN"
"2463","VTN"
"2464","VTN"
"2465","VTN"
"2466","VTN"
"2467","VTN"
"2468","VTN"
"2469","VTN"
"2470","VTN"
"2471","VTN"
"2472","VTN"
"2473","VTN"
"2474","VTN"
"2475","VTN"
"2476","VTN"
"2477","VTN"
"2478","VTN"
"2479","VTN"
"2480","VTN"
"2481","VTN"
"2482","VTN"
"2483","VTN"
"2484","VTN"
"2485","ANXA1"
"2486","ANXA1"
"2487","ANXA1"
"2488","ANXA1"
"2489","ANXA1"
"2490","ANXA1"
"2491","ANXA1"
"2492","ANXA1"
"2493","ANXA1"
"2494","ANXA1"
"2495","ANXA1"
"2496","ANXA1"
"2497","ANXA1"
"2498","ANXA1"
"2499","ANXA1"
"2500","ANXA1"
"2501","ANXA1"
"2502","ANXA1"
"2503","PDGFA"
"2504","PDGFA"
"2505","PDGFA"
"2506","PDGFA"
"2507","PDGFA"
"2508","PDGFA"
"2509","PDGFA"
"2510","PDGFA"
"2511","PDGFA"
"2512","PDGFA"
"2513","PDGFA"
"2514","PDGFA"
"2515","PDGFA"
"2516","PDGFA"
"2517","PDGFA"
"2518","PDGFA"
"2519","PDGFA"
"2520","PDGFA"
"2521","PDGFA"
"2522","PDGFA"
"2523","PDGFA"
"2524","PDGFA"
"2525","PDGFA"
"2526","PDGFA"
"2527","PDGFA"
"2528","PDGFA"
"2529","PDGFA"
"2530","PDGFA"
"2531","RLN2"
"2532","RLN2"
"2533","RLN2"
"2534","RLN2"
"2535","RLN2"
"2536","RLN2"
"2537","RLN2"
"2538","RLN2"
"2539","RLN2"
"2540","RLN2"
"2541","RLN2"
"2542","RLN2"
"2543","RLN2"
"2544","APOB"
"2545","APOB"
"2546","APOB"
"2547","APOB"
"2548","APOB"
"2549","APOB"
"2550","APOB"
"2551","APOB"
"2552","APOB"
"2553","APOB"
"2554","APOB"
"2555","APOB"
"2556","APOB"
"2557","APOB"
"2558","APOB"
"2559","APOB"
"2560","CSF2"
"2561","CSF2"
"2562","CSF2"
"2563","CSF2"
"2564","CSF2"
"2565","CSF2"
"2566","CSF2"
"2567","CSF2"
"2568","CSF2"
"2569","CSF2"
"2570","CSF2"
"2571","CSF2"
"2572","CSF2"
"2573","CSF2"
"2574","CSF2"
"2575","CSF2"
"2576","CSF2"
"2577","CSF2"
"2578","CSF2"
"2579","CSF2"
"2580","CSF2"
"2581","CSF2"
"2582","CSF2"
"2583","CSF2"
"2584","CSF2"
"2585","CSF2"
"2586","CSF2"
"2587","CSF2"
"2588","CSF2"
"2589","CSF2"
"2590","CSF2"
"2591","CSF2"
"2592","CSF2"
"2593","CSF2"
"2594","CSF2"
"2595","CSF2"
"2596","CSF2"
"2597","CSF2"
"2598","CSF2"
"2599","CSF2"
"2600","CSF2"
"2601","CSF2"
"2602","CSF2"
"2603","CSF2"
"2604","CSF2"
"2605","TFF1"
"2606","TFF1"
"2607","TFF1"
"2608","TFF1"
"2609","TFF1"
"2610","S100B"
"2611","S100B"
"2612","S100B"
"2613","S100B"
"2614","S100B"
"2615","S100B"
"2616","S100B"
"2617","S100B"
"2618","S100B"
"2619","S100B"
"2620","VWF"
"2621","VWF"
"2622","VWF"
"2623","VWF"
"2624","VWF"
"2625","VWF"
"2626","VWF"
"2627","VWF"
"2628","VWF"
"2629","VWF"
"2630","VWF"
"2631","VWF"
"2632","VWF"
"2633","VWF"
"2634","VWF"
"2635","VWF"
"2636","VWF"
"2637","VWF"
"2638","VWF"
"2639","VWF"
"2640","VWF"
"2641","VWF"
"2642","VWF"
"2643","VWF"
"2644","VWF"
"2645","VWF"
"2646","VWF"
"2647","VWF"
"2648","VWF"
"2649","VWF"
"2650","VWF"
"2651","VWF"
"2652","VWF"
"2653","VWF"
"2654","VWF"
"2655","VWF"
"2656","VWF"
"2657","VWF"
"2658","VWF"
"2659","HLA-A"
"2660","HLA-A"
"2661","HLA-A"
"2662","HLA-A"
"2663","HLA-A"
"2664","HLA-A"
"2665","HLA-A"
"2666","HLA-A"
"2667","HLA-A"
"2668","HLA-A"
"2669","HLA-A"
"2670","HLA-A"
"2671","HLA-A"
"2672","HLA-A"
"2673","HLA-A"
"2674","HLA-A"
"2675","HLA-A"
"2676","HLA-A"
"2677","HLA-A"
"2678","HLA-A"
"2679","HLA-A"
"2680","HLA-A"
"2681","HLA-A"
"2682","HLA-A"
"2683","HLA-A"
"2684","HLA-A"
"2685","HLA-A"
"2686","HLA-A"
"2687","HLA-A"
"2688","HLA-A"
"2689","HLA-A"
"2690","HLA-A"
"2691","HLA-A"
"2692","HLA-A"
"2693","HLA-A"
"2694","HLA-A"
"2695","HLA-A"
"2696","HLA-A"
"2697","HLA-DPB1"
"2698","HLA-DPB1"
"2699","HLA-DPB1"
"2700","HLA-DPB1"
"2701","HLA-DPB1"
"2702","HLA-DPB1"
"2703","HLA-DPB1"
"2704","WNT1"
"2705","WNT1"
"2706","WNT1"
"2707","WNT1"
"2708","WNT1"
"2709","WNT1"
"2710","WNT1"
"2711","WNT1"
"2712","WNT1"
"2713","WNT1"
"2714","WNT1"
"2715","WNT1"
"2716","WNT1"
"2717","WNT1"
"2718","WNT1"
"2719","WNT1"
"2720","WNT1"
"2721","WNT1"
"2722","WNT1"
"2723","WNT1"
"2724","WNT1"
"2725","WNT1"
"2726","WNT1"
"2727","WNT1"
"2728","WNT1"
"2729","WNT1"
"2730","WNT1"
"2731","WNT1"
"2732","WNT1"
"2733","WNT1"
"2734","WNT1"
"2735","WNT1"
"2736","WNT1"
"2737","WNT1"
"2738","WNT1"
"2739","WNT1"
"2740","WNT1"
"2741","WNT1"
"2742","WNT1"
"2743","TP53"
"2744","TP53"
"2745","TP53"
"2746","TP53"
"2747","TP53"
"2748","TP53"
"2749","TP53"
"2750","TP53"
"2751","TP53"
"2752","TP53"
"2753","TP53"
"2754","TP53"
"2755","TP53"
"2756","TP53"
"2757","TP53"
"2758","TP53"
"2759","TP53"
"2760","TP53"
"2761","TP53"
"2762","TP53"
"2763","TP53"
"2764","TP53"
"2765","TP53"
"2766","TP53"
"2767","TP53"
"2768","TP53"
"2769","TP53"
"2770","TP53"
"2771","TP53"
"2772","TP53"
"2773","TP53"
"2774","TP53"
"2775","TP53"
"2776","TP53"
"2777","TP53"
"2778","TP53"
"2779","TP53"
"2780","TP53"
"2781","TP53"
"2782","TP53"
"2783","TP53"
"2784","TP53"
"2785","TP53"
"2786","TP53"
"2787","TP53"
"2788","TP53"
"2789","TP53"
"2790","TP53"
"2791","TP53"
"2792","TP53"
"2793","TP53"
"2794","TP53"
"2795","TP53"
"2796","TP53"
"2797","TP53"
"2798","TP53"
"2799","TP53"
"2800","TP53"
"2801","TP53"
"2802","TP53"
"2803","TP53"
"2804","TP53"
"2805","TP53"
"2806","TP53"
"2807","TP53"
"2808","TP53"
"2809","TP53"
"2810","TP53"
"2811","TP53"
"2812","TP53"
"2813","TP53"
"2814","TP53"
"2815","TP53"
"2816","TP53"
"2817","TP53"
"2818","TP53"
"2819","TP53"
"2820","TP53"
"2821","TP53"
"2822","TP53"
"2823","TP53"
"2824","TP53"
"2825","TP53"
"2826","TP53"
"2827","TP53"
"2828","TP53"
"2829","TP53"
"2830","TP53"
"2831","TP53"
"2832","TP53"
"2833","RLN1"
"2834","RLN1"
"2835","RLN1"
"2836","RLN1"
"2837","RLN1"
"2838","RLN1"
"2839","IFNW1"
"2840","IFNW1"
"2841","IFNW1"
"2842","IFNW1"
"2843","IFNA6"
"2844","IFNA6"
"2845","IFNA6"
"2846","IFNA6"
"2847","IFNA6"
