"","ligands_human"
"307","SOCS2"
"308","SOCS2"
"309","SOCS2"
"310","SOCS2"
"311","SOCS2"
"312","SOCS2"
"313","SOCS2"
"314","SOCS2"
"315","SOCS2"
"316","SOCS2"
"317","SOCS2"
"318","SOCS2"
"319","NRG2"
"320","NRG2"
"321","NRG2"
"322","NRG2"
"323","NRG2"
"324","NRG2"
"325","NRG2"
"326","NRG2"
"327","NRG2"
"328","NRG2"
"329","NRG2"
"330","NRG2"
"331","NRG2"
"332","NRG2"
"333","NRG2"
"334","NRG2"
"335","NRG2"
"336","NRG2"
"337","CXCL11"
"338","CXCL11"
"339","CXCL11"
"340","CXCL11"
"341","CXCL11"
"342","CXCL11"
"343","CXCL11"
"344","CXCL11"
"345","CXCL11"
"346","CXCL11"
"347","CXCL11"
"348","CXCL11"
"349","CXCL11"
"350","CXCL11"
"351","CXCL11"
"352","CXCL11"
"353","CXCL11"
"354","CXCL11"
"355","CXCL11"
"356","CXCL11"
"357","CXCL11"
"358","CXCL11"
"359","CXCL11"
"360","CXCL11"
"361","CXCL11"
"362","CXCL11"
"363","CXCL11"
"364","NRP1"
"365","NRP1"
"366","NRP1"
"367","NRP1"
"368","NRP1"
"369","NRP1"
"370","NRP1"
"371","TNFSF11"
"372","TNFSF11"
"373","TNFSF11"
"374","TNFSF11"
"375","TNFSF11"
"376","TNFSF11"
"377","TNFSF11"
"378","MSTN"
"379","MSTN"
"380","MSTN"
"381","MSTN"
"382","MSTN"
"383","WNT9A"
"384","WNT9A"
"385","WNT9A"
"386","WNT9A"
"387","WNT9A"
"388","WNT9A"
"389","WNT9A"
"390","WNT9A"
"391","WNT9A"
"392","WNT9A"
"393","WNT9A"
"394","WNT9A"
"395","WNT9A"
"396","WNT9A"
"397","WNT9A"
"398","WNT9A"
"399","WNT9A"
"400","WNT9A"
"401","WNT9A"
"402","WNT9A"
"403","WNT9A"
"404","WNT9A"
"405","WNT9A"
"406","WNT9A"
"407","WNT9A"
"408","WNT9A"
"409","WNT9A"
"410","WNT9A"
"411","WNT9A"
"412","WNT9A"
"413","WNT9A"
"414","WNT9A"
"415","WNT9A"
"416","WNT9A"
"417","WNT9B"
"418","WNT9B"
"419","WNT9B"
"420","WNT9B"
"421","WNT9B"
"422","WNT9B"
"423","WNT9B"
"424","WNT9B"
"425","WNT9B"
"426","WNT9B"
"427","WNT9B"
"428","WNT9B"
"429","WNT9B"
"430","WNT9B"
"431","WNT9B"
"432","WNT9B"
"433","WNT9B"
"434","WNT9B"
"435","WNT9B"
"436","WNT9B"
"437","WNT9B"
"438","WNT9B"
"439","WNT9B"
"440","WNT9B"
"441","WNT9B"
"442","WNT9B"
"443","WNT9B"
"444","WNT9B"
"445","WNT9B"
"446","WNT9B"
"447","WNT9B"
"448","WNT9B"
"449","WNT9B"
"450","EREG"
"451","EREG"
"452","EREG"
"453","EREG"
"454","EREG"
"455","EREG"
"456","SEMA3E"
"457","SEMA3E"
"458","SEMA3E"
"459","SEMA3E"
"460","ADAMTS3"
"461","ANGPT2"
"462","ANGPT2"
"463","ANGPT2"
"464","ANGPT2"
"465","ANGPT2"
"466","NPFF"
"467","NPFF"
"468","NPFF"
"469","LAMA5"
"470","LAMA5"
"471","LAMA5"
"472","LAMA5"
"473","LAMA5"
"474","LAMA5"
"475","LAMA5"
"476","LAMA5"
"477","LAMA5"
"478","LAMA5"
"479","LAMA5"
"480","LAMA5"
"481","LAMA5"
"482","LAMA5"
"483","LAMA5"
"484","LAMA5"
"485","LAMA5"
"486","LAMA5"
"487","LAMA5"
"488","LAMA5"
"489","LAMA5"
"490","LAMA5"
"491","LAMA5"
"492","LAMA5"
"493","LAMA5"
"494","LAMA5"
"495","LAMA5"
"496","LAMA5"
"497","LAMA5"
"498","LAMA5"
"499","LAMA5"
"500","LAMA5"
"501","LAMA5"
"502","LAMA5"
"503","LAMA5"
"504","LAMA5"
"505","VGF"
"506","DEFB4B"
"507","DEFB4B"
"508","DEFB4B"
"509","CHAD"
"510","CHAD"
"511","CHAD"
"512","CHAD"
"513","CHAD"
"514","CHAD"
"515","CHAD"
"516","CHAD"
"517","CHAD"
"518","CHAD"
"519","CHAD"
"520","CHAD"
"521","CHAD"
"522","CHAD"
"523","CHAD"
"524","CHAD"
"525","CHAD"
"526","CHAD"
"527","CHAD"
"528","CHAD"
"529","CHAD"
"530","CCL25"
"531","CCL25"
"532","CCL25"
"533","CCL25"
"534","CCL25"
"535","CCL25"
"536","CCL25"
"537","CCL25"
"538","CCL25"
"539","CCL25"
"540","CCL25"
"541","CCL25"
"542","CCL25"
"543","CCL25"
"544","CCL25"
"545","CCL25"
"546","CCL25"
"547","CCL25"
"548","CCL25"
"549","CCL25"
"550","CCL25"
