receptor,tf
AKT3,E2F5
AKT3,EGR1
AKT3,ERF
AKT3,FOXA2
AKT3,FOXG1
AKT3,FOXM1
AKT3,FOXO1
AKT3,FOXO3
AKT3,FOXO4
AKT3,FOXO6
AKT3,GATA1
AKT3,GATA2
AKT3,HAND1
AKT3,HES5
AKT3,HIF1A
AKT3,IRF3
AKT3,JUN
AKT3,MEF2C
AKT3,MITF
AKT3,MXD1
AKT3,MYBL2
AKT3,MYC
AKT3,MYOD1
AKT3,MYT1
AKT3,NFATC2
AKT3,NFATC4
AKT3,NFKB1
AKT3,NFKB2
AKT3,NR4A1
AKT3,NRF1
AKT3,PITX2
AKT3,POU5F1
AKT3,RELA
AKT3,RUNX1
AKT3,RUNX2
AKT3,SKI
AKT3,SMAD3
AKT3,SMAD4
AKT3,SOX2
AKT3,SP1
AKT3,SP3
AKT3,SPI1
AKT3,SREBF1
AKT3,STAT1
AKT3,TAL1
AKT3,TBP
AKT3,TBX3
AKT3,TERF1
AKT3,TFCP2
AKT3,TFDP1
AKT3,TP53
AKT3,TP73
AKT3,TWIST1
AKT3,YBX1
AKT3,YY1
AKT3,ZNF322
ALK,CREB1
ALK,DLX5
ALK,ELF1
ALK,ELK1
ALK,FOXA2
ALK,FOXG1
ALK,FOXO1
ALK,FOXO3
ALK,FOXO4
ALK,FOXO6
ALK,GATA1
ALK,GATA2
ALK,HAND1
ALK,HES5
ALK,HMGA1
ALK,IKZF3
ALK,IRF3
ALK,JUN
ALK,MITF
ALK,MXD1
ALK,MYC
ALK,MYT1
ALK,NFATC2
ALK,NR4A1
ALK,NRF1
ALK,PITX2
ALK,POU5F1
ALK,RELA
ALK,RUNX2
ALK,SKI
ALK,SMAD1
ALK,SMAD3
ALK,SOX2
ALK,SP1
ALK,STAT1
ALK,STAT5A
ALK,STAT5B
ALK,TAL1
ALK,TERF1
ALK,TFCP2
ALK,TP53
ALK,TWIST1
ALK,YBX1
ALK,ZNF322
APP,CREB1
APP,ELF1
APP,FOXO3
APP,HMGA1
APP,IRF3
APP,MYC
APP,POU2F1
APP,RELA
APP,SMAD1
APP,SMAD3
APP,SP1
APP,TFCP2
APP,TP53
ARRB2,JUN
ARRB2,NFKB1
ARRB2,RBPJ
ARRB2,RELA
ARRB2,SMAD3
ATM,AIRE
ATM,ARNT
ATM,ARNTL
ATM,ASCL1
ATM,ATF1
ATM,ATF2
ATM,ATF4
ATM,ATF5
ATM,ATOH1
ATM,CEBPB
ATM,CEBPD
ATM,CREB1
ATM,CREB3
ATM,CREM
ATM,CUX1
ATM,CUX2
ATM,DDIT3
ATM,DLX5
ATM,E2F1
ATM,E2F2
ATM,E2F3
ATM,E2F5
ATM,E4F1
ATM,EGR1
ATM,ELF1
ATM,ELK1
ATM,EPAS1
ATM,ETV1
ATM,FOS
ATM,FOSB
ATM,FOXA2
ATM,FOXG1
ATM,FOXL2
ATM,FOXM1
ATM,FOXO1
ATM,FOXO3
ATM,FOXO4
ATM,FOXO6
ATM,FOXP3
ATM,GATA1
ATM,GATA2
ATM,GATA6
ATM,GCM1
ATM,GFI1
ATM,GLI1
ATM,GLI2
ATM,GLI3
ATM,GLIS2
ATM,GLIS3
ATM,HAND1
ATM,HES5
ATM,HES6
ATM,HHEX
ATM,HIC1
ATM,HIC2
ATM,HIF1A
ATM,HMGA1
ATM,HMGA2
ATM,HNF1A
ATM,HOXA11
ATM,HOXA9
ATM,HOXB6
ATM,HOXB7
ATM,HOXC4
ATM,HOXC6
ATM,HOXC8
ATM,HOXC9
ATM,HSF1
ATM,IKZF1
ATM,IKZF3
ATM,IRF2
ATM,IRF3
ATM,IRF5
ATM,IRF7
ATM,JUN
ATM,JUND
ATM,KLF1
ATM,KLF12
ATM,KLF13
ATM,KMT2A
ATM,LEF1
ATM,MAX
ATM,MAZ
ATM,MECOM
ATM,MEF2A
ATM,MEF2C
ATM,MEF2D
ATM,MITF
ATM,MXD1
ATM,MYB
ATM,MYBL2
ATM,MYC
ATM,MYCN
ATM,MYOD1
ATM,MYOG
ATM,MYT1
ATM,NFAT5
ATM,NFATC1
ATM,NFATC2
ATM,NFATC3
ATM,NFKB1
ATM,NFKB2
ATM,NKX2-5
ATM,NKX3-1
ATM,NR1D1
ATM,NR4A1
ATM,NR4A2
ATM,NRF1
ATM,OSR1
ATM,PA2G4
ATM,PAX2
ATM,PAX3
ATM,PDX1
ATM,PIN1
ATM,PITX2
ATM,POU2F1
ATM,POU2F2
ATM,POU3F1
ATM,POU5F1
ATM,PURB
ATM,RBPJ
ATM,RELA
ATM,RUNX2
ATM,RUNX3
ATM,SHOX
ATM,SIM2
ATM,SKI
ATM,SMAD1
ATM,SMAD3
ATM,SMAD4
ATM,SMAD5
ATM,SMAD9
ATM,SNAI1
ATM,SOX2
ATM,SP1
ATM,SP3
ATM,SPI1
ATM,SPIB
ATM,SRF
ATM,STAT1
ATM,STAT4
ATM,TAL1
ATM,TBP
ATM,TCF12
ATM,TCF3
ATM,TCF4
ATM,TCF7L2
ATM,TEAD1
ATM,TEAD2
ATM,TEAD3
ATM,TEAD4
ATM,TERF1
ATM,TERF2
ATM,TFAP2A
ATM,TFCP2
ATM,TFDP1
ATM,TFEB
ATM,TP53
ATM,TP63
ATM,TP73
ATM,TSHZ3
ATM,TWIST1
ATM,USF1
ATM,WIZ
ATM,YBX1
ATM,YY1
ATM,ZBTB16
ATM,ZC3H8
ATM,ZEB1
ATM,ZHX1
ATM,ZNF148
ATM,ZNF322
ATM,ZNF420
AURKA,ARNTL
AURKA,ATF2
AURKA,CREB1
AURKA,DLX5
AURKA,E2F1
AURKA,E2F2
AURKA,E2F3
AURKA,EGR1
AURKA,ELF1
AURKA,ELF4
AURKA,EPAS1
AURKA,ERF
