,group,names,scores,logfoldchanges,pvals,pvals_adj,Unnamed: 0,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
212,MSC,GLYR1,-0.9524918,0.24303843,0.3408476070667312,1.0,ZC3H8,6.50192680371951e-05,0.847823193151862,0.766,0.44,0.023341917225353,Fibroblast,ZC3H8
213,MSC,POU4F2,-0.9632666,0.8043683,0.3354137375333791,1.0,HOXA101,0.0001347715945495,0.384715377398079,0.938,0.948,0.0483830024432796,Fibroblast,HOXA10
214,MSC,PDX1,-1.0623947,0.19633922,0.2880565233163585,1.0,ZBTB21,0.0001680610343753,7.75335766172634,0.875,0.869,0.060333911340766,Fibroblast,ZBTB2
215,MSC,NFE2L1,-1.1291984,0.39062464,0.2588141232743981,1.0,DNMT1,0.0002122309878353,0.76137470106631,0.953,0.759,0.0761909246328787,Fibroblast,DNMT1
216,MSC,NFIA,-1.1658328,0.6479174,0.2436820687018244,1.0,NR2C2,0.0002138761626938,1.31113055962097,0.812,0.597,0.0767815424071059,Fibroblast,NR2C2
217,MSC,MEF2B,-1.1679877,0.72511286,0.2428117183013201,1.0,ZBTB331,0.0002551875656526,0.284609195197287,1.0,0.953,0.0916123360693132,Fibroblast,ZBTB33
218,MSC,TP73,-1.2778907,0.13377531,0.2012879946300025,1.0,KLF5,0.0002691761313066,0.599644415826818,0.938,0.78,0.0966342311391015,Fibroblast,KLF5
219,MSC,EBF1,-1.2822006,0.4068368,0.1997723063837583,1.0,KLF10,0.0006443658354792,3.8659762058424,0.094,0.021,0.231327334937061,Fibroblast,KLF10
220,MSC,HOXB7,-1.3274547,5.1431994,0.184358322716404,1.0,EPAS1,0.0008037134392544,1.97182568165949,0.734,0.487,0.288533124692361,Fibroblast,EPAS1
221,MSC,TFCP2,-1.3274547,5.371443,0.184358322716404,1.0,KLF13,0.0010129999981189,0.752136177620944,0.828,0.717,0.363666999324717,Fibroblast,KLF13
222,MSC,ATF5,-1.3964133,3.2926204,0.1625900534427006,1.0,HIF1A1,0.0010271790692969,1.05606156239889,0.891,0.696,0.368757285877587,Fibroblast,HIF1A
223,MSC,NR5A2,-1.4502873,0.23134023,0.1469784093547857,1.0,RXRA1,0.0013801489645377,0.385535970092272,0.828,0.602,0.495473478269033,Fibroblast,RXRA
224,MSC,TCF3,-1.4632171,0.81290334,0.1434079863479843,1.0,MYB1,0.0031568861733307,1.46091628058763,0.703,0.482,1.0,Fibroblast,MYB
225,MSC,ZNF143,-1.5300208,0.37713102,0.1260115770102793,1.0,CREB51,0.0033418244118074,0.839518020453755,0.188,0.131,1.0,Fibroblast,CREB5
226,MSC,E2F1,-1.5321758,0.3452614,0.1254790653244735,1.0,JUND1,0.0035812487629517,0.897699938487219,0.656,0.44,1.0,Fibroblast,JUND
227,MSC,SNAPC4,-1.5645002,2.1874533,0.1177001562977479,1.0,TWIST2,0.0036037699290512,3.68592299339924,0.594,0.319,1.0,Fibroblast,TWIST2
228,MSC,TERF2,-1.5882047,0.28825146,0.1122400577428409,1.0,ELF5,0.0038361703461348,0.726716025499338,0.828,0.654,1.0,Fibroblast,ELF5
