,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
105,Neural,Neural,ERBB2,HSF1,Receptor,Transcription Factor,0.219332337755777
106,Neural,Neural,ITGB1,HSF1,Receptor,Transcription Factor,0.219332337755777
107,Neural,Neural,PTPRF,HSF1,Receptor,Transcription Factor,0.219332337755777
108,Neural,Neural,INSR,IKZF1,Receptor,Transcription Factor,0.505998370103666
109,Neural,Neural,ITGB1,IKZF1,Receptor,Transcription Factor,0.505998370103666
110,Neural,Neural,PTPRF,IKZF1,Receptor,Transcription Factor,0.505998370103666
111,Neural,Neural,TGFBR2,IKZF1,Receptor,Transcription Factor,0.505998370103666
112,Neural,Neural,ITGB1,IRF2,Receptor,Transcription Factor,0.582765966662885
113,Neural,Neural,PTPRF,IRF2,Receptor,Transcription Factor,0.582765966662885
114,Neural,Neural,ITGB1,KLF1,Receptor,Transcription Factor,0.601863829807483
115,Neural,Neural,PTPRF,KLF1,Receptor,Transcription Factor,0.601863829807483
121,Neural,Neural,ITGB1,MYCN,Receptor,Transcription Factor,0.324532748291295
122,Neural,Neural,PTPRF,MYCN,Receptor,Transcription Factor,0.324532748291295
127,Neural,Neural,ERBB2,NEUROD1,Receptor,Transcription Factor,0.397408341820031
128,Neural,Neural,FZD5,NFKB2,Receptor,Transcription Factor,0.0058595001488423
129,Neural,Neural,ITGB1,NFKB2,Receptor,Transcription Factor,0.0058595001488423
130,Neural,Neural,PTPRF,NFKB2,Receptor,Transcription Factor,0.0058595001488423
138,Neural,Neural,DIP2A,PAX3,Receptor,Transcription Factor,0.367280327353281
139,Neural,Neural,INSR,PAX3,Receptor,Transcription Factor,0.367280327353281
140,Neural,Neural,ITGB1,PAX3,Receptor,Transcription Factor,0.367280327353281
141,Neural,Neural,PDGFRB,PAX3,Receptor,Transcription Factor,0.367280327353281
142,Neural,Neural,PTPRF,PAX3,Receptor,Transcription Factor,0.367280327353281
143,Neural,Neural,DIP2A,PAX8,Receptor,Transcription Factor,0.0234740398469225
144,Neural,Neural,INSR,PAX8,Receptor,Transcription Factor,0.0234740398469225
145,Neural,Neural,PDGFRB,PAX8,Receptor,Transcription Factor,0.0234740398469225
155,Neural,Neural,CD40,SMAD1,Receptor,Transcription Factor,0.0296673946809736
156,Neural,Neural,ERBB2,SMAD1,Receptor,Transcription Factor,0.0296673946809736
157,Neural,Neural,FGFR1,SMAD1,Receptor,Transcription Factor,0.0296673946809736
158,Neural,Neural,INSR,SMAD1,Receptor,Transcription Factor,0.0296673946809736
159,Neural,Neural,ITGB1,SMAD1,Receptor,Transcription Factor,0.0296673946809736
160,Neural,Neural,LPP,SMAD1,Receptor,Transcription Factor,0.0296673946809736
161,Neural,Neural,PDGFRB,SMAD1,Receptor,Transcription Factor,0.0296673946809736
162,Neural,Neural,PTPRF,SMAD1,Receptor,Transcription Factor,0.0296673946809736
163,Neural,Neural,TGFBR2,SMAD1,Receptor,Transcription Factor,0.0296673946809736
164,Neural,Neural,TNFRSF14,SMAD1,Receptor,Transcription Factor,0.0296673946809736
169,Neural,Neural,ERBB2,SOX2,Receptor,Transcription Factor,0.0170912675741666
170,Neural,Neural,INSR,SOX2,Receptor,Transcription Factor,0.0170912675741666
171,Neural,Neural,ITGB1,SOX2,Receptor,Transcription Factor,0.0170912675741666
172,Neural,Neural,NTRK2,SOX2,Receptor,Transcription Factor,0.0170912675741666
173,Neural,Neural,PDGFRB,SOX2,Receptor,Transcription Factor,0.0170912675741666
174,Neural,Neural,PTPRF,SOX2,Receptor,Transcription Factor,0.0170912675741666
175,Neural,Neural,TGFBR2,SOX2,Receptor,Transcription Factor,0.0170912675741666
190,Neural,Neural,CXCR4,STAT2,Receptor,Transcription Factor,0.571102540630797
191,Neural,Neural,INSR,STAT4,Receptor,Transcription Factor,0.597126604291479
192,Neural,Neural,ITGB1,STAT4,Receptor,Transcription Factor,0.597126604291479
193,Neural,Neural,PTPRF,STAT4,Receptor,Transcription Factor,0.597126604291479
