Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
THAP11,,3.125398869974662e-07,MEF2C,,3.084906683224227e-12,HSF2,0.30439386,1.0,NFYA,1.3316964,1.0,ATF5,,1.0
HHEX,,1.1620082984173972e-06,MBD3,,5.086558810662443e-12,SMAD4,-4.9542956,1.0,ZBTB33,0.99847555,1.0,CEBPA,-0.8254681,1.0
FOXA1,-0.3997935,1.8089803169612163e-06,KDM5B,,5.658970232152391e-12,PDX1,0.018316079,1.0,POU2F2,-0.78892213,1.0,CREB5,0.99002796,1.0
KMT2B,,2.3791456542436897e-06,NR1H2,2.8562243,8.964133714807923e-12,TP63,-0.06021268,1.0,MYC,2.5857196,1.0,ZZZ3,-1.9909964,1.0
EPAS1,4.2136855,7.048639433483492e-06,MEF2D,,8.964133714807923e-12,PPARD,0.03443967,1.0,STAT5A,0.79257786,1.0,PCGF2,-0.3971733,1.0
MXI1,1.8579156,1.4372549418465009e-05,FOXA2,-2.930823,1.0319900111750551e-11,PIN1,-2.0576987,1.0,SMAD1,1.4132713,1.0,PROX1,0.024468549,1.0
DEAF1,2.1143746,1.4372549418465009e-05,ERG,,1.2087023719568426e-11,ETS1,0.070523575,1.0,NR4A1,-0.9941629,1.0,MEF2D,,1.0
ZNF318,1.5489675,1.9386761100467966e-05,FOXM1,4.7905912,1.4913030912563844e-11,ZC3H8,0.30765742,1.0,MEF2B,,1.0,KLF8,,1.0
PAX3,3.33926,5.655327442738493e-05,TP53,6.581503,3.490211857886058e-11,FOXD3,0.91675454,1.0,ATF5,2.5504594,1.0,ETV6,0.33368906,1.0
THAP1,,0.00011685385848666689,KLF3,,6.145596323771424e-11,ZBTB11,-0.59256506,1.0,PPARD,1.4330506,1.0,LYL1,-0.15477456,1.0
MYNN,1.8667037,0.00016369194379961964,PPARG,,7.164053764627268e-11,HIC1,-0.4574361,1.0,ETV4,1.9838837,1.0,EBF1,-0.06925761,1.0
ADNP,-1.4215711,0.0002681180538424482,SIX2,-1.9079046,7.164053764627268e-11,ZZZ3,-0.13839872,1.0,ELF1,2.4069092,1.0,GABPA,-0.0019700422,1.0
CEBPD,1.4480734,0.0007006668517335828,NANOG,,1.0229415493295344e-10,GLYR1,-0.03882183,1.0,MEF2A,3.575579,1.0,GLI2,-4.4240985,1.0
ZNF83,1.841262,0.0008624259092186087,RUNX2,,1.1131114782982512e-10,GFI1,,1.0,RUNX3,-0.30769655,1.0,TEAD2,0.25653908,1.0
STAT5A,1.2729113,0.002140948131026582,ONECUT1,-3.2558434,1.2525898092879284e-10,RUNX3,0.033556588,1.0,ZEB1,,1.0,MECP2,2.7383568,1.0
TFAP2C,-0.28108212,0.0025662133037188052,SP1,3.022773,1.2738677875887925e-10,KMT2B,0.4428925,1.0,TCF3,-7.932305,1.0,ZNF217,-0.09830215,1.0
MYCN,3.430037,0.003019630173148471,FOXP2,,1.874005728488233e-10,CEBPZ,0.835836,1.0,NEUROD1,1.911363,1.0,VDR,0.184129,1.0
SETDB1,-0.3198167,0.006974931851075268,NR2F2,,2.2146055135511155e-10,CBX2,0.07489672,1.0,SNAI1,0.53459144,1.0,HIVEP2,0.0014658825,1.0
BHLHE40,1.6663493,0.007570612485749927,RELB,,2.53021707203171e-10,FOXP1,-0.054921694,1.0,ELK4,0.60370916,1.0,ZNF592,0.12738755,1.0
TFDP1,1.2206218,0.010643677362162877,CEBPB,,4.5897159251908846e-10,BMAL1,0.06405866,1.0,USF1,0.75941,1.0,NR4A1,0.0116666,1.0
FOXO4,4.5607576,0.010903509647502528,TFAP2A,,1.2401901577193097e-09,MEF2B,-0.20629115,1.0,NRF1,0.9261511,1.0,MYBL1,,1.0
BACH1,1.170537,0.010903509647502528,NR2F6,,1.3661785013708174e-09,NME2,0.01658972,1.0,SP4,0.761673,1.0,TFCP2,,1.0
STAT5B,,0.015479437707523505,ZNF750,-1.7915713,1.6045859089184941e-09,SOX11,0.058885116,1.0,SNAI2,-1.2646896,1.0,ZBTB2,,1.0
MBD2,-0.8441655,0.019284180667672086,NR1H3,,1.6305585529737455e-09,E2F5,-0.054666735,1.0,USF2,0.90844065,1.0,E2F2,0.052777328,1.0
KLF8,,0.019895159664509637,RFX1,,1.7667310787361344e-09,E2F1,0.08732784,1.0,ZHX2,0.89690906,1.0,PBX3,1.6674563,1.0
ZNF584,3.0305731,0.022009961010140515,ELK4,4.310749,1.9762665313838755e-09,HOXA10,-0.48591384,1.0,MAX,1.5532357,1.0,LEF1,-0.8167699,1.0
FOXJ2,2.365845,0.02730963520665096,FOXL2,6.1449223,2.806215675349143e-09,MYBL1,2.701259,1.0,JUND,2.8038504,1.0,GATA4,0.1727583,1.0
KLF13,1.1032442,0.030161177660024914,GATA6,,2.943087883359172e-09,PGR,0.19134572,1.0,KLF10,,1.0,ATF6,-4.355962,1.0
ZNF382,,0.03254375506604752,NME2,-2.3964057,3.448264623460788e-09,ZNF382,0.2326956,1.0,HMGN3,0.8072723,1.0,TWIST1,0.2995306,1.0
ZNF175,,0.03405750075184458,XBP1,-3.362265,4.300774323035227e-09,ZNF197,-1.1006413,1.0,ZNF589,1.1461505,1.0,RARA,2.369646,1.0
PRDM1,,0.04666946958595676,POU4F2,-2.7963178,4.5801583151693165e-09,NFYB,-0.14278316,1.0,E2F7,0.569945,1.0,ZNF382,,1.0
HSF1,4.2659726,0.05411623163058754,MAFK,-2.3909633,4.726440419455937e-09,GATA4,0.02691897,1.0,MBD3,,1.0,ARNT,0.06779534,1.0
ATF4,1.6743189,0.06990581529232717,ZEB1,,5.886583620796397e-09,POU4F2,0.056837216,1.0,ZNF584,1.5717129,1.0,PAX3,-2.0060618,1.0
BACH2,2.2166893,0.07041500066228742,KLF9,,6.169284691985667e-09,AHR,0.35484815,1.0,PBX3,,1.0,DDIT3,-0.60148174,1.0
ARID2,1.5812143,0.07407808160220905,EGR1,,6.670267429039241e-09,NR1I2,-0.46403658,1.0,MEIS1,-0.22543986,1.0,PITX1,,1.0
SOX13,,0.07625087359851707,MBD4,,1.4023708863478216e-08,SP4,-0.30849576,1.0,ELF5,1.0055404,1.0,PPARA,0.5492835,1.0
CDX1,-0.62071115,0.11858471185827546,ESR2,3.0765355,1.537609862490323e-08,MECP2,-0.68682104,1.0,FOSB,1.1855738,1.0,POU2F2,0.0781998,1.0
SREBF2,-0.8202977,0.1335642138860395,GTF2B,-2.1410046,1.934005256945167e-08,ZNF92,0.1340897,1.0,RBPJ,-0.7576854,1.0,FOXD3,-25.78506,1.0
HOXA10,1.8558682,0.1621487010073905,MYOD1,-1.3742304,2.542949975062348e-08,FOXO4,-0.024868034,1.0,CREB3L1,0.63543355,1.0,GATA6,0.15993355,1.0
ZNF24,5.9169,0.2031396816859959,ELK1,3.2147834,2.621215428817704e-08,MYB,-3.2515476,1.0,E2F2,-0.46532276,1.0,CDX2,0.3061358,1.0
ZNF384,1.640077,0.29157122688756776,HNF4G,,2.621215428817704e-08,SATB1,0.12224322,1.0,EBF1,-0.09740848,1.0,SIX5,-0.005687956,1.0
MBD1,,0.3325536913060805,EOMES,-1.0039246,3.190509533608931e-08,FOXL2,-0.20175917,1.0,NR2C2,1.5934151,1.0,RFX2,0.5297918,1.0
ZNF589,1.1366116,0.3549893962912045,HNF4A,-1.9392813,4.120218257255975e-08,THAP11,,1.0,NR1I2,0.3231409,1.0,ZNF83,-0.53055423,1.0
TGIF2,0.8054118,0.417351715701435,NFKB1,2.9832516,4.7857809511450265e-08,KLF8,0.8100369,1.0,TGIF2,0.43262637,1.0,SREBF2,0.19896555,1.0
