Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
MSX2,,9.969853464426974e-13,E2F7,3.2589185,5.099704421365883e-09,EHF,,1.0,ZZZ3,3.131861,1.0,MEF2B,,1.0
CTCF,-1.9900976,1.054082916400132e-12,FOSL2,,6.758437547237541e-09,JUND,2.4324389,1.0,ZNF589,1.896345,1.0,SMAD5,2.539156,1.0
POU4F2,,1.6657967380009085e-12,AR,4.916221,1.0204198531216086e-08,TWIST2,3.5030086,1.0,NFATC1,0.9627284,1.0,MECP2,,1.0
MTF1,,2.771980116613778e-12,TP53,3.2077549,1.3665928913144231e-08,ELF5,1.3505422,1.0,ZNF83,1.0925469,1.0,ZNF382,-2.5462575,1.0
THAP11,,3.5948197132091988e-12,ETV1,,1.4275785670391083e-08,ZNF217,,1.0,MYB,2.3908236,1.0,NR4A1,,1.0
ATF5,-2.598992,4.291879251678105e-12,CUX1,3.4680977,1.5130507843970837e-08,RUNX2,-4.416929,1.0,MAF,,1.0,YBX1,,1.0
MEF2D,1.7190094,5.191526690863842e-12,MYBL2,,3.1554758399325315e-08,SMAD1,0.90056235,1.0,BHLHE22,-0.58737564,1.0,STAT5A,1.4181707,1.0
TERF2,-1.7882446,1.3872399263605982e-11,NR3C1,,3.5880876114786056e-08,MBD3,,1.0,ZNF592,1.3885905,1.0,CEBPB,2.7299087,1.0
ASCL1,-1.1481553,3.8963638455448366e-11,ESR2,3.1069705,3.852946005519478e-08,SRF,1.0101249,1.0,HSF2,-0.26348296,1.0,CREB3,,1.0
ATF1,4.8874946,3.9478327565105004e-11,PROX1,,8.139840389252525e-08,GRHL2,-1.0008608,1.0,ZBTB11,,1.0,CEBPD,1.0086501,1.0
NFAT5,,6.40214842425494e-11,ZNF318,1.9953926,9.759845143976217e-08,ZNF274,-0.40617895,1.0,STAT5B,,1.0,ELF1,1.9375083,1.0
NR2F1,-2.3543372,6.570903777262313e-11,HHEX,,1.236008469869684e-07,TEAD1,-1.1646522,1.0,ZNF639,0.86133957,1.0,MBD1,,1.0
BMAL1,,8.970486855597977e-11,ESR1,,1.2532500402829538e-07,ELK1,0.4988171,1.0,FOXF2,,1.0,TCF3,,1.0
NFE2,,1.6847269621383544e-10,KLF6,,1.721345075308987e-07,MAZ,1.2500389,1.0,ZNF584,-1.9069352,1.0,MYNN,1.8084882,1.0
TERF1,-1.3576325,1.7064098716877343e-10,JUND,,3.449624654107519e-07,ZNF92,-0.43668684,1.0,LYL1,-0.84082043,1.0,DNMT1,0.97966623,1.0
E2F3,-0.705199,2.2591349174407394e-10,HBP1,2.4654071,6.224729944311353e-07,TWIST1,,1.0,E2F5,0.91916037,1.0,BCL11A,1.0474448,1.0
ZNF740,4.9632473,3.5198620486989694e-10,TFAP2A,7.2370925,6.224729944311353e-07,NFE2L1,-0.66795456,1.0,NFYB,0.59945446,1.0,MXI1,1.0320252,1.0
GTF2B,-1.3317416,4.1462499373137e-10,RFX5,3.3385015,8.671115958432342e-07,SMAD3,0.72876966,1.0,CREB3,,1.0,HOXA9,-2.2318804,1.0
PRDM14,-3.1289191,6.841540109895508e-10,NFIC,3.0519364,2.2458693546272562e-06,HOXB7,,1.0,USF1,0.58961457,1.0,PITX1,-3.5943308,1.0
FOXL2,1.4523941,8.244904027326005e-10,NANOG,,2.5867566136153605e-06,MAX,0.7385094,1.0,NFYA,0.6625995,1.0,HES1,-0.5445011,1.0
HNF1A,1.2257234,8.347903869624169e-10,CEBPA,,5.13550966340725e-06,E2F4,0.5873497,1.0,TCF3,-1.7319005,1.0,ZC3H8,1.5985982,1.0
KLF8,-3.031293,1.0562778099885522e-09,TEAD2,2.2809339,5.537605703065305e-06,TBP,0.80990607,1.0,CREM,,1.0,ZFX,0.58201504,1.0
HMBOX1,-6.778512,1.3516267696176785e-09,MEF2A,3.7157595,6.121578087256506e-06,TEAD4,-0.7817489,1.0,ZNF165,0.7164024,1.0,GABPA,,1.0
EGR2,,2.1261686465876917e-09,FOXO3,,8.568170645732198e-06,PROX1,1.9519328,1.0,ZBTB2,0.64898306,1.0,RUNX1,-0.27046505,1.0
MEIS1,-0.9728356,2.778083710564993e-09,ELK1,2.8316371,1.1807356524099576e-05,STAT6,-0.65197253,1.0,NR2C2,0.5720252,1.0,KMT2A,,1.0
RUNX1,-0.616608,4.501225981484566e-09,PGR,,1.2865315966213412e-05,ZZZ3,3.143942,1.0,RUNX3,-0.15463671,1.0,KLF8,-1.160107,1.0
HOXA1,,6.292435061130692e-09,RUNX2,,1.7875892018380853e-05,FOXM1,0.5889291,1.0,MEF2B,-1.140264,1.0,PAX5,1.922079,1.0
NR1H4,,9.647093577803376e-09,HOXA10,0.703578,1.8537511692670585e-05,MBD2,-0.44825816,1.0,YBX1,4.5565925,1.0,IRF4,-1.4048395,1.0
NR5A2,-1.3625585,1.405914376525079e-08,ZNF217,,2.962341799387033e-05,ETV4,0.49231493,1.0,KLF10,-1.8505805,1.0,CREM,,1.0
