,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
131,Neural,Neural,ITGB1,MEF2D,Receptor,Transcription Factor,0.17135826205119
132,Neural,Neural,LRP6,MEF2D,Receptor,Transcription Factor,0.17135826205119
133,Neural,Neural,PTPRF,MEF2D,Receptor,Transcription Factor,0.17135826205119
134,Neural,Neural,TGFBR1,MEF2D,Receptor,Transcription Factor,0.17135826205119
137,Neural,Neural,DIP2A,MYOD1,Receptor,Transcription Factor,0.384893959514134
138,Neural,Neural,INSR,MYOD1,Receptor,Transcription Factor,0.384893959514134
139,Neural,Neural,PDGFRB,MYOD1,Receptor,Transcription Factor,0.384893959514134
140,Neural,Neural,TGFBR1,MYOD1,Receptor,Transcription Factor,0.384893959514134
142,Neural,Neural,FZD5,NFKB2,Receptor,Transcription Factor,0.450124340046629
143,Neural,Neural,ITGB1,NFKB2,Receptor,Transcription Factor,0.450124340046629
144,Neural,Neural,PTPRF,NFKB2,Receptor,Transcription Factor,0.450124340046629
145,Neural,Neural,RYK,NFKB2,Receptor,Transcription Factor,0.450124340046629
146,Neural,Neural,TGFBR1,NFKB2,Receptor,Transcription Factor,0.450124340046629
147,Neural,Neural,INSR,NR4A1,Receptor,Transcription Factor,0.168318648437428
148,Neural,Neural,ITGB1,NR4A1,Receptor,Transcription Factor,0.168318648437428
149,Neural,Neural,MET,NR4A1,Receptor,Transcription Factor,0.168318648437428
150,Neural,Neural,NTRK2,NR4A1,Receptor,Transcription Factor,0.168318648437428
151,Neural,Neural,PDGFRB,NR4A1,Receptor,Transcription Factor,0.168318648437428
152,Neural,Neural,PTPRF,NR4A1,Receptor,Transcription Factor,0.168318648437428
153,Neural,Neural,TGFBR1,NR4A1,Receptor,Transcription Factor,0.168318648437428
156,Neural,Neural,DIP2A,PAX3,Receptor,Transcription Factor,0.0735741057263614
157,Neural,Neural,INSR,PAX3,Receptor,Transcription Factor,0.0735741057263614
158,Neural,Neural,ITGB1,PAX3,Receptor,Transcription Factor,0.0735741057263614
159,Neural,Neural,PDGFRB,PAX3,Receptor,Transcription Factor,0.0735741057263614
160,Neural,Neural,PTPRF,PAX3,Receptor,Transcription Factor,0.0735741057263614
161,Neural,Neural,DIP2A,PAX8,Receptor,Transcription Factor,0.33172459476486
162,Neural,Neural,INSR,PAX8,Receptor,Transcription Factor,0.33172459476486
163,Neural,Neural,PDGFRB,PAX8,Receptor,Transcription Factor,0.33172459476486
164,Neural,Neural,ITGB1,PDX1,Receptor,Transcription Factor,0.51829164127041
165,Neural,Neural,PTPRF,PDX1,Receptor,Transcription Factor,0.51829164127041
166,Neural,Neural,TGFBR1,PDX1,Receptor,Transcription Factor,0.51829164127041
167,Neural,Neural,INSR,POU5F1,Receptor,Transcription Factor,0.289745200693986
168,Neural,Neural,ITGB1,POU5F1,Receptor,Transcription Factor,0.289745200693986
169,Neural,Neural,MET,POU5F1,Receptor,Transcription Factor,0.289745200693986
170,Neural,Neural,NTRK2,POU5F1,Receptor,Transcription Factor,0.289745200693986
171,Neural,Neural,PDGFRB,POU5F1,Receptor,Transcription Factor,0.289745200693986
172,Neural,Neural,PTPRF,POU5F1,Receptor,Transcription Factor,0.289745200693986
173,Neural,Neural,TGFBR1,POU5F1,Receptor,Transcription Factor,0.289745200693986
174,Neural,Neural,TGFBR1,RUNX1,Receptor,Transcription Factor,0.510355360306428
188,Neural,Neural,INSR,SOX2,Receptor,Transcription Factor,0.743678452333463
189,Neural,Neural,ITGB1,SOX2,Receptor,Transcription Factor,0.743678452333463
190,Neural,Neural,MET,SOX2,Receptor,Transcription Factor,0.743678452333463
191,Neural,Neural,NTRK2,SOX2,Receptor,Transcription Factor,0.743678452333463
192,Neural,Neural,PDGFRB,SOX2,Receptor,Transcription Factor,0.743678452333463
193,Neural,Neural,PTPRF,SOX2,Receptor,Transcription Factor,0.743678452333463
194,Neural,Neural,TGFBR1,SOX2,Receptor,Transcription Factor,0.743678452333463
204,Neural,Neural,ITGB1,SPIB,Receptor,Transcription Factor,0.251365684362219
205,Neural,Neural,LRP6,SPIB,Receptor,Transcription Factor,0.251365684362219
206,Neural,Neural,PTPRF,SPIB,Receptor,Transcription Factor,0.251365684362219
207,Neural,Neural,TGFBR1,SPIB,Receptor,Transcription Factor,0.251365684362219
239,Neural,Neural,INSR,TAL1,Receptor,Transcription Factor,0.756022741146501
240,Neural,Neural,ITGB1,TAL1,Receptor,Transcription Factor,0.756022741146501
241,Neural,Neural,MET,TAL1,Receptor,Transcription Factor,0.756022741146501
242,Neural,Neural,NTRK2,TAL1,Receptor,Transcription Factor,0.756022741146501
243,Neural,Neural,PDGFRB,TAL1,Receptor,Transcription Factor,0.756022741146501
244,Neural,Neural,PTPRF,TAL1,Receptor,Transcription Factor,0.756022741146501
245,Neural,Neural,TGFBR1,TAL1,Receptor,Transcription Factor,0.756022741146501
260,Neural,Neural,DIP2A,TEAD4,Receptor,Transcription Factor,0.136310429097043
261,Neural,Neural,INSR,TEAD4,Receptor,Transcription Factor,0.136310429097043
262,Neural,Neural,ITGB1,TEAD4,Receptor,Transcription Factor,0.136310429097043
263,Neural,Neural,PDGFRB,TEAD4,Receptor,Transcription Factor,0.136310429097043
264,Neural,Neural,PTPRF,TEAD4,Receptor,Transcription Factor,0.136310429097043
265,Neural,Neural,TGFBR1,TEAD4,Receptor,Transcription Factor,0.136310429097043
266,Neural,Neural,INSR,TERF1,Receptor,Transcription Factor,0.551694044645352
267,Neural,Neural,ITGB1,TERF1,Receptor,Transcription Factor,0.551694044645352
268,Neural,Neural,MET,TERF1,Receptor,Transcription Factor,0.551694044645352
269,Neural,Neural,NTRK2,TERF1,Receptor,Transcription Factor,0.551694044645352
270,Neural,Neural,PDGFRB,TERF1,Receptor,Transcription Factor,0.551694044645352
271,Neural,Neural,PTPRF,TERF1,Receptor,Transcription Factor,0.551694044645352
272,Neural,Neural,TGFBR1,TERF1,Receptor,Transcription Factor,0.551694044645352
273,Neural,Neural,ITGB1,TFAP2A,Receptor,Transcription Factor,0.168194675240465
274,Neural,Neural,PTPRF,TFAP2A,Receptor,Transcription Factor,0.168194675240465
275,Neural,Neural,ITGB1,TP63,Receptor,Transcription Factor,0.167873389711073
276,Neural,Neural,PTPRF,TP63,Receptor,Transcription Factor,0.167873389711073
277,Neural,Neural,TGFBR1,TP63,Receptor,Transcription Factor,0.167873389711073
