source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,Unnamed: 0,type_gene_A_r,type_gene_B_r,MeanLR_r
Megakaryocyte,Megakaryocyte,TBP,THBS1,Transcription_Factor,Ligand,0.1693693101406097,1610,Transcription Factor,Ligand,0.169369329299287
Megakaryocyte,Megakaryocyte,BACH2,CLEC2D,Transcription_Factor,Ligand,0.4970023334026336,1491,Transcription Factor,Ligand,0.497002357220955
Megakaryocyte,Megakaryocyte,MYNN,GPI,Transcription_Factor,Ligand,0.1930786073207855,1551,Transcription Factor,Ligand,0.193078634027632
Megakaryocyte,Megakaryocyte,MYNN,SOCS2,Transcription_Factor,Ligand,0.1930786073207855,1552,Transcription Factor,Ligand,0.193078634027632
Megakaryocyte,Megakaryocyte,ZHX1,VCL,Transcription_Factor,Ligand,0.0157849621027708,1640,Transcription Factor,Ligand,0.0157849720505998
Megakaryocyte,Megakaryocyte,HIF1A,CCL5,Transcription_Factor,Ligand,0.0232183635234832,1523,Transcription Factor,Ligand,0.0232183630732782
Megakaryocyte,Megakaryocyte,HIF1A,LGALS1,Transcription_Factor,Ligand,0.0232183635234832,1524,Transcription Factor,Ligand,0.0232183630732782
Megakaryocyte,Megakaryocyte,HIF1A,MIF,Transcription_Factor,Ligand,0.0232183635234832,1525,Transcription Factor,Ligand,0.0232183630732782
Megakaryocyte,Megakaryocyte,HIF1A,S100A4,Transcription_Factor,Ligand,0.0232183635234832,1522,Transcription Factor,Ligand,0.0232183630732782
Megakaryocyte,Megakaryocyte,HIF1A,VEGFB,Transcription_Factor,Ligand,0.0232183635234832,1526,Transcription Factor,Ligand,0.0232183630732782
Megakaryocyte,Megakaryocyte,SMAD1,PDGFC,Transcription_Factor,Ligand,0.5073639154434204,1567,Transcription Factor,Ligand,0.507363926602169
Megakaryocyte,Megakaryocyte,SMAD1,VCL,Transcription_Factor,Ligand,0.5073639154434204,1568,Transcription Factor,Ligand,0.507363926602169
Megakaryocyte,Megakaryocyte,ZHX2,LAMB1,Transcription_Factor,Ligand,0.3436267077922821,1643,Transcription Factor,Ligand,0.343626726919858
Megakaryocyte,Megakaryocyte,NFAT5,LTB,Transcription_Factor,Ligand,0.6883853077888489,1555,Transcription Factor,Ligand,0.688385328942298
Megakaryocyte,Megakaryocyte,NFAT5,S100A4,Transcription_Factor,Ligand,0.6883853077888489,1554,Transcription Factor,Ligand,0.688385328942298
Megakaryocyte,Megakaryocyte,FLI1,PDGFC,Transcription_Factor,Ligand,0.1346883624792099,1500,Transcription Factor,Ligand,0.134688377245341
Megakaryocyte,Megakaryocyte,FLI1,PF4,Transcription_Factor,Ligand,0.1346883624792099,1499,Transcription Factor,Ligand,0.134688377245341
Neural,Neural,ITGB1,KLF1,Receptor,Transcription Factor,0.6018638610839844,114,Receptor,Transcription Factor,0.601863829807483
Neural,Neural,PTPRF,KLF1,Receptor,Transcription Factor,0.6018638610839844,115,Receptor,Transcription Factor,0.601863829807483
Neural,Neural,ITGB1,HIF1A,Receptor,Transcription Factor,0.1933659017086029,94,Receptor,Transcription Factor,0.193365891976828
Neural,Neural,PTPRF,HIF1A,Receptor,Transcription Factor,0.1933659017086029,95,Receptor,Transcription Factor,0.193365891976828
Neural,Neural,ITGB1,CEBPD,Receptor,Transcription Factor,0.3196430206298828,9,Receptor,Transcription Factor,0.319643047457005
Neural,Neural,PTPRF,CEBPD,Receptor,Transcription Factor,0.3196430206298828,10,Receptor,Transcription Factor,0.319643047457005
Neural,Neural,ITGB1,STAT4,Receptor,Transcription Factor,0.5971266031265259,192,Receptor,Transcription Factor,0.597126604291479
Neural,Neural,PTPRF,STAT4,Receptor,Transcription Factor,0.5971266031265259,193,Receptor,Transcription Factor,0.597126604291479
Neural,Neural,ITGA1,STAT5A,Receptor,Transcription Factor,0.3285005390644073,198,Receptor,Transcription Factor,0.328500543571754
