source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,Unnamed: 0,type_gene_A_r,type_gene_B_r,MeanLR_r
Fibroblast,Fibroblast,ZNF92,FBLN1,Transcription_Factor,Ligand,0.2420956492424011,1274,Transcription Factor,Ligand,0.242095634671744
Fibroblast,Fibroblast,FOSL2,ALCAM,Transcription_Factor,Ligand,0.1697113066911697,955,Transcription Factor,Ligand,0.169711328000078
Fibroblast,Fibroblast,FOSL2,TGFB1,Transcription_Factor,Ligand,0.1697113066911697,954,Transcription Factor,Ligand,0.169711328000078
Fibroblast,Fibroblast,ELF3,ALCAM,Transcription_Factor,Ligand,0.1305079311132431,918,Transcription Factor,Ligand,0.130507929201611
Fibroblast,Fibroblast,MAFK,ALCAM,Transcription_Factor,Ligand,0.0045913215726614,1076,Transcription Factor,Ligand,0.0045913159910587
Fibroblast,Fibroblast,MAFK,COL12A1,Transcription_Factor,Ligand,0.0045913215726614,1077,Transcription Factor,Ligand,0.0045913159910587
Fibroblast,Fibroblast,MYOD1,FBLN1,Transcription_Factor,Ligand,0.063088446855545,1081,Transcription Factor,Ligand,0.0630884422477221
Fibroblast,Fibroblast,MYOD1,WNT5B,Transcription_Factor,Ligand,0.063088446855545,1082,Transcription Factor,Ligand,0.0630884422477221
Fibroblast,Fibroblast,RUNX2,ALCAM,Transcription_Factor,Ligand,0.2504244148731231,1164,Transcription Factor,Ligand,0.250424434492815
Fibroblast,Fibroblast,RUNX2,COL12A1,Transcription_Factor,Ligand,0.2504244148731231,1165,Transcription Factor,Ligand,0.250424434492815
Fibroblast,Fibroblast,RUNX2,FBLN1,Transcription_Factor,Ligand,0.2504244148731231,1166,Transcription Factor,Ligand,0.250424434492815
Fibroblast,Fibroblast,RUNX2,LAMC1,Transcription_Factor,Ligand,0.2504244148731231,1167,Transcription Factor,Ligand,0.250424434492815
Fibroblast,Fibroblast,RUNX2,VEGFA,Transcription_Factor,Ligand,0.2504244148731231,1162,Transcription Factor,Ligand,0.250424434492815
Fibroblast,Fibroblast,RUNX2,WNT5B,Transcription_Factor,Ligand,0.2504244148731231,1168,Transcription Factor,Ligand,0.250424434492815
Fibroblast,Fibroblast,OTX2,ALCAM,Transcription_Factor,Ligand,0.1099530309438705,1107,Transcription Factor,Ligand,0.109953038567314
Fibroblast,Fibroblast,OTX2,DKK1,Transcription_Factor,Ligand,0.1099530309438705,1106,Transcription Factor,Ligand,0.109953038567314
Fibroblast,Fibroblast,TEAD4,ALCAM,Transcription_Factor,Ligand,0.2112389951944351,1216,Transcription Factor,Ligand,0.211239002801953
Fibroblast,Fibroblast,TEAD4,VEGFA,Transcription_Factor,Ligand,0.2112389951944351,1215,Transcription Factor,Ligand,0.211239002801953
Fibroblast,Fibroblast,NCOA3,ALCAM,Transcription_Factor,Ligand,0.0541950203478336,1086,Transcription Factor,Ligand,0.0541950217428456
Fibroblast,Fibroblast,SNAI2,LTBP3,Transcription_Factor,Ligand,0.1731592863798141,1183,Transcription Factor,Ligand,0.173159297357312
Fibroblast,Fibroblast,TEAD1,ALCAM,Transcription_Factor,Ligand,0.2148351371288299,1213,Transcription Factor,Ligand,0.21483514473726
Fibroblast,Fibroblast,TEAD1,LAMC1,Transcription_Factor,Ligand,0.2148351371288299,1214,Transcription Factor,Ligand,0.21483514473726
Fibroblast,Fibroblast,TEAD1,VEGFA,Transcription_Factor,Ligand,0.2148351371288299,1212,Transcription Factor,Ligand,0.21483514473726
Fibroblast,Fibroblast,HNF1A,VEGFA,Transcription_Factor,Ligand,0.0264905020594596,1015,Transcription Factor,Ligand,0.0264905000496702
Fibroblast,Fibroblast,E2F7,BDNF,Transcription_Factor,Ligand,0.3878345787525177,872,Transcription Factor,Ligand,0.387834578149752
Fibroblast,Fibroblast,E2F7,COL12A1,Transcription_Factor,Ligand,0.3878345787525177,873,Transcription Factor,Ligand,0.387834578149752
Fibroblast,Fibroblast,E2F7,COL6A3,Transcription_Factor,Ligand,0.3878345787525177,874,Transcription Factor,Ligand,0.387834578149752
Fibroblast,Fibroblast,E2F7,LGALS1,Transcription_Factor,Ligand,0.3878345787525177,876,Transcription Factor,Ligand,0.387834578149752
Fibroblast,Fibroblast,E2F7,SPARC,Transcription_Factor,Ligand,0.3878345787525177,877,Transcription Factor,Ligand,0.387834578149752
Fibroblast,Fibroblast,E2F7,THBS1,Transcription_Factor,Ligand,0.3878345787525177,878,Transcription Factor,Ligand,0.387834578149752
Fibroblast,Fibroblast,SRF,TLN1,Transcription_Factor,Ligand,0.2343723177909851,1199,Transcription Factor,Ligand,0.234372324649371
Fibroblast,Fibroblast,ETV4,ALCAM,Transcription_Factor,Ligand,0.1326652318239212,950,Transcription Factor,Ligand,0.13266521830112
Fibroblast,Fibroblast,ETV4,GRN,Transcription_Factor,Ligand,0.1326652318239212,952,Transcription Factor,Ligand,0.13266521830112
Fibroblast,Fibroblast,ETV4,SPP1,Transcription_Factor,Ligand,0.1326652318239212,948,Transcription Factor,Ligand,0.13266521830112
Fibroblast,Fibroblast,ETV4,VEGFA,Transcription_Factor,Ligand,0.1326652318239212,949,Transcription Factor,Ligand,0.13266521830112
Fibroblast,Fibroblast,PAX6,DKK1,Transcription_Factor,Ligand,0.6361719965934753,1108,Transcription Factor,Ligand,0.636171988751486
Fibroblast,Fibroblast,PAX6,SPARC,Transcription_Factor,Ligand,0.6361719965934753,1110,Transcription Factor,Ligand,0.636171988751486
Fibroblast,Fibroblast,SP3,FBLN1,Transcription_Factor,Ligand,0.5012659430503845,1195,Transcription Factor,Ligand,0.50126592672831
Fibroblast,Fibroblast,SP3,TGFB1,Transcription_Factor,Ligand,0.5012659430503845,1196,Transcription Factor,Ligand,0.50126592672831
Fibroblast,Fibroblast,SP3,VEGFA,Transcription_Factor,Ligand,0.5012659430503845,1194,Transcription Factor,Ligand,0.50126592672831
Fibroblast,Fibroblast,TWIST2,DKK1,Transcription_Factor,Ligand,0.5923190712928772,1256,Transcription Factor,Ligand,0.592319090983971
Fibroblast,Fibroblast,SMAD1,SPP1,Transcription_Factor,Ligand,0.2768834829330444,1171,Transcription Factor,Ligand,0.276883499241465
Fibroblast,Fibroblast,SMAD1,VEGFA,Transcription_Factor,Ligand,0.2768834829330444,1172,Transcription Factor,Ligand,0.276883499241465
Fibroblast,Fibroblast,SNAI1,CCL5,Transcription_Factor,Ligand,0.6002340912818909,1180,Transcription Factor,Ligand,0.60023411364095
Fibroblast,Fibroblast,SNAI1,THBS1,Transcription_Factor,Ligand,0.6002340912818909,1179,Transcription Factor,Ligand,0.60023411364095
Fibroblast,Fibroblast,HIF1A,CCL5,Transcription_Factor,Ligand,0.3252794146537781,1003,Transcription Factor,Ligand,0.325279434219183
Fibroblast,Fibroblast,HIF1A,INHBA,Transcription_Factor,Ligand,0.3252794146537781,1009,Transcription Factor,Ligand,0.325279434219183
Fibroblast,Fibroblast,HIF1A,LAMA4,Transcription_Factor,Ligand,0.3252794146537781,1010,Transcription Factor,Ligand,0.325279434219183
Fibroblast,Fibroblast,HIF1A,LGALS1,Transcription_Factor,Ligand,0.3252794146537781,1004,Transcription Factor,Ligand,0.325279434219183
Fibroblast,Fibroblast,HIF1A,MDK,Transcription_Factor,Ligand,0.3252794146537781,1008,Transcription Factor,Ligand,0.325279434219183
Fibroblast,Fibroblast,HIF1A,MIF,Transcription_Factor,Ligand,0.3252794146537781,1006,Transcription Factor,Ligand,0.325279434219183
Fibroblast,Fibroblast,HIF1A,VEGFA,Transcription_Factor,Ligand,0.3252794146537781,1001,Transcription Factor,Ligand,0.325279434219183
Fibroblast,Fibroblast,HIF1A,VEGFB,Transcription_Factor,Ligand,0.3252794146537781,1007,Transcription Factor,Ligand,0.325279434219183
Fibroblast,Fibroblast,ZC3H8,FSTL1,Transcription_Factor,Ligand,0.3925460278987884,1266,Transcription Factor,Ligand,0.392546033004998
Megakaryocyte,Megakaryocyte,ITGB1,CREB3,Receptor,Transcription Factor,0.24471215903759,536,Receptor,Transcription Factor,0.244712170242161
Megakaryocyte,Megakaryocyte,ITGB1,ZBTB16,Receptor,Transcription Factor,0.5429828763008118,635,Receptor,Transcription Factor,0.542982853713702
Megakaryocyte,Megakaryocyte,ITGB1,STAT4,Receptor,Transcription Factor,1.5548439025878906,620,Receptor,Transcription Factor,1.5548439227395
Megakaryocyte,Megakaryocyte,CREB3,LGALS3,Transcription_Factor,Ligand,0.24471215903759,1286,Transcription Factor,Ligand,0.244712170242161
Megakaryocyte,Megakaryocyte,USF2,CALR,Transcription_Factor,Ligand,0.3563814163208008,1341,Transcription Factor,Ligand,0.356381431644649
Megakaryocyte,Megakaryocyte,USF2,PF4,Transcription_Factor,Ligand,0.3563814163208008,1339,Transcription Factor,Ligand,0.356381431644649
Megakaryocyte,Megakaryocyte,VDR,CALR,Transcription_Factor,Ligand,0.4532176852226257,1343,Transcription Factor,Ligand,0.453217692752825
Megakaryocyte,Megakaryocyte,VDR,LGALS9,Transcription_Factor,Ligand,0.4532176852226257,1344,Transcription Factor,Ligand,0.453217692752825
Megakaryocyte,Megakaryocyte,IRF1,ALCAM,Transcription_Factor,Ligand,0.1346381604671478,1303,Transcription Factor,Ligand,0.134638134889635
Megakaryocyte,Megakaryocyte,IRF1,CCL5,Transcription_Factor,Ligand,0.1346381604671478,1301,Transcription Factor,Ligand,0.134638134889635
Megakaryocyte,Megakaryocyte,IRF1,FAM3C,Transcription_Factor,Ligand,0.1346381604671478,1304,Transcription Factor,Ligand,0.134638134889635
Megakaryocyte,Megakaryocyte,IRF1,HLA-A,Transcription_Factor,Ligand,0.1346381604671478,1302,Transcription Factor,Ligand,0.134638134889635
Megakaryocyte,Megakaryocyte,IRF1,ICAM2,Transcription_Factor,Ligand,0.1346381604671478,1305,Transcription Factor,Ligand,0.134638134889635
Megakaryocyte,Megakaryocyte,BATF,ALCAM,Transcription_Factor,Ligand,0.0641386061906814,1283,Transcription Factor,Ligand,0.0641386339387193
Megakaryocyte,Megakaryocyte,BATF,IL16,Transcription_Factor,Ligand,0.0641386061906814,1284,Transcription Factor,Ligand,0.0641386339387193
Megakaryocyte,Megakaryocyte,TBX21,FAM3C,Transcription_Factor,Ligand,0.4818716049194336,1337,Transcription Factor,Ligand,0.481871584589193
Megakaryocyte,Megakaryocyte,NFAT5,LTB,Transcription_Factor,Ligand,1.9700638055801392,1313,Transcription Factor,Ligand,1.9700639127946
Neural,Neural,PTPRF,IRF2,Receptor,Transcription Factor,0.2324755489826202,124,Receptor,Transcription Factor,0.23247554265295
Neural,Neural,PTPRF,IKZF1,Receptor,Transcription Factor,0.328053742647171,121,Receptor,Transcription Factor,0.328053715919867
Neural,Neural,PTPRF,ATF1,Receptor,Transcription Factor,0.5409615635871887,7,Receptor,Transcription Factor,0.540961538454781
Neural,Neural,LRP6,FOXO1,Receptor,Transcription Factor,0.1938754171133041,50,Receptor,Transcription Factor,0.193875421221669
Neural,Neural,PTPRF,FOXO1,Receptor,Transcription Factor,0.1938754171133041,54,Receptor,Transcription Factor,0.193875421221669
Neural,Neural,PTPRF,ASCL1,Receptor,Transcription Factor,0.5428771376609802,3,Receptor,Transcription Factor,0.542877108844046
Neural,Neural,PTPRF,GATA2,Receptor,Transcription Factor,0.5794377326965332,94,Receptor,Transcription Factor,0.579437750163205
Neural,Neural,LRP6,SPIB,Receptor,Transcription Factor,0.2513656914234161,205,Receptor,Transcription Factor,0.251365684362219
Neural,Neural,PTPRF,SPIB,Receptor,Transcription Factor,0.2513656914234161,206,Receptor,Transcription Factor,0.251365684362219
Neural,Neural,PTPRF,TP63,Receptor,Transcription Factor,0.1678733825683593,276,Receptor,Transcription Factor,0.167873389711073
