source_py,target_py,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,source_r,target_r,type_gene_A_r,type_gene_B_r,MeanLR_r
Fibroblast,Fibroblast,TBX21,FAM3C,Transcription_Factor,Ligand,-0.4114555716514587,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,0.481871584589193
Fibroblast,Fibroblast,SOX2,ALCAM,Transcription_Factor,Ligand,-0.4991523623466491,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.499152353398988
Fibroblast,Fibroblast,SOX2,ALCAM,Transcription_Factor,Ligand,-0.4991523623466491,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,-1.08169670271103
Fibroblast,Fibroblast,SOX2,COL12A1,Transcription_Factor,Ligand,-0.4991523623466491,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.499152353398988
Fibroblast,Fibroblast,SOX2,DKK1,Transcription_Factor,Ligand,-0.4991523623466491,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.499152353398988
Fibroblast,Fibroblast,SOX2,FBLN1,Transcription_Factor,Ligand,-0.4991523623466491,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.499152353398988
Fibroblast,Fibroblast,SOX2,INHBA,Transcription_Factor,Ligand,-0.4991523623466491,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.499152353398988
Fibroblast,Fibroblast,SOX2,LAMC1,Transcription_Factor,Ligand,-0.4991523623466491,Neural,Neural,Transcription Factor,Ligand,0.743678452333463
Fibroblast,Fibroblast,SOX2,LAMC1,Transcription_Factor,Ligand,-0.4991523623466491,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.499152353398988
Fibroblast,Fibroblast,SOX2,SEMA7A,Transcription_Factor,Ligand,-0.4991523623466491,Neural,Neural,Transcription Factor,Ligand,0.743678452333463
Fibroblast,Fibroblast,SOX2,SEMA7A,Transcription_Factor,Ligand,-0.4991523623466491,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.499152353398988
Fibroblast,Fibroblast,SOX2,THBS1,Transcription_Factor,Ligand,-0.4991523623466491,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.499152353398988
Fibroblast,Fibroblast,RUNX1,COL6A3,Transcription_Factor,Ligand,-0.5529298186302185,Neural,Neural,Transcription Factor,Ligand,0.510355360306428
Fibroblast,Fibroblast,RUNX1,COL6A3,Transcription_Factor,Ligand,-0.5529298186302185,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.552929788672866
Fibroblast,Fibroblast,RUNX1,LAMA4,Transcription_Factor,Ligand,-0.5529298186302185,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.552929788672866
Fibroblast,Fibroblast,RUNX1,LAMC1,Transcription_Factor,Ligand,-0.5529298186302185,Neural,Neural,Transcription Factor,Ligand,0.510355360306428
Fibroblast,Fibroblast,RUNX1,LAMC1,Transcription_Factor,Ligand,-0.5529298186302185,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.552929788672866
Fibroblast,Fibroblast,RUNX1,SEMA7A,Transcription_Factor,Ligand,-0.5529298186302185,Neural,Neural,Transcription Factor,Ligand,0.510355360306428
Fibroblast,Fibroblast,RUNX1,SEMA7A,Transcription_Factor,Ligand,-0.5529298186302185,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.552929788672866
Fibroblast,Fibroblast,RUNX1,THBS1,Transcription_Factor,Ligand,-0.5529298186302185,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.552929788672866
Fibroblast,Fibroblast,RUNX1,VEGFA,Transcription_Factor,Ligand,-0.5529298186302185,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.552929788672866
Fibroblast,Fibroblast,RUNX1,WNT5B,Transcription_Factor,Ligand,-0.5529298186302185,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.552929788672866
Fibroblast,Fibroblast,TAL1,ALCAM,Transcription_Factor,Ligand,-0.603463351726532,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,-0.719771103347821
Fibroblast,Fibroblast,TAL1,CALR,Transcription_Factor,Ligand,-0.603463351726532,Neural,Neural,Transcription Factor,Ligand,0.756022741146501
Fibroblast,Fibroblast,TAL1,CALR,Transcription_Factor,Ligand,-0.603463351726532,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,-0.719771103347821
Fibroblast,Fibroblast,TAL1,COL6A3,Transcription_Factor,Ligand,-0.603463351726532,Neural,Neural,Transcription Factor,Ligand,0.756022741146501
Fibroblast,Fibroblast,TAL1,COL6A3,Transcription_Factor,Ligand,-0.603463351726532,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,-0.719771103347821
Fibroblast,Fibroblast,TAL1,LAMC1,Transcription_Factor,Ligand,-0.603463351726532,Neural,Neural,Transcription Factor,Ligand,0.756022741146501
Fibroblast,Fibroblast,TAL1,SEMA7A,Transcription_Factor,Ligand,-0.603463351726532,Neural,Neural,Transcription Factor,Ligand,0.756022741146501
Fibroblast,Fibroblast,TAL1,SPARC,Transcription_Factor,Ligand,-0.603463351726532,Neural,Neural,Transcription Factor,Ligand,0.756022741146501
MSC,MSC,ITGB1,USF1,Receptor,Transcription Factor,1.1005295515060425,Neural,Neural,Receptor,Transcription Factor,-0.584815996901745
MSC,MSC,PTPRF,USF1,Receptor,Transcription Factor,1.1005295515060425,Neural,Neural,Receptor,Transcription Factor,-0.584815996901745
MSC,MSC,TGFBR1,USF1,Receptor,Transcription Factor,1.1005295515060425,Neural,Neural,Receptor,Transcription Factor,-0.584815996901745
MSC,MSC,ITGB1,ZHX1,Receptor,Transcription Factor,1.1397864818572998,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.459769706766139
MSC,MSC,PTPRF,ZHX1,Receptor,Transcription Factor,1.1397864818572998,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.459769706766139
MSC,MSC,FGFR1,SP1,Receptor,Transcription Factor,1.1148808002471924,Neural,Neural,Receptor,Transcription Factor,-0.390558071154692
MSC,MSC,FGFR1,SP1,Receptor,Transcription Factor,1.1148808002471924,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.518116648093162
MSC,MSC,INSR,SP1,Receptor,Transcription Factor,1.1148808002471924,Neural,Neural,Receptor,Transcription Factor,-0.390558071154692
MSC,MSC,INSR,SP1,Receptor,Transcription Factor,1.1148808002471924,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.518116648093162
MSC,MSC,ITGB1,SP1,Receptor,Transcription Factor,1.1148808002471924,Neural,Neural,Receptor,Transcription Factor,-0.390558071154692
MSC,MSC,ITGB1,SP1,Receptor,Transcription Factor,1.1148808002471924,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.518116648093162
MSC,MSC,LPP,SP1,Receptor,Transcription Factor,1.1148808002471924,Neural,Neural,Receptor,Transcription Factor,-0.390558071154692
MSC,MSC,LPP,SP1,Receptor,Transcription Factor,1.1148808002471924,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.518116648093162
MSC,MSC,NTRK2,SP1,Receptor,Transcription Factor,1.1148808002471924,Neural,Neural,Receptor,Transcription Factor,-0.390558071154692
MSC,MSC,NTRK2,SP1,Receptor,Transcription Factor,1.1148808002471924,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.518116648093162
MSC,MSC,PDGFRB,SP1,Receptor,Transcription Factor,1.1148808002471924,Neural,Neural,Receptor,Transcription Factor,-0.390558071154692
MSC,MSC,PDGFRB,SP1,Receptor,Transcription Factor,1.1148808002471924,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.518116648093162
MSC,MSC,PTPRF,SP1,Receptor,Transcription Factor,1.1148808002471924,Neural,Neural,Receptor,Transcription Factor,-0.390558071154692
MSC,MSC,PTPRF,SP1,Receptor,Transcription Factor,1.1148808002471924,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.518116648093162
MSC,MSC,TGFBR1,SP1,Receptor,Transcription Factor,1.1148808002471924,Neural,Neural,Receptor,Transcription Factor,-0.390558071154692
MSC,MSC,TGFBR1,SP1,Receptor,Transcription Factor,1.1148808002471924,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.518116648093162
MSC,MSC,AXL,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,DIP2A,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,FGFR1,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,FZD5,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,INSR,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,ITGA5,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,ITGB1,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,LPP,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,LRP6,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,NTRK2,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,PDGFRB,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,PTPRF,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,RYK,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,TGFBR1,SMAD3,Receptor,Transcription Factor,1.1293524503707886,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.119462849483634
MSC,MSC,ITGB1,TCF4,Receptor,Transcription Factor,1.025650978088379,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.0549859994106509
MSC,MSC,PTPRF,TCF4,Receptor,Transcription Factor,1.025650978088379,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.0549859994106509
MSC,MSC,ITGB1,TFAP2A,Receptor,Transcription Factor,0.8425312638282776,Neural,Neural,Receptor,Transcription Factor,0.168194675240465
MSC,MSC,ITGB1,TFAP2A,Receptor,Transcription Factor,0.8425312638282776,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-1.10320980191131
MSC,MSC,PTPRF,TFAP2A,Receptor,Transcription Factor,0.8425312638282776,Neural,Neural,Receptor,Transcription Factor,0.168194675240465
MSC,MSC,PTPRF,TFAP2A,Receptor,Transcription Factor,0.8425312638282776,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-1.10320980191131
MSC,MSC,DIP2A,TEAD2,Receptor,Transcription Factor,0.7494474053382874,Neural,Neural,Receptor,Transcription Factor,-0.659645515842178
MSC,MSC,INSR,TEAD2,Receptor,Transcription Factor,0.7494474053382874,Neural,Neural,Receptor,Transcription Factor,-0.659645515842178
MSC,MSC,ITGB1,TEAD2,Receptor,Transcription Factor,0.7494474053382874,Neural,Neural,Receptor,Transcription Factor,-0.659645515842178
MSC,MSC,PDGFRB,TEAD2,Receptor,Transcription Factor,0.7494474053382874,Neural,Neural,Receptor,Transcription Factor,-0.659645515842178
MSC,MSC,PTPRF,TEAD2,Receptor,Transcription Factor,0.7494474053382874,Neural,Neural,Receptor,Transcription Factor,-0.659645515842178
MSC,MSC,TGFBR1,TEAD2,Receptor,Transcription Factor,0.7494474053382874,Neural,Neural,Receptor,Transcription Factor,-0.659645515842178
MSC,MSC,ITGB1,MEF2A,Receptor,Transcription Factor,0.7367520928382874,Neural,Neural,Receptor,Transcription Factor,0.100144506066539
MSC,MSC,PTPRF,MEF2A,Receptor,Transcription Factor,0.7367520928382874,Neural,Neural,Receptor,Transcription Factor,0.100144506066539
MSC,MSC,INSR,TBP,Receptor,Transcription Factor,0.5703720450401306,Neural,Neural,Receptor,Transcription Factor,-0.348500131162238
MSC,MSC,INSR,TBP,Receptor,Transcription Factor,0.5703720450401306,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.212434359033265
MSC,MSC,MYLK,TBP,Receptor,Transcription Factor,0.5703720450401306,Neural,Neural,Receptor,Transcription Factor,-0.348500131162238
MSC,MSC,MYLK,TBP,Receptor,Transcription Factor,0.5703720450401306,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.212434359033265
MSC,MSC,ITGB1,SRF,Receptor,Transcription Factor,0.6067554354667664,Neural,Neural,Receptor,Transcription Factor,-0.194332250326552
MSC,MSC,ITGB1,SRF,Receptor,Transcription Factor,0.6067554354667664,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.234372324649371
MSC,MSC,ITGB1,SRF,Receptor,Transcription Factor,0.6067554354667664,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.550049653852143
MSC,MSC,LRP6,SRF,Receptor,Transcription Factor,0.6067554354667664,Neural,Neural,Receptor,Transcription Factor,-0.194332250326552
MSC,MSC,LRP6,SRF,Receptor,Transcription Factor,0.6067554354667664,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.234372324649371
MSC,MSC,LRP6,SRF,Receptor,Transcription Factor,0.6067554354667664,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.550049653852143
MSC,MSC,PTPRF,SRF,Receptor,Transcription Factor,0.6067554354667664,Neural,Neural,Receptor,Transcription Factor,-0.194332250326552
MSC,MSC,PTPRF,SRF,Receptor,Transcription Factor,0.6067554354667664,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.234372324649371
