Unnamed: 0_py,Neural_py,MSC_py,Fibroblast_py,Megakaryocyte_py,Myeloid_py,Unnamed: 0_r,Neural_r,MSC_r,Fibroblast_r,Megakaryocyte_r,Myeloid_r
SAMD8,0.8919810900008922,0.3232799968462685,0.0,0.0,0.0,SAMD8,0.891981090000892,0.323279996846269,0.0,0.0,0.0
RP11-182L21.6,0.0,0.2458814851241701,0.0,0.0,0.561324726354196,RP11-182L21.6,0.0,0.24588148512417,0.0,0.0,0.561324726354196
PAPSS2,0.0,0.0,0.3608545034642032,0.0,0.0,PAPSS2,0.0,0.0,0.360854503464203,0.0,0.0
IFIT2,0.0,0.721136511141559,0.0,0.0,0.0,IFIT2,0.0,0.721136511141559,0.0,0.0,0.0
IFIT1B,0.0,0.0,0.0,0.0,0.0,IFIT1B,0.0,0.0,0.0,0.0,0.0
PIK3AP1,0.0,0.0,0.0,0.0,0.6004924037710921,PIK3AP1,0.0,0.0,0.0,0.0,0.600492403771092
FRAT2,0.0,0.0,0.0,0.0,0.561324726354196,FRAT2,0.0,0.0,0.0,0.0,0.561324726354196
ERLIN1,0.0,0.2593159245909291,0.0,0.0,0.0,ERLIN1,0.0,0.259315924590929,0.0,0.0,0.0
CWF19L1,0.0,0.0511226534702057,0.0,0.0,0.0,CWF19L1,0.0,0.0511226534702057,0.0,0.0,0.0
HIF1AN,0.0,0.4420984025612203,0.0,0.0,0.0,HIF1AN,0.0,0.44209840256122,0.0,0.0,0.0
LZTS2,0.0,0.0,0.0,0.0,0.0,LZTS2,0.0,0.0,0.0,0.0,0.0
WBP1L,0.0,0.0511226534702057,0.5787037037037037,0.0,0.0,WBP1L,0.0,0.0511226534702057,0.578703703703704,0.0,0.0
PCGF6,0.0,0.0,0.0,0.0,0.0,PCGF6,0.0,0.0,0.0,0.0,0.0
XPNPEP1,0.0,0.0,0.5501760563380282,0.0,0.0,XPNPEP1,0.0,0.0,0.550176056338028,0.0,0.0
VTI1A,1.269357705001269,0.0,0.0,0.0,0.0,VTI1A,1.26935770500127,0.0,0.0,0.0,0.0
RAB11FIP2,0.0,0.0,0.3693853427895981,0.0,0.0,RAB11FIP2,0.0,0.0,0.369385342789598,0.0,0.0
PSTK,0.0,0.0,0.0,0.0,0.561324726354196,PSTK,0.0,0.0,0.0,0.0,0.561324726354196
METTL10,0.0,0.0511226534702057,0.0,0.0,0.0,METTL10,0.0,0.0511226534702057,0.0,0.0,0.0
ZRANB1,0.0,0.0,0.0,0.0,0.0,ZRANB1,0.0,0.0,0.0,0.0,0.0
FOXM1,0.0,0.0,0.544425087108014,0.0,0.561324726354196,FOXM1,0.0,0.0,0.544425087108014,0.0,0.561324726354196
C12orf4,0.0,0.0511226534702057,0.0,0.0,0.0,C12orf4,0.0,0.0511226534702057,0.0,0.0,0.0
RAD51AP1,0.0,0.0,0.0,0.0,0.6004924037710921,RAD51AP1,0.0,0.0,0.0,0.0,0.600492403771092
ENO2,0.0,0.0,0.0,0.0,0.0,ENO2,0.0,0.0,0.0,0.0,0.0
A2M,0.0,0.3043256716501825,0.0,0.0,0.0,A2M,0.0,0.304325671650182,0.0,0.0,0.0
LRP6,1.3563000135630003,0.2560622743451207,0.0,0.0,0.0,LRP6,1.356300013563,0.256062274345121,0.0,0.0,0.0
PYROXD1,0.0,0.3751500600240097,0.0,1.01419878296146,0.0,PYROXD1,0.0,0.37515006002401,0.0,1.01419878296146,0.0
LRMP,0.0,0.0,0.0,0.0,0.0,LRMP,0.0,0.0,0.0,0.0,0.0
RASSF8-AS1,0.0,1.078599526407606,0.0,0.0,0.0,RASSF8-AS1,0.0,1.07859952640761,0.0,0.0,0.0
DDX11,0.0,0.0,0.0,0.0,0.0,DDX11,0.0,0.0,0.0,0.0,0.0
BICD1,3.736222678871662,0.1022453069404114,0.8012820512820513,0.0,0.0,BICD1,3.73622267887166,0.102245306940411,0.801282051282051,0.0,0.0
CCNT1,0.0,0.0,0.0,0.0,0.0,CCNT1,0.0,0.0,0.0,0.0,0.0
KMT2D,0.0,0.0,0.5723443223443222,0.0,0.0,KMT2D,0.0,0.0,0.572344322344322,0.0,0.0
LMBR1L,0.0,0.0511226534702057,0.0,0.2825337627846527,0.0,LMBR1L,0.0,0.0511226534702057,0.0,0.282533762784653,0.0
DIP2B,4.778640180145053,0.1860361282160995,0.0,0.0,0.0,DIP2B,4.77864018014505,0.1860361282161,0.0,0.0,0.0
GALNT6,0.0,0.1860361282160995,0.0,0.0,0.0,GALNT6,0.0,0.1860361282161,0.0,0.0,0.0
KRT77,0.0,0.0,0.0,0.0,0.0,KRT77,0.0,0.0,0.0,0.0,0.0
TNS2,0.0,1.088811637350472,0.6975446428571428,0.0,0.0,TNS2,0.0,1.08881163735047,0.697544642857143,0.0,0.0
RARG,0.0,0.0511226534702057,0.0,0.0,0.0,RARG,0.0,0.0511226534702057,0.0,0.0,0.0
RP11-793H13.11,0.0,0.0,0.0,0.0,0.6004924037710921,RP11-793H13.11,0.0,0.0,0.0,0.0,0.600492403771092
HOXC9,0.0,0.1022453069404114,0.3693853427895981,0.0,0.0,HOXC9,0.0,0.102245306940411,0.369385342789598,0.0,0.0
TESPA1,0.0,0.0,0.0,0.0,0.0,TESPA1,0.0,0.0,0.0,0.0,0.0
AGAP2-AS1,0.0,0.0,1.178917330689334,0.0,0.0,AGAP2-AS1,0.0,0.0,1.17891733068933,0.0,0.0
MARCH9,0.0,0.0511226534702057,0.0,0.0,0.0,MARCH9,0.0,0.0511226534702057,0.0,0.0,0.0
SRGAP1,0.0,0.1860361282160995,0.6913716814159291,0.0,0.0,SRGAP1,0.0,0.1860361282161,0.691371681415929,0.0,0.0
