,means,dispersions,mean_bin,dispersions_norm,highly_variable
FO538757.2,1.7683081819801396,5.2800356358420375,"(1.606, 2.409]",-1.1127063278495235,False
RP11-206L10.9,12.676391642047092,18.885371220571315,"(12.045, 12.848]",0.9784486758017504,False
SAMD11,9.999999999995e-13,,"(-0.0161, 0.803]",,False
NOC2L,4.953634242142894,9.905836068091807,"(4.818, 5.621]",-1.5436352181642568,False
HES4,4.098956978882136,9.240304805800685,"(4.015, 4.818]",-0.7723125564577942,False
ISG15,0.6778434976067099,2.385672812336308,"(-0.0161, 0.803]",0.8917182565624938,True
TNFRSF18,6.661994474654149,12.051528275111501,"(6.424, 7.227]",-1.0347438902727795,False
TNFRSF4,9.09436095861975,15.09646995870427,"(8.833, 9.636]",-0.3876162544051414,False
SDF4,2.441854285543151,6.4011177849624366,"(2.409, 3.212]",-1.7973391103462404,False
B3GALT6,11.788076525658369,17.983865281403393,"(11.242, 12.045]",0.8519556798978871,False
UBE2J2,3.420891359583685,8.14311820677344,"(3.212, 4.015]",-0.6809451367969277,False
ACAP3,16.060502556984922,22.271102537365202,"(15.257, 16.061]",0.23214125394136223,False
CPSF3L,4.425750947888731,9.25071065151764,"(4.015, 4.818]",-0.7500477284983413,False
CPTP,9.011455142437342,15.16921959081602,"(8.833, 9.636]",-0.17984664748205767,False
MXRA8,1.853736204960383,5.3814660019283815,"(1.606, 2.409]",-0.9268035732918462,False
AURKAIP1,1.1282641190648517,4.199097693182812,"(0.803, 1.606]",0.2871861392838666,False
CCNL2,2.724097947099145,6.946935157076172,"(2.409, 3.212]",-0.7158593974822431,False
MRPL20,1.7515694980026868,5.64061533147472,"(1.606, 2.409]",-0.4518316682961703,False
ATAD3A,14.916462660564283,21.127060969964056,"(14.454, 15.257]",0.39965964912712676,False
SSU72,1.693531339363843,5.501322920432925,"(1.606, 2.409]",-0.7071284191686522,False
MIB2,8.551552408447666,14.75660184802822,"(8.03, 8.833]",1.2672507259038246,False
CDK11B,3.9661278476686372,9.460710890674264,"(3.212, 4.015]",2.0908488555306985,False
CDK11A,4.457082489498756,9.15632453026161,"(4.015, 4.818]",-0.9520006315767998,False
NADK,8.725389530431448,14.89255874434287,"(8.03, 8.833]",1.6523842288742003,False
GNB1,6.820847919194966,12.809075722431697,"(6.424, 7.227]",0.728984899168927,False
FAAP20,2.0189252655540075,5.545293614917804,"(1.606, 2.409]",-0.6265384189551594,False
RER1,1.6138181614231597,5.628702831303079,"(1.606, 2.409]",-0.4736650371483701,False
PEX10,7.457608938778389,13.287251029694618,"(7.227, 8.03]",-0.3534642380650109,False
TNFRSF14,3.053368497831722,7.61138910848464,"(2.409, 3.212]",0.6006862188614583,False
SMIM1,1.486234593712855,4.608995509114801,"(0.803, 1.606]",0.9022585859269071,True
LRRC47,6.9248709429897986,12.24984365539492,"(6.424, 7.227]",-0.5730242358375807,False
C1orf174,6.574075973390259,12.410198900526199,"(6.424, 7.227]",-0.1996837099385145,False
RPL22,0.5990987688336862,1.9038025860008299,"(-0.0161, 0.803]",0.016921902074697102,False
ICMT,8.784302143726224,14.311805976261432,"(8.03, 8.833]",0.0072499694593223165,False
ACOT7,10.230692420724235,16.42575395376726,"(9.636, 10.439]",1.4370832117582852,False
TNFRSF25,7.131594582059129,12.919735599884685,"(6.424, 7.227]",0.9866242224751437,False
CAMTA1,1.4740063474732916,5.058870590747977,"(0.803, 1.606]",1.577318945823449,True
VAMP3,3.726485643252624,8.876619611021143,"(3.212, 4.015]",0.862107439693163,False
PER3,8.296410774753591,13.960204519733399,"(8.03, 8.833]",-0.9887532070822788,False
PARK7,0.9699401397866915,3.3813379973492035,"(0.803, 1.606]",-0.9399037288063332,False
ERRFI1,3.2819422011068027,8.100442520976685,"(3.212, 4.015]",-0.7707211434150789,False
RERE,5.981186346678147,12.056545187516585,"(5.621, 6.424]",1.2023490064001339,False
ENO1,1.1274856684065222,3.619630180321284,"(0.803, 1.606]",-0.5823342314834513,False
SLC25A33,6.1419499681090715,11.762942150682557,"(5.621, 6.424]",0.49664508062396057,False
PIK3CD,11.102904273228761,17.2391144867796,"(10.439, 11.242]",1.174236558622652,False
CLSTN1,4.840133349310397,10.19079681286609,"(4.818, 5.621]",-0.8955225036862032,False
CTNNBIP1,5.526559926263784,11.257312807534799,"(4.818, 5.621]",1.5301539763725316,False
LZIC,9.03055959239022,15.200449021896013,"(8.833, 9.636]",-0.09065682711355451,False
UBE4B,6.028013987363801,11.743094858748861,"(5.621, 6.424]",0.4489401522803471,False
KIF1B,1.826160150807139,4.971881243229112,"(1.606, 2.409]",-1.6774952823429408,False
PGD,2.61408605423212,6.6670982855327585,"(2.409, 3.212]",-1.2703267247377554,False
APITD1,10.336078431585593,16.334692348693594,"(9.636, 10.439]",1.1331740325492605,False
DFFA,5.856903223222844,11.695567339261613,"(5.621, 6.424]",0.33470306043611353,False
PEX14,10.944227651118624,17.046933997355538,"(10.439, 11.242]",0.536459225609774,False
TARDBP,3.024145965564332,8.22683693690048,"(2.409, 3.212]",1.820131357040824,False
SRM,2.6641219495693025,6.9094170388705125,"(2.409, 3.212]",-0.7901976024886599,False
EXOSC10,16.060502556984904,22.271102537365213,"(15.257, 16.061]",0.232141253941442,False
MAD2L2,7.7960250667715325,13.964074797622985,"(7.227, 8.03]",1.3998729886589174,False
AGTRAP,3.3695576288505804,8.139639099053099,"(3.212, 4.015]",-0.6882640677501214,False
MTHFR,8.315558551578551,14.015595273125408,"(8.03, 8.833]",-0.8318443965379317,False
KIAA2013,7.4250621279784665,12.99204990188032,"(7.227, 8.03]",-1.1181937751968654,False
PLOD1,5.619658700883492,11.288548427516428,"(4.818, 5.621]",1.601196050854524,False
MFN2,16.060502556984943,22.271102537365177,"(15.257, 16.061]",0.23214125394117607,False
MIIP,3.895212155296978,8.552401327309578,"(3.212, 4.015]",0.18005576926803168,False
TNFRSF1B,7.7917310069908154,13.01518888315782,"(7.227, 8.03]",-1.058251380758665,False
DHRS3,2.815005665768006,7.028760543014205,"(2.409, 3.212]",-0.553731001776271,False
PRDM2,7.444993910607227,12.941082546204983,"(7.227, 8.03]",-1.2502266119377643,False
EFHD2,7.455757571798774,13.577125387841475,"(7.227, 8.03]",0.397466103473144,False
FBLIM1,2.9062711727171986,7.619107052888442,"(2.409, 3.212]",0.6159785139113575,True
UQCRHL,3.662572267194152,8.13891194644293,"(3.212, 4.015]",-0.689793764492521,False
SPEN,7.542607489428618,13.631261903933693,"(7.227, 8.03]",0.537708768532256,False
FBXO42,7.076409551663197,13.161140393398142,"(6.424, 7.227]",1.5486650368625114,False
SZRD1,7.144496357189171,12.91011749629533,"(6.424, 7.227]",0.9642312670762607,False
NECAP2,1.8554435729456449,5.682515708691526,"(1.606, 2.409]",-0.37503616964856407,False
SDHB,4.009840949898907,8.814687787446966,"(3.212, 4.015]",0.7318226721665393,False
PADI4,4.992442360322074,9.82155772609264,"(4.818, 5.621]",-1.735317286682344,False
RCC2,12.730705094683193,18.94120958706481,"(12.045, 12.848]",1.2108289722655219,False
UBR4,3.6782423290032944,8.986248233830194,"(3.212, 4.015]",1.0927310320993213,False
MRTO4,5.921311050539204,11.123422810698587,"(5.621, 6.424]",-1.0405028784129817,False
AKR7A2,3.487299938160615,8.7981860815012,"(3.212, 4.015]",0.6971083556994684,False
CAPZB,1.5667453683516088,5.08439945695593,"(0.803, 1.606]",1.6156263033848606,True
MINOS1,1.4170284890134948,4.563256805730656,"(0.803, 1.606]",0.8336253434374326,True
NBL1,2.2694171974689166,6.163554606325392,"(1.606, 2.409]",0.5066175162249416,True
CDA,4.973182267244397,10.646755548091864,"(4.818, 5.621]",0.14150683806131306,False
PINK1,6.190019070616065,11.303104542389951,"(5.621, 6.424]",-0.6086200722533952,False
DDOST,3.5405646689448353,8.56486068209309,"(3.212, 4.015]",0.20626627055510324,False
HP1BP3,1.728926074453817,5.7164534640944895,"(1.606, 2.409]",-0.31283465686347933,False
EIF4G3,8.725576310095553,14.556130536799888,"(8.03, 8.833]",0.6993632525111798,False
ECE1,9.999999999995e-13,,"(-0.0161, 0.803]",,False
ALPL,3.4284191199241967,7.899574379517646,"(3.212, 4.015]",-1.193283529005927,False
USP48,5.194474955563071,10.026704399915777,"(4.818, 5.621]",-1.268733134037133,False
HSPG2,2.5518767493707974,6.765551298073036,"(2.409, 3.212]",-1.0752524358408682,False
CDC42,1.2471265285127457,4.657590709364399,"(0.803, 1.606]",0.9751781467317591,True
KDM1A,14.243238356714581,20.453820961146153,"(13.651, 14.454]",0.7278878008259947,False
LUZP1,4.559534569914293,9.628098930783308,"(4.015, 4.818]",0.05742965876231129,False
HNRNPR,1.9536398293419899,5.887166762869867,"(1.606, 2.409]",5.0662459481007764e-05,False
TCEA3,7.1565370861624915,13.266608819803901,"(6.424, 7.227]",1.7942175770855477,False
E2F2,5.871373202139065,11.092078538312546,"(5.621, 6.424]",-1.1158419359103036,False
ID3,1.2486924826486252,4.228856879869561,"(0.803, 1.606]",0.33184130711858073,False
RPL11,0.46150679262524313,1.2340438430357847,"(-0.0161, 0.803]",-1.1989708315100611,False
TCEB3,16.060502556984936,22.271102537365184,"(15.257, 16.061]",0.23214125394122925,False
PITHD1,1.2392009136967193,4.118909476411317,"(0.803, 1.606]",0.16685965603720013,False
LYPLA2,5.351889031695889,10.757021460915501,"(4.818, 5.621]",0.3922948549551313,False
GALE,12.07682450671663,18.280066858093026,"(12.045, 12.848]",-1.5406222791106194,False
FUCA1,9.66354831135355,15.839305175788429,"(9.636, 10.439]",-0.5201320890208113,False
PNRC2,1.6461312402505066,5.2818698075130674,"(1.606, 2.409]",-1.1093446366801762,False
SRSF10,2.755391650100486,7.3844824810975185,"(2.409, 3.212]",0.15109460311048992,False
RCAN3,9.999999999995e-13,,"(-0.0161, 0.803]",,False
SRRM1,2.5120135184419676,6.642930112966457,"(2.409, 3.212]",-1.318213416629278,False
CLIC4,3.0453152893644244,7.614078365001196,"(2.409, 3.212]",0.6060146977885384,False
RUNX3,7.733987753461407,13.488188795743403,"(7.227, 8.03]",0.16707254294437862,False
SYF2,1.6529931068885646,5.021697785133739,"(1.606, 2.409]",-1.586190944993665,False
RSRP1,0.8899736219353028,3.1725971678629743,"(0.803, 1.606]",-1.253129922545544,False
TMEM50A,1.0117972505948096,3.385892606874322,"(0.803, 1.606]",-0.9330693063838844,False
RHCE,3.44619527248138,8.396847456185577,"(3.212, 4.015]",-0.1471798709514652,False
TMEM57,2.2165658661196015,5.931990083114809,"(1.606, 2.409]",0.08220336508171328,False
LDLRAP1,5.145207522549584,10.004077704650475,"(4.818, 5.621]",-1.3201951306699622,False
MTFR1L,4.516696216849384,9.474769335112937,"(4.015, 4.818]",-0.2706414237380688,False
STMN1,0.8394271325595682,2.7184829679565787,"(0.803, 1.606]",-1.934551294251797,False
ZNF593,7.332688273199008,13.502569128563428,"(7.227, 8.03]",0.20432533172158676,False
SH3BGRL3,0.6991618522884964,2.323689040531878,"(-0.0161, 0.803]",0.779191740815143,True
CD52,3.2137183095145634,7.468222464184181,"(3.212, 4.015]",-2.100710127611957,False
HMGN2,0.8161188411284325,2.890212638758342,"(0.803, 1.606]",-1.6768622198636332,False
RPS6KA1,10.954255423699227,17.107760621399642,"(10.439, 11.242]",0.7383207266148217,False
ARID1A,6.101633603733552,11.78749379817031,"(5.621, 6.424]",0.5556573926327575,False
NUDC,1.6588614614585986,5.055283327370303,"(1.606, 2.409]",-1.5246349725960557,False
TMEM222,4.283164634553741,9.238970960571322,"(4.015, 4.818]",-0.7751665132974492,False
SYTL1,10.654656978900736,16.861913317996233,"(10.439, 11.242]",-0.07755729494152781,False
WASF2,1.520160396411299,5.090207040397174,"(0.803, 1.606]",1.6243408766698328,True
FGR,9.999999999995e-13,,"(-0.0161, 0.803]",,False
IFI6,0.8509943254751812,3.005161875706955,"(0.803, 1.606]",-1.5043750641343987,False
FAM76A,6.439913895855032,11.971952633439589,"(6.424, 7.227]",-1.220012615884004,False
STX12,5.664208418114104,10.617879203184982,"(5.621, 6.424]",-2.2556269190920166,False
