"","Fibroblast","Megakaryocyte","MSC","Myeloid","Neural"
"ADNP",-0.138755316442949,-0.546410328096264,0.126062540604501,-0.402069384386016,0.238571411967359
"AHR",-0.216320070110498,-0.89478423724187,0.80939304339561,-1.05239765317332,0.118551217813107
"AR",-0.213681985017936,-0.830813207420732,0.978365018782808,-0.493553301892948,-0.0253635318183583
"ARID2",-0.103348571101041,-0.734129507158855,0.577384946871114,0.0655390827151705,0.027961146714623
"ARID3A",-0.404956253060354,-0.594765121424922,0.387820130965875,0.234839952367351,0.252397507330799
"ARNT",0.117346835530225,-0.298496036306013,0.229590198391531,-0.0149131897673579,-0.0842263329934999
"ASCL1",-0.181567994588597,-0.652227329846427,-0.408442909097142,-0.145829225577136,0.542877108844046
"ATF1",-0.436537535334615,-0.734915131269222,0.0305789363202774,-0.458566648436802,0.540961538454781
"ATF2",-0.105424159263002,-0.240262751725134,1.0423064160092,-0.130787875825115,-0.34892494556622
"ATF3",0.0659721540494242,-0.733425696736391,0.566018809164729,-0.577912760134296,-0.0294581831510645
"ATF4",-0.293625509676332,-0.844799687513465,0.754631158482908,-0.441546838186755,0.134941812835524
"ATF5",-0.179946599655464,0.144379714417981,0.310170924779519,0.139588612960139,-0.0947309259126644
"ATF6",-0.309179881090747,-0.0985480948252686,0.424176318188999,-0.276661497151464,0.0424766188382796
"ATF7",-0.185343874763617,-0.601393954891784,0.355843433633164,-0.215616144594637,0.162201853617125
"BACH1",-0.0358025405538901,-0.901829856940458,0.380879710644639,-0.508725352050113,0.176748013605822
"BACH2",-0.0492732288504553,-0.0308178165298106,-0.0713183479558878,0.190375322157598,0.0630026158730497
"BATF",-0.281829433235217,0.0641386339387193,0.255560019084776,0.223520974488589,0.0175176476887451
"BCL11A",-0.272124047031405,0.482131574005599,0.374289754829906,0.419180529145811,-0.200504912840263
"BCL6",-0.447744084359679,0.446667780210937,0.177041595494277,1.10568988202914,-0.0291678265502567
"BHLHE22",-0.289520946695494,0.337671613783452,0.299049700751124,1.173994733155,-0.156662304445701
"BHLHE40",-0.302228958975433,-0.034970796893239,0.143780705769355,0.179463557273621,0.121090702823605
"BMAL1",-0.135512989612166,-0.700336435394858,-0.361954063137815,-0.441440450889681,0.527822795926579
"BRF2",-0.0811475348140968,0.0879198683335185,0.226482261416174,-0.961226088102395,-0.0214344701773583
"CBX2",0.0294179930871309,-0.746512043681939,0.168943217552602,-0.275342493180534,0.169780571483127
"CDX1",0.156631387886263,-0.395468328860829,-0.601666434044267,0.509082301260679,0.290491024909818
"CDX2",-0.0642125504210695,-0.647645775912452,0.56196492507514,-0.574492869120246,0.0258883996349669
"CEBPA",-0.701423547393341,-0.946707588653616,0.755677598417524,1.07524729896329,0.322022095368268
"CEBPB",-0.166239790453557,-0.919581968063771,1.05102611162086,0.239200690571176,-0.111579710893311
"CEBPD",-0.0547529799206914,-0.139305738260976,0.69776539921772,0.395038725733277,-0.284308810158453
"CEBPE",0.0991922134283016,-0.150902366164771,-0.193877527861568,1.99419599274754,-0.0562078642952981
"CEBPG",-0.12790289219156,-0.831509149838821,0.0866668853000094,-0.839012384135244,0.37706441093095
"CEBPZ",-0.185822441185114,0.0312794467594407,-0.414284214827928,0.238959519380127,0.291646979573603
"CLOCK",0.0680677652479098,-0.746326552324921,-0.278020011670577,-0.139311873692125,0.352642866246379
"CREB1",-0.00475962340046953,-0.473959309821005,0.372557043913481,-0.547642869073591,0.0197766075574134
"CREB3",0.0670225512280388,0.244712170242161,0.505504975889025,0.346326777534835,-0.394095924040931
"CREB3L1",-0.0574755860424778,-0.286639975198035,0.466855158063115,-0.137360357062071,-0.0840612235862013
"CREB5",0.105681374424041,0.237263642898638,-0.0411001635104681,0.426424622280723,-0.156451843224202
"CREM",0.2128939307338,0.254791501817979,-0.534713204002604,0.501146710870231,0.00400789496298499
"CTCF",-0.416198399069627,-0.915354819286595,0.118456027263,-1.0486589488168,0.587079492099317
"CTCFL",-0.126851842032612,-0.53607003228616,-0.22036757394507,0.193037948596231,0.354372717534172
"CUX1",-0.236222804063589,-0.567663974593826,0.958432151067089,-0.173399930500288,-0.112183577153718
"CXXC4",-0.511132709907779,-0.280367109020793,0.434481360783454,-0.887593236696453,0.268995456626641
"DDIT3",-0.0733616547070535,-0.329949930653875,0.492981491120989,-0.0393368204995765,-0.0788840770093887
"DEAF1",-0.173290254204487,-0.0127975982762218,-0.0936675764028965,0.624242471414503,0.116294144102169
"DNMT1",0.349513870749994,0.467933850818489,-0.130537409985726,0.444187581090637,-0.346451669645169
"DUX4",-0.313627701060151,-0.86130863048897,0.26993687207646,-0.549823163678793,0.39582694770772
"E2F1",-0.4907009653364,-0.874192466063446,-0.201715740413155,0.259546676978666,0.685095546228522
"E2F2",-0.390472888019101,0.0146880896174589,-0.137526935931667,0.645403574226225,0.264473907200961
"E2F3",0.0254590796852759,-0.037783334371848,-0.560692859263414,0.217442322666701,0.253535704099263
"E2F4",0.207371244463835,0.135567371415105,-0.564089624203544,-0.176928293827181,0.108889498702623
"E2F5",0.105129772240609,0.221577754318277,-0.283431724991513,-0.108469194765653,0.00381673086854789
"E2F6",-0.205266934802591,-0.678200546487595,0.113800916357416,-0.405302941020506,0.33125522864925
"E2F7",0.387834578149752,-0.439183928387039,0.92450973499867,-0.412960568218194,-0.517815965087448
"EBF1",-0.276638586782859,0.00263028995594764,-0.19995881693669,0.375204570652694,0.245415739910195
"EGR1",-0.224293163385838,-1.18177320469655,0.389427193166017,-1.32430991998748,0.44280483555598
