,gene,tag,cluster,z_score
132,GATA3,**,Fibroblast,-0.4427651
133,TCF12,**,Fibroblast,-0.042770408
134,POU5F1,**,Fibroblast,-0.20591831
135,DUX4,**,Fibroblast,-0.3136277
136,CLOCK,**,Fibroblast,0.06806776
137,CEBPA,**,Fibroblast,-0.7014235
138,TFAP2C,**,Fibroblast,-0.33230358
139,MYOD1,**,Fibroblast,0.06308845
140,RUNX2,**,Fibroblast,0.2504244
141,CDX1,***,Fibroblast,0.15663138
142,ONECUT1,***,Fibroblast,-0.31830254
143,EGR1,***,Fibroblast,-0.22429316
144,ESR1,***,Fibroblast,-0.23521678
145,OTX2,***,Fibroblast,0.10995303
146,TEAD4,***,Fibroblast,0.211239
147,NCOA3,***,Fibroblast,0.05419502
148,SOX4,***,Fibroblast,0.0018531862
149,SNAI2,***,Fibroblast,0.17315929
150,CTCF,***,Fibroblast,-0.4161984
151,TEAD1,***,Fibroblast,0.21483514
152,SOX2,***,Fibroblast,-0.49915236
153,ZNF750,***,Fibroblast,-0.22284336
154,PAX2,***,Fibroblast,-0.1665659
155,HNF1A,***,Fibroblast,0.026490502
156,FOXP3,***,Fibroblast,0.22904217
157,PRDM14,***,Fibroblast,-0.26085842
158,NR4A1,***,Fibroblast,-0.029001411
159,E2F7,***,Fibroblast,0.38783458
160,SRF,**,Fibroblast,0.23437232
161,ETV4,**,Fibroblast,0.13266523
162,SPDEF,**,Fibroblast,-0.0641522
163,PAX6,**,Fibroblast,0.636172
164,NR1H4,**,Fibroblast,-0.24564163
165,SP3,**,Fibroblast,0.50126594
166,MAX,*,Fibroblast,0.19214801
167,TWIST2,*,Fibroblast,0.5923191
168,NR1H2,*,Fibroblast,-0.16080323
169,SMAD1,*,Fibroblast,0.27688348
170,SNAI1,*,Fibroblast,0.6002341
171,MBD4,*,Fibroblast,0.007102433
172,HIF1A,*,Fibroblast,0.3252794
173,ZC3H8,*,Fibroblast,0.39254603
174,ZNF589,*,Fibroblast,0.46568745
175,HOXA1,*,Fibroblast,0.4444717
176,E2F2,*,Fibroblast,-0.3904729
177,THAP1,*,Fibroblast,-0.2157501
178,GATA1,*,Fibroblast,-0.29066622
179,HIC1,*,Fibroblast,0.047692444
180,ZBTB2,*,Fibroblast,-0.038441606
181,KLF8,**,Fibroblast,-0.5748204
182,KLF3,**,MSC,0.42148998
183,MYC,*,MSC,-0.10975188
184,FOXP3,*,MSC,-0.25133228
185,GATA1,**,MSC,-0.38759026
186,PKNOX1,**,MSC,-0.6531476
187,ZNF274,**,MSC,-0.7124515
188,HES1,***,MSC,-1.1116792
189,HOXA10,***,Neural,-0.09446601
190,HIC1,***,Neural,-0.18651298
191,KLF1,***,Neural,-0.114784375
192,IRF9,***,Neural,0.14491186
193,USF2,***,Neural,-0.51344484
194,ZBED1,***,Neural,-0.86441284
